event_id,t0_iso,entry_price,A,B,C,D,price_t45,price_t60,A_45,A_60,B_45,B_60,C_45,C_60,D_45,D_60
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789463320000,2026-09-15T09:08:41.758Z,0.986895,WAIT,WAIT,WAIT,WAIT,0.986935,0.987085,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789463345000,2026-09-15T09:09:05.249Z,0.986867,WAIT,WAIT,WAIT,WAIT,0.987085,0.98775,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789463350000,2026-09-15T09:09:12.651Z,0.9869,WAIT,WAIT,WAIT,WAIT,0.987085,0.987245,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789463355000,2026-09-15T09:09:18.813Z,0.98689,WAIT,WAIT,WAIT,WAIT,0.987085,0.98725,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789463370000,2026-09-15T09:09:33.623Z,0.986935,WAIT,WAIT,WAIT,WAIT,0.98725,0.987235,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789463380000,2026-09-15T09:09:42.965Z,0.987085,WAIT,WAIT,WAIT,BUY,0.987205,0.987225,,,,,,,WIN,WIN
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789463445000,2026-09-15T09:10:49.368Z,0.98725,WAIT,WAIT,WAIT,WAIT,0.98713,0.987255,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789463460000,2026-09-15T09:11:04.004Z,0.987195,WAIT,WAIT,WAIT,WAIT,0.987255,0.987235,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789463465000,2026-09-15T09:11:09.427Z,0.987215,WAIT,WAIT,WAIT,WAIT,0.987255,0.987255,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789463470000,2026-09-15T09:11:14.998Z,0.987175,WAIT,WAIT,WAIT,WAIT,0.987255,0.987434,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789463475000,2026-09-15T09:11:17.165Z,0.987203,WAIT,WAIT,WAIT,WAIT,0.987214,0.987434,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789463520000,2026-09-15T09:12:03.121Z,0.987214,WAIT,WAIT,WAIT,WAIT,0.987655,0.987645,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789463525000,2026-09-15T09:12:05.065Z,0.987235,WAIT,WAIT,WAIT,WAIT,0.987655,0.9876,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789463530000,2026-09-15T09:12:10.535Z,0.987255,WAIT,WAIT,WAIT,WAIT,0.987655,0.9876,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789463540000,2026-09-15T09:12:24.870Z,0.987434,WAIT,WAIT,WAIT,WAIT,0.9876,0.987645,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789463545000,2026-09-15T09:12:29.112Z,0.98748,WAIT,WAIT,WAIT,WAIT,0.9876,0.987647,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789463550000,2026-09-15T09:12:33.633Z,0.987495,WAIT,WAIT,WAIT,WAIT,0.987598,0.987647,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789463555000,2026-09-15T09:12:38.443Z,0.987505,WAIT,WAIT,WAIT,WAIT,0.987598,0.987625,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789463580000,2026-09-15T09:13:03.382Z,0.987645,WAIT,WAIT,WAIT,WAIT,0.987815,0.987855,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789463640000,2026-09-15T09:14:02.862Z,0.987815,WAIT,WAIT,WAIT,WAIT,0.98775,0.98775,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789463645000,2026-09-15T09:14:09.600Z,0.987825,WAIT,WAIT,WAIT,WAIT,0.98775,0.987755,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789463700000,2026-09-15T09:15:03.930Z,0.98775,WAIT,WAIT,WAIT,WAIT,0.9879,0.987925,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789463705000,2026-09-15T09:15:07.845Z,0.987775,WAIT,WAIT,WAIT,WAIT,0.9879,0.987925,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789463710000,2026-09-15T09:15:10.209Z,0.987755,WAIT,WAIT,WAIT,WAIT,0.9879,0.987925,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789463715000,2026-09-15T09:15:17.611Z,0.987775,WAIT,WAIT,WAIT,WAIT,0.987925,0.987888,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789463720000,2026-09-15T09:15:24.299Z,0.987825,WAIT,WAIT,WAIT,WAIT,0.987925,0.987747,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789463730000,2026-09-15T09:15:33.435Z,0.987865,WAIT,WAIT,WAIT,WAIT,0.987888,0.987779,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789463735000,2026-09-15T09:15:36.555Z,0.987873,WAIT,WAIT,WAIT,WAIT,0.987747,0.987835,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789463740000,2026-09-15T09:15:42.824Z,0.987905,WAIT,WAIT,WAIT,WAIT,0.987747,0.987843,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789463760000,2026-09-15T09:16:01.636Z,0.9879,WAIT,WAIT,WAIT,WAIT,0.987843,0.987828,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789463770000,2026-09-15T09:16:14.755Z,0.987895,WAIT,WAIT,WAIT,WAIT,0.987828,0.987845,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789463775000,2026-09-15T09:16:19.404Z,0.987888,WAIT,WAIT,WAIT,WAIT,0.987845,0.987835,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789463790000,2026-09-15T09:16:34.614Z,0.987779,WAIT,WAIT,WAIT,WAIT,0.987835,0.987825,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789463795000,2026-09-15T09:16:37.094Z,0.987835,WAIT,WAIT,WAIT,WAIT,0.987805,0.987805,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789463800000,2026-09-15T09:16:42.106Z,0.987816,WAIT,WAIT,WAIT,WAIT,0.987805,0.987655,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789463805000,2026-09-15T09:16:46.820Z,0.987843,WAIT,WAIT,WAIT,BUY,0.987825,0.987655,,,,,,,LOSS,LOSS
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789463820000,2026-09-15T09:17:04.141Z,0.987787,WAIT,WAIT,WAIT,WAIT,0.987655,0.98762,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789463835000,2026-09-15T09:17:19.050Z,0.987845,WAIT,WAIT,WAIT,BUY,0.98762,0.987685,,,,,,,LOSS,LOSS
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789463840000,2026-09-15T09:17:21.173Z,0.987835,WAIT,WAIT,WAIT,WAIT,0.98762,0.987675,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789463850000,2026-09-15T09:17:30.035Z,0.987805,WAIT,WAIT,WAIT,WAIT,0.987585,0.987704,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789463855000,2026-09-15T09:17:39.213Z,0.987805,WAIT,WAIT,WAIT,WAIT,0.987675,0.987665,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789463880000,2026-09-15T09:18:02.168Z,0.987655,WAIT,WAIT,WAIT,WAIT,0.987715,0.987715,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789463885000,2026-09-15T09:18:08.530Z,0.987655,WAIT,WAIT,WAIT,WAIT,0.987715,0.987625,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789463890000,2026-09-15T09:18:10.597Z,0.987615,WAIT,WAIT,WAIT,WAIT,0.987715,0.987625,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789463940000,2026-09-15T09:19:04.248Z,0.987715,WAIT,WAIT,WAIT,BUY,0.987825,0.987825,,,,,,,WIN,WIN
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789463945000,2026-09-15T09:19:08.301Z,0.987645,WAIT,WAIT,WAIT,WAIT,0.987825,0.987815,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789463950000,2026-09-15T09:19:12.096Z,0.987625,WAIT,WAIT,WAIT,WAIT,0.987825,0.987905,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789463980000,2026-09-15T09:19:43.355Z,0.987665,WAIT,WAIT,WAIT,WAIT,0.987906,0.987955,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789463985000,2026-09-15T09:19:45.701Z,0.987625,WAIT,WAIT,WAIT,WAIT,0.987905,0.987955,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789464005000,2026-09-15T09:20:08.802Z,0.987815,WAIT,WAIT,WAIT,WAIT,0.987955,0.988015,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789464010000,2026-09-15T09:20:10.953Z,0.987835,WAIT,WAIT,WAIT,WAIT,0.987955,0.988015,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789464015000,2026-09-15T09:20:19.937Z,0.987905,WAIT,WAIT,WAIT,WAIT,0.987975,0.988012,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789464020000,2026-09-15T09:20:22.160Z,0.987885,WAIT,WAIT,WAIT,WAIT,0.988015,0.988012,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789464025000,2026-09-15T09:20:29.112Z,0.987906,WAIT,WAIT,WAIT,WAIT,0.988015,0.988046,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789464030000,2026-09-15T09:20:33.716Z,0.987895,WAIT,WAIT,WAIT,WAIT,0.988012,0.988105,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789464035000,2026-09-15T09:20:35.879Z,0.987975,WAIT,WAIT,WAIT,WAIT,0.988012,0.988135,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789464040000,2026-09-15T09:20:40.933Z,0.9879,WAIT,WAIT,WAIT,WAIT,0.988075,0.9881,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789464060000,2026-09-15T09:21:02.820Z,0.987955,WAIT,WAIT,WAIT,WAIT,0.988205,0.988225,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789464065000,2026-09-15T09:21:07.792Z,0.988015,WAIT,WAIT,WAIT,WAIT,0.988205,0.988215,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789464070000,2026-09-15T09:21:12.849Z,0.988015,WAIT,WAIT,WAIT,WAIT,0.988205,0.988245,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789464075000,2026-09-15T09:21:17.911Z,0.988025,WAIT,WAIT,WAIT,WAIT,0.988225,0.988253,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789464105000,2026-09-15T09:21:45.310Z,0.988105,WAIT,WAIT,WAIT,WAIT,0.988275,0.988445,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789464120000,2026-09-15T09:22:01.648Z,0.988205,WAIT,WAIT,WAIT,WAIT,0.988445,0.988445,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789464125000,2026-09-15T09:22:07.193Z,0.988225,WAIT,WAIT,WAIT,WAIT,0.988445,0.988398,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789464130000,2026-09-15T09:22:14.445Z,0.988245,WAIT,WAIT,WAIT,WAIT,0.988445,0.988375,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789464135000,2026-09-15T09:22:18.342Z,0.988253,WAIT,WAIT,WAIT,WAIT,0.988398,0.988455,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789464140000,2026-09-15T09:22:20.536Z,0.988265,WAIT,WAIT,WAIT,WAIT,0.988398,0.98846,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789464180000,2026-09-15T09:23:02.641Z,0.988445,WAIT,WAIT,WAIT,WAIT,0.9884,0.98884,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789464185000,2026-09-15T09:23:09.647Z,0.988398,WAIT,WAIT,WAIT,WAIT,0.9884,0.988425,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789464300000,2026-09-15T09:25:04.059Z,0.988594,WAIT,WAIT,WAIT,WAIT,0.988541,0.988575,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789464305000,2026-09-15T09:25:09.013Z,0.98855,WAIT,WAIT,WAIT,WAIT,0.988541,0.9885,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789464335000,2026-09-15T09:25:39.597Z,0.988515,WAIT,WAIT,WAIT,WAIT,0.988535,0.988565,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789464340000,2026-09-15T09:25:44.926Z,0.988555,WAIT,WAIT,WAIT,WAIT,0.988535,0.988625,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789464360000,2026-09-15T09:26:03.431Z,0.988541,WAIT,WAIT,WAIT,WAIT,0.988625,0.988625,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789464365000,2026-09-15T09:26:08.220Z,0.988575,WAIT,WAIT,WAIT,WAIT,0.988625,0.988545,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789464370000,2026-09-15T09:26:12.895Z,0.988545,WAIT,WAIT,WAIT,WAIT,0.988615,0.988465,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789464375000,2026-09-15T09:26:15.774Z,0.9885,WAIT,WAIT,WAIT,WAIT,0.988615,0.988405,,,,,,,,
vision_da3c1c36-5baa-4a61-964c-24f45b3e38d7:1789464380000,2026-09-15T09:26:21.622Z,0.988567,WAIT,WAIT,WAIT,WAIT,0.988615,0.988365,,,,,,,,
