event_id,t0_iso,entry_price,A,B,C,D,price_t45,price_t60,A_45,A_60,B_45,B_60,C_45,C_60,D_45,D_60
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789474680000,2026-09-15T12:18:04.638Z,0.985815,WAIT,WAIT,WAIT,WAIT,0.98572,0.985753,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789474685000,2026-09-15T12:18:09.643Z,0.9858,WAIT,WAIT,WAIT,WAIT,0.98572,0.985783,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789474690000,2026-09-15T12:18:14.555Z,0.985795,WAIT,WAIT,WAIT,WAIT,0.98572,0.985795,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789474700000,2026-09-15T12:18:22.291Z,0.985795,WAIT,WAIT,WAIT,WAIT,0.985755,0.985805,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789474705000,2026-09-15T12:18:26.666Z,0.985785,WAIT,WAIT,WAIT,BUY,0.985783,0.98578,,,,,,,LOSS,LOSS
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789474710000,2026-09-15T12:18:32.619Z,0.985815,WAIT,WAIT,WAIT,WAIT,0.985805,0.98578,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789474715000,2026-09-15T12:18:38.740Z,0.985815,WAIT,WAIT,WAIT,WAIT,0.985805,0.985715,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789474720000,2026-09-15T12:18:43.180Z,0.985775,WAIT,WAIT,WAIT,WAIT,0.98578,0.985495,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789474740000,2026-09-15T12:19:04.859Z,0.985753,WAIT,WAIT,WAIT,WAIT,0.985495,0.985495,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789474745000,2026-09-15T12:19:09.408Z,0.985765,WAIT,WAIT,WAIT,WAIT,0.985495,0.98548,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789474750000,2026-09-15T12:19:13.742Z,0.985783,WAIT,WAIT,WAIT,BUY,0.985495,0.985535,,,,,,,LOSS,LOSS
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789474755000,2026-09-15T12:19:15.931Z,0.985795,WAIT,WAIT,WAIT,WAIT,0.985495,0.985497,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789474760000,2026-09-15T12:19:21.969Z,0.985805,WAIT,WAIT,WAIT,WAIT,0.985495,0.985275,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789474765000,2026-09-15T12:19:25.128Z,0.985805,WAIT,WAIT,WAIT,WAIT,0.98548,0.985275,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789474770000,2026-09-15T12:19:32.826Z,0.98578,WAIT,WAIT,WAIT,WAIT,0.985275,0.985275,,,,,,,,
