trade_id,strategy_version,asset,decision,confidence,reference_timestamp_iso,settlement_target_iso,settlement_observed_iso,result,created_iso
shadow-bollinger-rsi-v1_1789411060000_rzate3,shadow-bollinger-rsi-v1,EUR/NZD,SELL,0.85,2026-09-14T18:37:42.419Z,2026-09-14T18:38:42.419Z,2026-09-14T18:38:43.502Z,DRAW,2026-09-14T18:37:43.231Z
shadow-bollinger-rsi-v1_1789411055000_qh70az,shadow-bollinger-rsi-v1,EUR/NZD,SELL,0.85,2026-09-14T18:37:39.831Z,2026-09-14T18:38:39.831Z,2026-09-14T18:38:43.502Z,DRAW,2026-09-14T18:37:38.231Z
shadow-bollinger-rsi-v1_1789411045000_idkd03,shadow-bollinger-rsi-v1,EUR/NZD,SELL,0.85,2026-09-14T18:37:28.765Z,2026-09-14T18:38:28.765Z,2026-09-14T18:38:32.552Z,DRAW,2026-09-14T18:37:28.230Z
shadow-bollinger-rsi-v1_1789411035000_pfjmcf,shadow-bollinger-rsi-v1,EUR/NZD,SELL,0.85,2026-09-14T18:37:17.023Z,2026-09-14T18:38:17.023Z,2026-09-14T18:38:17.176Z,DRAW,2026-09-14T18:37:18.230Z
shadow-bollinger-rsi-v1_1789411030000_owyjw0,shadow-bollinger-rsi-v1,EUR/NZD,SELL,0.85,2026-09-14T18:37:11.250Z,2026-09-14T18:38:11.250Z,2026-09-14T18:38:12.139Z,DRAW,2026-09-14T18:37:13.229Z
shadow-bollinger-rsi-v1_1789411025000_dvrp9x,shadow-bollinger-rsi-v1,EUR/NZD,SELL,0.85,2026-09-14T18:37:08.104Z,2026-09-14T18:38:08.104Z,2026-09-14T18:38:08.998Z,DRAW,2026-09-14T18:37:08.229Z
shadow-bollinger-rsi-v1_1789411020000_2eujfe,shadow-bollinger-rsi-v1,EUR/NZD,SELL,0.85,2026-09-14T18:37:04.668Z,2026-09-14T18:38:04.668Z,2026-09-14T18:38:05.982Z,DRAW,2026-09-14T18:37:03.229Z
shadow-bollinger-rsi-v1_1789411015000_hy7tus,shadow-bollinger-rsi-v1,EUR/NZD,SELL,0.85,2026-09-14T18:36:59.215Z,2026-09-14T18:37:59.215Z,2026-09-14T18:38:03.033Z,DRAW,2026-09-14T18:36:58.228Z
shadow-bollinger-rsi-v1_1789411010000_6oh5kp,shadow-bollinger-rsi-v1,EUR/NZD,SELL,0.85,2026-09-14T18:36:50.704Z,2026-09-14T18:37:50.704Z,2026-09-14T18:37:51.714Z,DRAW,2026-09-14T18:36:53.228Z
shadow-bollinger-rsi-v1_1789411005000_wgh3gh,shadow-bollinger-rsi-v1,EUR/NZD,SELL,0.85,2026-09-14T18:36:47.732Z,2026-09-14T18:37:47.732Z,2026-09-14T18:37:51.714Z,DRAW,2026-09-14T18:36:48.228Z
