trade_id,strategy_version,asset,decision,confidence,reference_timestamp_iso,settlement_target_iso,settlement_observed_iso,result,created_iso
shadow-macd-rsi-v1_1789410500000_ea2k8i,shadow-macd-rsi-v1,EUR/NZD,SELL,0.7781650077621212,2026-09-14T18:28:21.879Z,2026-09-14T18:29:21.879Z,2026-09-14T18:29:23.549Z,DRAW,2026-09-14T18:28:23.202Z
shadow-macd-rsi-v1_1789410480000_i6co2f,shadow-macd-rsi-v1,EUR/NZD,SELL,0.700524833042337,2026-09-14T18:28:03.376Z,2026-09-14T18:29:03.376Z,2026-09-14T18:29:14.387Z,DRAW,2026-09-14T18:28:03.202Z
shadow-macd-rsi-v1_1789410475000_ffgael,shadow-macd-rsi-v1,EUR/NZD,SELL,0.6400408235967543,2026-09-14T18:27:58.771Z,2026-09-14T18:28:58.771Z,2026-09-14T18:28:59.606Z,DRAW,2026-09-14T18:27:58.202Z
shadow-macd-rsi-v1_1789410465000_x682gx,shadow-macd-rsi-v1,EUR/NZD,SELL,0.560804275927584,2026-09-14T18:27:45.841Z,2026-09-14T18:28:45.841Z,2026-09-14T18:28:57.457Z,DRAW,2026-09-14T18:27:43.201Z
shadow-macd-rsi-v1_1789410385000_8xsceq,shadow-macd-rsi-v1,EUR/NZD,BUY,0.85,2026-09-14T18:26:27.207Z,2026-09-14T18:27:27.207Z,2026-09-14T18:27:45.841Z,LOSS,2026-09-14T18:26:28.198Z
shadow-macd-rsi-v1_1789409995000_fhhxji,shadow-macd-rsi-v1,EUR/NZD,BUY,0.5399273410314205,2026-09-14T18:19:58.381Z,2026-09-14T18:20:58.381Z,2026-09-14T18:20:59.548Z,WIN,2026-09-14T18:19:58.179Z
shadow-macd-rsi-v1_1789409140000_ilm0sb,shadow-macd-rsi-v1,EUR/NZD,BUY,0.85,2026-09-14T18:05:43.378Z,2026-09-14T18:06:43.378Z,2026-09-14T18:06:56.815Z,WIN,2026-09-14T18:19:42.749Z
shadow-macd-rsi-v1_1789409130000_9lqk9z,shadow-macd-rsi-v1,EUR/NZD,BUY,0.85,2026-09-14T18:05:31.504Z,2026-09-14T18:06:31.504Z,2026-09-14T18:06:56.815Z,WIN,2026-09-14T18:19:42.749Z
shadow-macd-rsi-v1_1789409880000_ty2bxs,shadow-macd-rsi-v1,EUR/NZD,BUY,0.85,2026-09-14T18:18:01.052Z,2026-09-14T18:19:01.052Z,2026-09-14T18:19:05.550Z,WIN,2026-09-14T18:18:03.165Z
shadow-macd-rsi-v1_1789409875000_ot6r4c,shadow-macd-rsi-v1,EUR/NZD,BUY,0.85,2026-09-14T18:17:58.662Z,2026-09-14T18:18:58.662Z,2026-09-14T18:19:00.418Z,WIN,2026-09-14T18:17:58.165Z
shadow-macd-rsi-v1_1789409855000_8jh40f,shadow-macd-rsi-v1,EUR/NZD,BUY,0.85,2026-09-14T18:17:37.799Z,2026-09-14T18:18:37.799Z,2026-09-14T18:18:40.435Z,WIN,2026-09-14T18:17:38.160Z
shadow-macd-rsi-v1_1789409645000_k78z1d,shadow-macd-rsi-v1,EUR/NZD,SELL,0.5612174904925933,2026-09-14T18:14:06.340Z,2026-09-14T18:15:06.340Z,2026-09-14T18:15:43.981Z,LOSS,2026-09-14T18:14:08.124Z
