trade_id,strategy_version,asset,decision,confidence,reference_timestamp_iso,settlement_target_iso,settlement_observed_iso,result,created_iso
shadow-momentum-v1_1789410415000_gbhutr,shadow-momentum-v1,EUR/NZD,SELL,0.6057730011045214,2026-09-14T18:26:57.486Z,2026-09-14T18:27:57.486Z,2026-09-14T18:27:58.771Z,DRAW,2026-09-14T18:26:58.200Z
shadow-momentum-v1_1789410350000_rp2ttd,shadow-momentum-v1,EUR/NZD,SELL,0.85,2026-09-14T18:25:50.227Z,2026-09-14T18:26:50.227Z,2026-09-14T18:26:53.791Z,LOSS,2026-09-14T18:25:48.197Z
shadow-momentum-v1_1789410330000_tfihcm,shadow-momentum-v1,EUR/NZD,SELL,0.85,2026-09-14T18:25:30.174Z,2026-09-14T18:26:30.174Z,2026-09-14T18:26:31.636Z,LOSS,2026-09-14T18:25:28.197Z
shadow-momentum-v1_1789410315000_4bcfoj,shadow-momentum-v1,EUR/NZD,SELL,0.85,2026-09-14T18:25:18.993Z,2026-09-14T18:26:18.993Z,2026-09-14T18:26:27.207Z,LOSS,2026-09-14T18:25:18.196Z
shadow-momentum-v1_1789410300000_afhkke,shadow-momentum-v1,EUR/NZD,SELL,0.7510166803505824,2026-09-14T18:25:00.706Z,2026-09-14T18:26:00.706Z,2026-09-14T18:26:27.207Z,LOSS,2026-09-14T18:24:58.195Z
shadow-momentum-v1_1789410200000_lzvulx,shadow-momentum-v1,EUR/NZD,BUY,0.85,2026-09-14T18:23:23.670Z,2026-09-14T18:24:23.670Z,,UNKNOWN,2026-09-14T18:23:23.192Z
shadow-momentum-v1_1789410195000_fovv65,shadow-momentum-v1,EUR/NZD,BUY,0.85,2026-09-14T18:23:17.709Z,2026-09-14T18:24:17.709Z,,UNKNOWN,2026-09-14T18:23:18.192Z
shadow-momentum-v1_1789410190000_jfvej8,shadow-momentum-v1,EUR/NZD,BUY,0.85,2026-09-14T18:23:12.037Z,2026-09-14T18:24:12.037Z,,UNKNOWN,2026-09-14T18:23:13.192Z
shadow-momentum-v1_1789410180000_qhxa0i,shadow-momentum-v1,EUR/NZD,BUY,0.85,2026-09-14T18:23:00.502Z,2026-09-14T18:24:00.502Z,,UNKNOWN,2026-09-14T18:23:03.191Z
shadow-momentum-v1_1789410175000_lfi0c6,shadow-momentum-v1,EUR/NZD,BUY,0.85,2026-09-14T18:22:58.577Z,2026-09-14T18:23:58.577Z,,UNKNOWN,2026-09-14T18:22:58.191Z
shadow-momentum-v1_1789410170000_qm55j0,shadow-momentum-v1,EUR/NZD,BUY,0.85,2026-09-14T18:22:51.471Z,2026-09-14T18:23:51.471Z,,UNKNOWN,2026-09-14T18:22:53.192Z
shadow-momentum-v1_1789410165000_q0znmi,shadow-momentum-v1,EUR/NZD,BUY,0.85,2026-09-14T18:22:45.507Z,2026-09-14T18:23:45.507Z,,UNKNOWN,2026-09-14T18:22:48.191Z
shadow-momentum-v1_1789410160000_poz169,shadow-momentum-v1,EUR/NZD,BUY,0.85,2026-09-14T18:22:40.174Z,2026-09-14T18:23:40.174Z,,UNKNOWN,2026-09-14T18:22:43.190Z
shadow-momentum-v1_1789410155000_u2ymuc,shadow-momentum-v1,EUR/NZD,BUY,0.85,2026-09-14T18:22:38.123Z,2026-09-14T18:23:38.123Z,,UNKNOWN,2026-09-14T18:22:38.190Z
shadow-momentum-v1_1789410140000_hzw94b,shadow-momentum-v1,EUR/NZD,BUY,0.8192082075351379,2026-09-14T18:22:22.188Z,2026-09-14T18:23:22.188Z,2026-09-14T18:23:23.670Z,WIN,2026-09-14T18:22:23.190Z
shadow-momentum-v1_1789410125000_arls00,shadow-momentum-v1,EUR/NZD,BUY,0.844824132947875,2026-09-14T18:22:09.972Z,2026-09-14T18:23:09.972Z,2026-09-14T18:23:12.037Z,WIN,2026-09-14T18:22:13.189Z
shadow-momentum-v1_1789410120000_1f2ole,shadow-momentum-v1,EUR/NZD,BUY,0.8413005849052065,2026-09-14T18:22:01.136Z,2026-09-14T18:23:01.136Z,2026-09-14T18:23:09.527Z,WIN,2026-09-14T18:22:03.189Z
