trade_id,strategy_version,asset,decision,confidence,reference_timestamp_iso,settlement_target_iso,settlement_observed_iso,result,created_iso
shadow-pullback-v1_1789410475000_seazkk,shadow-pullback-v1,EUR/NZD,SELL,0.6594332855093229,2026-09-14T18:27:58.771Z,2026-09-14T18:28:58.771Z,2026-09-14T18:28:59.606Z,DRAW,2026-09-14T18:27:58.202Z
shadow-pullback-v1_1789410465000_edvgbn,shadow-pullback-v1,EUR/NZD,SELL,0.6541888533901579,2026-09-14T18:27:45.841Z,2026-09-14T18:28:45.841Z,2026-09-14T18:28:57.457Z,DRAW,2026-09-14T18:27:43.201Z
shadow-pullback-v1_1789410385000_zox7tq,shadow-pullback-v1,EUR/NZD,BUY,0.5655952612157701,2026-09-14T18:26:27.207Z,2026-09-14T18:27:27.207Z,2026-09-14T18:27:45.841Z,LOSS,2026-09-14T18:26:28.198Z
shadow-pullback-v1_1789409045000_j1jxkp,shadow-pullback-v1,EUR/NZD,SELL,0.6139073494917847,2026-09-14T18:04:06.352Z,2026-09-14T18:05:06.352Z,2026-09-14T18:05:07.711Z,WIN,2026-09-14T18:04:03.081Z
shadow-pullback-v1_1789409030000_nzui1v,shadow-pullback-v1,EUR/NZD,SELL,0.6365289256198321,2026-09-14T18:03:51.535Z,2026-09-14T18:04:51.535Z,2026-09-14T18:04:51.875Z,WIN,2026-09-14T18:03:53.081Z
shadow-pullback-v1_1789409020000_niq4oj,shadow-pullback-v1,EUR/NZD,SELL,0.6397340810419676,2026-09-14T18:03:43.477Z,2026-09-14T18:04:43.477Z,2026-09-14T18:04:44.406Z,WIN,2026-09-14T18:03:43.080Z
shadow-pullback-v1_1789409005000_p23orb,shadow-pullback-v1,EUR/NZD,SELL,0.6575935127027148,2026-09-14T18:03:26.060Z,2026-09-14T18:04:26.060Z,2026-09-14T18:04:26.569Z,WIN,2026-09-14T18:03:33.081Z
shadow-pullback-v1_1789408445000_9gq99w,shadow-pullback-v1,EUR/NZD,SELL,0.5830288123682411,2026-09-14T17:54:08.629Z,2026-09-14T17:55:08.629Z,2026-09-14T17:55:18.893Z,WIN,2026-09-14T17:54:13.027Z
shadow-pullback-v1_1789408440000_4bmjmr,shadow-pullback-v1,EUR/NZD,SELL,0.6239267193743154,2026-09-14T17:54:02.558Z,2026-09-14T17:55:02.558Z,2026-09-14T17:55:18.893Z,WIN,2026-09-14T17:54:03.025Z
shadow-pullback-v1_1789408420000_s8be80,shadow-pullback-v1,EUR/NZD,SELL,0.5719141255088718,2026-09-14T17:53:43.612Z,2026-09-14T17:54:43.612Z,2026-09-14T17:54:43.859Z,WIN,2026-09-14T17:53:43.024Z
shadow-pullback-v1_1789408345000_fpjfu8,shadow-pullback-v1,EUR/NZD,SELL,0.5697075651621148,2026-09-14T17:52:28.728Z,2026-09-14T17:53:28.728Z,2026-09-14T17:53:29.161Z,LOSS,2026-09-14T17:52:28.024Z
shadow-pullback-v1_1789408265000_4g18u8,shadow-pullback-v1,EUR/NZD,SELL,0.5836918165014411,2026-09-14T17:51:09.899Z,2026-09-14T17:52:09.899Z,,UNKNOWN,2026-09-14T17:51:08.016Z
shadow-pullback-v1_1789408205000_0v1zvv,shadow-pullback-v1,EUR/NZD,SELL,0.7201738991703931,2026-09-14T17:50:05.819Z,2026-09-14T17:51:05.819Z,2026-09-14T17:51:09.899Z,LOSS,2026-09-14T17:50:08.001Z
shadow-pullback-v1_1789406935000_i9lb2v,shadow-pullback-v1,EUR/NZD,SELL,0.57212593876372,2026-09-14T17:28:56.072Z,2026-09-14T17:29:56.072Z,2026-09-14T17:29:56.173Z,WIN,2026-09-14T17:28:57.775Z
shadow-pullback-v1_1789400540000_898y8k,shadow-pullback-v1,EUR/USD,BUY,0.631753764393313,2026-09-14T15:42:24.813Z,2026-09-14T15:43:24.813Z,2026-09-14T15:43:26.162Z,DRAW,2026-09-14T16:01:36.621Z
shadow-pullback-v1_1789401525000_7yepie,shadow-pullback-v1,EUR/USD,SELL,0.6227611940298525,2026-09-14T15:58:49.888Z,2026-09-14T15:59:49.888Z,2026-09-14T16:00:17.802Z,LOSS,2026-09-14T16:01:36.621Z
shadow-pullback-v1_1789398750000_qvqx4j,shadow-pullback-v1,EUR/USD,BUY,0.6090841949778566,2026-09-14T15:12:31.206Z,2026-09-14T15:13:31.206Z,2026-09-14T15:13:32.506Z,LOSS,2026-09-14T16:01:36.621Z
shadow-pullback-v1_1789401530000_ab3ayh,shadow-pullback-v1,EUR/USD,SELL,0.5834615384615564,2026-09-14T15:58:51.779Z,2026-09-14T15:59:51.779Z,2026-09-14T16:00:17.802Z,LOSS,2026-09-14T15:58:51.688Z
shadow-pullback-v1_1789401520000_3irvb3,shadow-pullback-v1,EUR/USD,SELL,0.5613636363636396,2026-09-14T15:58:41.466Z,2026-09-14T15:59:41.466Z,2026-09-14T16:00:17.802Z,LOSS,2026-09-14T15:58:41.688Z
shadow-pullback-v1_1789400650000_hcycl7,shadow-pullback-v1,EUR/USD,BUY,0.5572727272727992,2026-09-14T15:44:11.143Z,2026-09-14T15:45:11.143Z,2026-09-14T15:45:11.391Z,LOSS,2026-09-14T15:44:11.649Z
shadow-pullback-v1_1789400545000_k9aylq,shadow-pullback-v1,EUR/USD,BUY,0.5991210937499747,2026-09-14T15:42:27.343Z,2026-09-14T15:43:27.343Z,2026-09-14T15:43:27.774Z,LOSS,2026-09-14T15:42:26.644Z
shadow-pullback-v1_1789400530000_xaiavc,shadow-pullback-v1,EUR/USD,BUY,0.6476806422836678,2026-09-14T15:42:11.513Z,2026-09-14T15:43:11.513Z,2026-09-14T15:43:15.912Z,WIN,2026-09-14T15:42:11.644Z
shadow-pullback-v1_1789399900000_5bvxqz,shadow-pullback-v1,EUR/USD,BUY,0.5730490018149121,2026-09-14T15:31:41.249Z,2026-09-14T15:32:41.249Z,2026-09-14T15:32:45.039Z,DRAW,2026-09-14T15:31:41.621Z
shadow-pullback-v1_1789398905000_t71v2x,shadow-pullback-v1,EUR/USD,SELL,0.5617331288343654,2026-09-14T15:15:05.073Z,2026-09-14T15:16:05.073Z,2026-09-14T15:16:05.752Z,LOSS,2026-09-14T15:15:05.084Z
shadow-pullback-v1_1789398755000_gubxc9,shadow-pullback-v1,EUR/USD,BUY,0.5681307097680529,2026-09-14T15:12:36.166Z,2026-09-14T15:13:36.166Z,2026-09-14T15:13:37.868Z,LOSS,2026-09-14T15:12:35.070Z
