trade_id,strategy_version,asset,decision,confidence,reference_timestamp_iso,settlement_target_iso,settlement_observed_iso,result,created_iso
shadow-reversion-v1_1789431655000_45c0ds,shadow-reversion-v1,EUR/NZD,BUY,0.6661045589351045,2026-09-15T00:20:58.170Z,2026-09-15T00:21:58.170Z,,UNKNOWN,2026-09-15T00:20:58.808Z
shadow-reversion-v1_1789431650000_eihpxk,shadow-reversion-v1,EUR/NZD,BUY,0.6955937745767815,2026-09-15T00:20:54.212Z,2026-09-15T00:21:54.212Z,,UNKNOWN,2026-09-15T00:20:53.808Z
shadow-reversion-v1_1789431645000_ks4j6g,shadow-reversion-v1,EUR/NZD,BUY,0.7371531025880917,2026-09-15T00:20:49.914Z,2026-09-15T00:21:49.914Z,,UNKNOWN,2026-09-15T00:20:48.808Z
shadow-reversion-v1_1789431630000_tr8z23,shadow-reversion-v1,EUR/NZD,BUY,0.651039230969092,2026-09-15T00:20:32.956Z,2026-09-15T00:21:32.956Z,,UNKNOWN,2026-09-15T00:20:33.808Z
shadow-reversion-v1_1789431560000_bk6s4o,shadow-reversion-v1,EUR/NZD,SELL,0.6640550443081081,2026-09-15T00:19:24.864Z,2026-09-15T00:20:24.864Z,2026-09-15T00:20:26.838Z,WIN,2026-09-15T00:19:23.804Z
shadow-reversion-v1_1789431555000_dnmprf,shadow-reversion-v1,EUR/NZD,SELL,0.6677083333333333,2026-09-15T00:19:19.210Z,2026-09-15T00:20:19.210Z,2026-09-15T00:20:21.818Z,WIN,2026-09-15T00:19:18.804Z
shadow-reversion-v1_1789431545000_trmeuz,shadow-reversion-v1,EUR/NZD,SELL,0.6670377541142307,2026-09-15T00:19:07.519Z,2026-09-15T00:20:07.519Z,2026-09-15T00:20:21.818Z,WIN,2026-09-15T00:19:08.803Z
shadow-reversion-v1_1789431540000_ydyi72,shadow-reversion-v1,EUR/NZD,SELL,0.6646291297082088,2026-09-15T00:19:01.457Z,2026-09-15T00:20:01.457Z,2026-09-15T00:20:21.818Z,WIN,2026-09-15T00:19:03.804Z
shadow-reversion-v1_1789431520000_th8q1v,shadow-reversion-v1,EUR/NZD,BUY,0.6520359747893363,2026-09-15T00:18:41.555Z,2026-09-15T00:19:41.555Z,2026-09-15T00:19:46.060Z,WIN,2026-09-15T00:18:43.802Z
shadow-reversion-v1_1789431510000_vbldfp,shadow-reversion-v1,EUR/NZD,BUY,0.751064055280029,2026-09-15T00:18:32.441Z,2026-09-15T00:19:32.441Z,2026-09-15T00:19:33.794Z,WIN,2026-09-15T00:18:33.802Z
shadow-reversion-v1_1789431505000_rp0646,shadow-reversion-v1,EUR/NZD,BUY,0.7927535246385018,2026-09-15T00:18:26.682Z,2026-09-15T00:19:26.682Z,2026-09-15T00:19:27.835Z,WIN,2026-09-15T00:18:28.802Z
shadow-reversion-v1_1789431500000_5wlmsh,shadow-reversion-v1,EUR/NZD,BUY,0.7731991716189763,2026-09-15T00:18:21.593Z,2026-09-15T00:19:21.593Z,2026-09-15T00:19:22.279Z,WIN,2026-09-15T00:18:23.802Z
shadow-reversion-v1_1789431495000_z27q86,shadow-reversion-v1,EUR/NZD,BUY,0.8325236167341735,2026-09-15T00:18:16.690Z,2026-09-15T00:19:16.690Z,2026-09-15T00:19:19.210Z,WIN,2026-09-15T00:18:18.802Z
shadow-reversion-v1_1789431485000_5il85r,shadow-reversion-v1,EUR/NZD,BUY,0.8319220932075202,2026-09-15T00:18:07.407Z,2026-09-15T00:19:07.407Z,2026-09-15T00:19:07.519Z,WIN,2026-09-15T00:18:08.802Z
shadow-reversion-v1_1789431480000_z8u5a7,shadow-reversion-v1,EUR/NZD,BUY,0.7701103465377419,2026-09-15T00:18:01.488Z,2026-09-15T00:19:01.488Z,2026-09-15T00:19:07.519Z,WIN,2026-09-15T00:18:03.802Z
shadow-reversion-v1_1789431475000_2izwzh,shadow-reversion-v1,EUR/NZD,BUY,0.7812301930279635,2026-09-15T00:17:58.926Z,2026-09-15T00:18:58.926Z,2026-09-15T00:18:59.469Z,WIN,2026-09-15T00:17:58.802Z
shadow-reversion-v1_1789431470000_cv4gk0,shadow-reversion-v1,EUR/NZD,BUY,0.8066552362934107,2026-09-15T00:17:52.703Z,2026-09-15T00:18:52.703Z,2026-09-15T00:18:53.317Z,WIN,2026-09-15T00:17:53.801Z
shadow-reversion-v1_1789431465000_7486is,shadow-reversion-v1,EUR/NZD,BUY,0.7271064891236554,2026-09-15T00:17:47.920Z,2026-09-15T00:18:47.920Z,2026-09-15T00:18:53.317Z,WIN,2026-09-15T00:17:48.801Z
shadow-reversion-v1_1789431455000_tx9bpr,shadow-reversion-v1,EUR/NZD,BUY,0.7587521824733401,2026-09-15T00:17:39.263Z,2026-09-15T00:18:39.263Z,2026-09-15T00:18:41.555Z,WIN,2026-09-15T00:17:38.801Z
shadow-reversion-v1_1789431435000_orx3t0,shadow-reversion-v1,EUR/NZD,BUY,0.6293179317931736,2026-09-15T00:17:19.171Z,2026-09-15T00:18:19.171Z,2026-09-15T00:18:21.593Z,LOSS,2026-09-15T00:17:18.801Z
shadow-reversion-v1_1789431430000_508wsn,shadow-reversion-v1,EUR/NZD,BUY,0.6358824795192154,2026-09-15T00:17:14.696Z,2026-09-15T00:18:14.696Z,2026-09-15T00:18:16.690Z,LOSS,2026-09-15T00:17:13.801Z
shadow-reversion-v1_1789431245000_q9rla4,shadow-reversion-v1,EUR/NZD,BUY,0.6635155831227486,2026-09-15T00:14:09.433Z,2026-09-15T00:15:09.433Z,2026-09-15T00:15:12.638Z,WIN,2026-09-15T00:14:13.778Z
shadow-reversion-v1_1789431235000_vqd4wa,shadow-reversion-v1,EUR/NZD,BUY,0.638572830992824,2026-09-15T00:13:58.972Z,2026-09-15T00:14:58.972Z,2026-09-15T00:14:59.113Z,LOSS,2026-09-15T00:13:58.778Z
shadow-reversion-v1_1789431230000_gzu9y6,shadow-reversion-v1,EUR/NZD,BUY,0.6543721580972344,2026-09-15T00:13:51.087Z,2026-09-15T00:14:51.087Z,2026-09-15T00:14:54.237Z,WIN,2026-09-15T00:13:53.777Z
shadow-reversion-v1_1789431195000_r4d9ea,shadow-reversion-v1,EUR/NZD,BUY,0.6571980774898578,2026-09-15T00:13:15.224Z,2026-09-15T00:14:15.224Z,2026-09-15T00:14:48.452Z,WIN,2026-09-15T00:13:18.775Z
shadow-reversion-v1_1789431185000_qjfash,shadow-reversion-v1,EUR/NZD,BUY,0.6180058400040348,2026-09-15T00:13:08.136Z,2026-09-15T00:14:08.136Z,2026-09-15T00:14:09.433Z,LOSS,2026-09-15T00:13:08.775Z
shadow-reversion-v1_1789431165000_g5w7aq,shadow-reversion-v1,EUR/NZD,BUY,0.6568256436841157,2026-09-15T00:12:46.328Z,2026-09-15T00:13:46.328Z,2026-09-15T00:13:51.087Z,LOSS,2026-09-15T00:12:48.775Z
shadow-reversion-v1_1789430875000_qkcgcf,shadow-reversion-v1,EUR/NZD,BUY,0.7834899304417462,2026-09-15T00:07:56.250Z,2026-09-15T00:08:56.250Z,2026-09-15T00:08:58.415Z,WIN,2026-09-15T00:07:58.768Z
shadow-reversion-v1_1789430580000_3iq2ki,shadow-reversion-v1,EUR/NZD,SELL,0.6836665373636213,2026-09-15T00:03:03.083Z,2026-09-15T00:04:03.083Z,,UNKNOWN,2026-09-14T23:58:58.723Z
shadow-reversion-v1_1789430120000_u07cu9,shadow-reversion-v1,EUR/NZD,BUY,0.6687525070196669,2026-09-14T23:55:23.993Z,2026-09-14T23:56:23.993Z,2026-09-14T23:57:13.318Z,WIN,2026-09-14T23:55:28.703Z
shadow-reversion-v1_1789429765000_hajpvg,shadow-reversion-v1,EUR/NZD,BUY,0.6873689990878828,2026-09-14T23:49:26.269Z,2026-09-14T23:50:26.269Z,,UNKNOWN,2026-09-14T23:49:33.547Z
shadow-reversion-v1_1789429730000_t4lx51,shadow-reversion-v1,EUR/NZD,BUY,0.6977764555511617,2026-09-14T23:48:50.265Z,2026-09-14T23:49:50.265Z,,UNKNOWN,2026-09-14T23:48:13.545Z
shadow-reversion-v1_1789429635000_u5sw41,shadow-reversion-v1,EUR/NZD,BUY,0.7160616135747571,2026-09-14T23:47:15.733Z,2026-09-14T23:48:15.733Z,2026-09-14T23:48:16.774Z,WIN,2026-09-14T23:45:43.541Z
shadow-reversion-v1_1789429425000_5a5om0,shadow-reversion-v1,EUR/NZD,BUY,0.6160665294924674,2026-09-14T23:43:46.405Z,2026-09-14T23:44:46.405Z,2026-09-14T23:44:46.635Z,LOSS,2026-09-14T23:43:48.519Z
shadow-reversion-v1_1789429420000_qcyg22,shadow-reversion-v1,EUR/NZD,BUY,0.6558891958702925,2026-09-14T23:43:42.614Z,2026-09-14T23:44:42.614Z,2026-09-14T23:44:42.861Z,WIN,2026-09-14T23:43:43.519Z
shadow-reversion-v1_1789429415000_uyt50g,shadow-reversion-v1,EUR/NZD,BUY,0.6307234134719646,2026-09-14T23:43:38.507Z,2026-09-14T23:44:38.507Z,2026-09-14T23:44:41.319Z,WIN,2026-09-14T23:43:38.519Z
shadow-reversion-v1_1789429410000_twbjra,shadow-reversion-v1,EUR/NZD,BUY,0.6158062001559041,2026-09-14T23:43:33.480Z,2026-09-14T23:44:33.480Z,2026-09-14T23:44:41.319Z,WIN,2026-09-14T23:43:33.519Z
shadow-reversion-v1_1789429390000_cq72wn,shadow-reversion-v1,EUR/NZD,BUY,0.6614494806421258,2026-09-14T23:43:10.568Z,2026-09-14T23:44:10.568Z,2026-09-14T23:44:41.319Z,WIN,2026-09-14T23:43:13.518Z
shadow-reversion-v1_1789429370000_hnojar,shadow-reversion-v1,EUR/NZD,BUY,0.6339843750000062,2026-09-14T23:42:53.508Z,2026-09-14T23:43:53.508Z,2026-09-14T23:44:04.686Z,WIN,2026-09-14T23:42:53.517Z
shadow-reversion-v1_1789429360000_yqv7fm,shadow-reversion-v1,EUR/NZD,BUY,0.6423504867872061,2026-09-14T23:42:40.545Z,2026-09-14T23:43:40.545Z,2026-09-14T23:43:40.594Z,LOSS,2026-09-14T23:42:43.517Z
shadow-reversion-v1_1789429275000_b0hld2,shadow-reversion-v1,EUR/NZD,BUY,0.6723807319502331,2026-09-14T23:41:18.115Z,2026-09-14T23:42:18.115Z,2026-09-14T23:42:18.175Z,WIN,2026-09-14T23:41:18.516Z
shadow-reversion-v1_1789429270000_4e17ty,shadow-reversion-v1,EUR/NZD,BUY,0.6305435140821836,2026-09-14T23:41:12.757Z,2026-09-14T23:42:12.757Z,2026-09-14T23:42:13.952Z,WIN,2026-09-14T23:41:13.517Z
shadow-reversion-v1_1789429265000_btxdod,shadow-reversion-v1,EUR/NZD,BUY,0.6349200104904285,2026-09-14T23:41:08.797Z,2026-09-14T23:42:08.797Z,2026-09-14T23:42:09.725Z,WIN,2026-09-14T23:41:08.515Z
shadow-reversion-v1_1789429245000_fcpha6,shadow-reversion-v1,EUR/NZD,BUY,0.6220642508493851,2026-09-14T23:40:48.209Z,2026-09-14T23:41:48.209Z,2026-09-14T23:42:01.632Z,WIN,2026-09-14T23:40:48.513Z
shadow-reversion-v1_1789429190000_v10faw,shadow-reversion-v1,EUR/NZD,BUY,0.6687993680884678,2026-09-14T23:39:53.180Z,2026-09-14T23:40:53.180Z,2026-09-14T23:40:54.239Z,WIN,2026-09-14T23:39:53.511Z
shadow-reversion-v1_1789429150000_220d9z,shadow-reversion-v1,EUR/NZD,BUY,0.6196607977718104,2026-09-14T23:39:14.053Z,2026-09-14T23:40:14.053Z,2026-09-14T23:40:15.101Z,LOSS,2026-09-14T23:39:13.511Z
shadow-reversion-v1_1789429145000_pakx1w,shadow-reversion-v1,EUR/NZD,BUY,0.6452687142303262,2026-09-14T23:39:08.239Z,2026-09-14T23:40:08.239Z,2026-09-14T23:40:08.395Z,WIN,2026-09-14T23:39:08.510Z
shadow-reversion-v1_1789429080000_awpbsx,shadow-reversion-v1,EUR/NZD,BUY,0.6258670201016175,2026-09-14T23:38:03.105Z,2026-09-14T23:39:03.105Z,,UNKNOWN,2026-09-14T23:38:03.508Z
shadow-reversion-v1_1789429075000_no5dor,shadow-reversion-v1,EUR/NZD,BUY,0.65117650877108,2026-09-14T23:37:57.458Z,2026-09-14T23:38:57.458Z,,UNKNOWN,2026-09-14T23:37:58.509Z
shadow-reversion-v1_1789429070000_0ybo3a,shadow-reversion-v1,EUR/NZD,BUY,0.7119307832422708,2026-09-14T23:37:52.607Z,2026-09-14T23:38:52.607Z,,UNKNOWN,2026-09-14T23:37:53.508Z
shadow-reversion-v1_1789429065000_srtdts,shadow-reversion-v1,EUR/NZD,BUY,0.6907777777777905,2026-09-14T23:37:48.165Z,2026-09-14T23:38:48.165Z,,UNKNOWN,2026-09-14T23:37:48.508Z
shadow-reversion-v1_1789429055000_j9hyc4,shadow-reversion-v1,EUR/NZD,BUY,0.7288674200996605,2026-09-14T23:37:37.671Z,2026-09-14T23:38:37.671Z,,UNKNOWN,2026-09-14T23:37:38.508Z
shadow-reversion-v1_1789429050000_20asfo,shadow-reversion-v1,EUR/NZD,BUY,0.7302424020951276,2026-09-14T23:37:33.955Z,2026-09-14T23:38:33.955Z,,UNKNOWN,2026-09-14T23:37:33.508Z
shadow-reversion-v1_1789429045000_scuevs,shadow-reversion-v1,EUR/NZD,BUY,0.7114257443354959,2026-09-14T23:37:28.339Z,2026-09-14T23:38:28.339Z,,UNKNOWN,2026-09-14T23:37:28.508Z
shadow-reversion-v1_1789429040000_0luieu,shadow-reversion-v1,EUR/NZD,BUY,0.718546683565705,2026-09-14T23:37:22.185Z,2026-09-14T23:38:22.185Z,2026-09-14T23:38:22.732Z,LOSS,2026-09-14T23:37:23.507Z
shadow-reversion-v1_1789429035000_s2vhfy,shadow-reversion-v1,EUR/NZD,BUY,0.7531604054859855,2026-09-14T23:37:17.902Z,2026-09-14T23:38:17.902Z,2026-09-14T23:38:18.732Z,LOSS,2026-09-14T23:37:18.507Z
shadow-reversion-v1_1789429030000_pxi312,shadow-reversion-v1,EUR/NZD,BUY,0.7680873816070866,2026-09-14T23:37:13.622Z,2026-09-14T23:38:13.622Z,2026-09-14T23:38:15.156Z,LOSS,2026-09-14T23:37:13.507Z
shadow-reversion-v1_1789429025000_jpi0j1,shadow-reversion-v1,EUR/NZD,BUY,0.7670265116565176,2026-09-14T23:37:07.679Z,2026-09-14T23:38:07.679Z,2026-09-14T23:38:09.268Z,WIN,2026-09-14T23:37:08.507Z
shadow-reversion-v1_1789429020000_r0jchq,shadow-reversion-v1,EUR/NZD,BUY,0.6960024818294572,2026-09-14T23:37:03.763Z,2026-09-14T23:38:03.763Z,2026-09-14T23:38:05.497Z,WIN,2026-09-14T23:37:03.508Z
shadow-reversion-v1_1789429015000_e5dwig,shadow-reversion-v1,EUR/NZD,BUY,0.6276212832550995,2026-09-14T23:36:56.684Z,2026-09-14T23:37:56.684Z,2026-09-14T23:37:57.458Z,LOSS,2026-09-14T23:36:58.507Z
shadow-reversion-v1_1789429010000_67z660,shadow-reversion-v1,EUR/NZD,BUY,0.6445861878888094,2026-09-14T23:36:54.752Z,2026-09-14T23:37:54.752Z,2026-09-14T23:37:54.971Z,LOSS,2026-09-14T23:36:53.507Z
shadow-reversion-v1_1789429005000_x6zz6f,shadow-reversion-v1,EUR/NZD,BUY,0.6434780030831267,2026-09-14T23:36:49.488Z,2026-09-14T23:37:49.488Z,2026-09-14T23:37:50.542Z,LOSS,2026-09-14T23:36:48.507Z
shadow-reversion-v1_1789428980000_ywa47f,shadow-reversion-v1,EUR/NZD,BUY,0.6216359257146598,2026-09-14T23:36:24.393Z,2026-09-14T23:37:24.393Z,2026-09-14T23:37:26.239Z,LOSS,2026-09-14T23:36:23.503Z
shadow-reversion-v1_1789428975000_lg9nds,shadow-reversion-v1,EUR/NZD,BUY,0.63360639096982,2026-09-14T23:36:15.900Z,2026-09-14T23:37:15.900Z,2026-09-14T23:37:17.902Z,LOSS,2026-09-14T23:36:18.503Z
shadow-reversion-v1_1789428955000_8fgzy4,shadow-reversion-v1,EUR/NZD,BUY,0.6243398106626843,2026-09-14T23:35:58.337Z,2026-09-14T23:36:58.337Z,2026-09-14T23:37:01.456Z,LOSS,2026-09-14T23:35:58.503Z
shadow-reversion-v1_1789428950000_pc2iyv,shadow-reversion-v1,EUR/NZD,BUY,0.6732390991854316,2026-09-14T23:35:53.934Z,2026-09-14T23:36:53.934Z,2026-09-14T23:36:54.752Z,LOSS,2026-09-14T23:35:53.503Z
shadow-reversion-v1_1789428945000_aiq8k7,shadow-reversion-v1,EUR/NZD,BUY,0.6734062949352959,2026-09-14T23:35:48.315Z,2026-09-14T23:36:48.315Z,2026-09-14T23:36:49.488Z,LOSS,2026-09-14T23:35:48.503Z
shadow-reversion-v1_1789428940000_oitwqn,shadow-reversion-v1,EUR/NZD,BUY,0.684484515077431,2026-09-14T23:35:43.754Z,2026-09-14T23:36:43.754Z,2026-09-14T23:36:43.905Z,WIN,2026-09-14T23:35:43.503Z
shadow-reversion-v1_1789428935000_f0pphw,shadow-reversion-v1,EUR/NZD,BUY,0.6595197978096069,2026-09-14T23:35:37.605Z,2026-09-14T23:36:37.605Z,2026-09-14T23:36:37.995Z,LOSS,2026-09-14T23:35:38.503Z
shadow-reversion-v1_1789428925000_1aim4x,shadow-reversion-v1,EUR/NZD,BUY,0.6565582309349645,2026-09-14T23:35:28.712Z,2026-09-14T23:36:28.712Z,2026-09-14T23:36:29.358Z,LOSS,2026-09-14T23:35:28.503Z
shadow-reversion-v1_1789428920000_z90lhr,shadow-reversion-v1,EUR/NZD,BUY,0.6466750098154729,2026-09-14T23:35:22.346Z,2026-09-14T23:36:22.346Z,2026-09-14T23:36:22.357Z,LOSS,2026-09-14T23:35:23.503Z
shadow-reversion-v1_1789428915000_9ygy48,shadow-reversion-v1,EUR/NZD,BUY,0.6611041273832039,2026-09-14T23:35:18.300Z,2026-09-14T23:36:18.300Z,2026-09-14T23:36:22.357Z,LOSS,2026-09-14T23:35:18.503Z
shadow-reversion-v1_1789428910000_2i89zv,shadow-reversion-v1,EUR/NZD,BUY,0.6586794574460688,2026-09-14T23:35:14.320Z,2026-09-14T23:36:14.320Z,2026-09-14T23:36:15.900Z,LOSS,2026-09-14T23:35:13.503Z
shadow-reversion-v1_1789428905000_xsndx4,shadow-reversion-v1,EUR/NZD,BUY,0.6350201829426345,2026-09-14T23:35:08.424Z,2026-09-14T23:36:08.424Z,2026-09-14T23:36:09.106Z,LOSS,2026-09-14T23:35:08.503Z
shadow-reversion-v1_1789428830000_ievawz,shadow-reversion-v1,EUR/NZD,BUY,0.6371424407183567,2026-09-14T23:33:54.470Z,2026-09-14T23:34:54.470Z,2026-09-14T23:34:55.125Z,WIN,2026-09-14T23:33:53.499Z
shadow-reversion-v1_1789428815000_zyf3vx,shadow-reversion-v1,EUR/NZD,BUY,0.6621791268503019,2026-09-14T23:33:39.246Z,2026-09-14T23:34:39.246Z,2026-09-14T23:34:39.698Z,LOSS,2026-09-14T23:33:38.499Z
shadow-reversion-v1_1789428810000_l0sowc,shadow-reversion-v1,EUR/NZD,BUY,0.65661565439185,2026-09-14T23:33:33.817Z,2026-09-14T23:34:33.817Z,2026-09-14T23:34:33.896Z,WIN,2026-09-14T23:33:33.499Z
shadow-reversion-v1_1789428805000_l7pdzp,shadow-reversion-v1,EUR/NZD,BUY,0.6949358316683865,2026-09-14T23:33:27.912Z,2026-09-14T23:34:27.912Z,2026-09-14T23:34:28.613Z,WIN,2026-09-14T23:33:28.499Z
shadow-reversion-v1_1789428800000_k5dn60,shadow-reversion-v1,EUR/NZD,BUY,0.7324915824915844,2026-09-14T23:33:24.306Z,2026-09-14T23:34:24.306Z,2026-09-14T23:34:26.712Z,WIN,2026-09-14T23:33:23.500Z
shadow-reversion-v1_1789428785000_06z2c9,shadow-reversion-v1,EUR/NZD,BUY,0.6744827861650351,2026-09-14T23:33:06.345Z,2026-09-14T23:34:06.345Z,2026-09-14T23:34:08.652Z,WIN,2026-09-14T23:33:13.499Z
shadow-reversion-v1_1789428780000_h29r9m,shadow-reversion-v1,EUR/NZD,BUY,0.6662351204799916,2026-09-14T23:33:04.344Z,2026-09-14T23:34:04.344Z,2026-09-14T23:34:04.620Z,WIN,2026-09-14T23:33:03.499Z
shadow-reversion-v1_1789428775000_bbmt2y,shadow-reversion-v1,EUR/NZD,BUY,0.6725728687267138,2026-09-14T23:32:57.920Z,2026-09-14T23:33:57.920Z,2026-09-14T23:33:58.858Z,WIN,2026-09-14T23:32:58.498Z
shadow-reversion-v1_1789428770000_u7r278,shadow-reversion-v1,EUR/NZD,BUY,0.6409625707772668,2026-09-14T23:32:53.593Z,2026-09-14T23:33:53.593Z,2026-09-14T23:33:54.470Z,LOSS,2026-09-14T23:32:53.498Z
shadow-reversion-v1_1789428760000_6kkfm7,shadow-reversion-v1,EUR/NZD,BUY,0.6649019086842838,2026-09-14T23:32:42.306Z,2026-09-14T23:33:42.306Z,2026-09-14T23:33:42.871Z,WIN,2026-09-14T23:32:43.498Z
