trade_id,strategy_version,asset,decision,confidence,reference_timestamp_iso,settlement_target_iso,settlement_observed_iso,result,created_iso
shadow-snapback-v1_1789431540000_30v7p6,shadow-snapback-v1,EUR/NZD,SELL,0.85,2026-09-15T00:19:01.457Z,2026-09-15T00:20:01.457Z,2026-09-15T00:20:21.818Z,WIN,2026-09-15T00:19:03.804Z
shadow-snapback-v1_1789431535000_7h8h84,shadow-snapback-v1,EUR/NZD,SELL,0.85,2026-09-15T00:18:59.469Z,2026-09-15T00:19:59.469Z,2026-09-15T00:20:01.226Z,WIN,2026-09-15T00:18:58.803Z
shadow-snapback-v1_1789431530000_q9555m,shadow-snapback-v1,EUR/NZD,SELL,0.85,2026-09-15T00:18:53.317Z,2026-09-15T00:19:53.317Z,2026-09-15T00:19:57.024Z,WIN,2026-09-15T00:18:53.802Z
shadow-snapback-v1_1789431520000_3bzau0,shadow-snapback-v1,EUR/NZD,SELL,0.7992063492063013,2026-09-15T00:18:41.555Z,2026-09-15T00:19:41.555Z,2026-09-15T00:19:46.060Z,LOSS,2026-09-15T00:18:43.802Z
shadow-snapback-v1_1789431510000_t94vm3,shadow-snapback-v1,EUR/NZD,SELL,0.7580459770114063,2026-09-15T00:18:32.441Z,2026-09-15T00:19:32.441Z,2026-09-15T00:19:33.794Z,LOSS,2026-09-15T00:18:33.802Z
shadow-snapback-v1_1789431415000_v0zyfd,shadow-snapback-v1,EUR/NZD,SELL,0.85,2026-09-15T00:16:57.399Z,2026-09-15T00:17:57.399Z,2026-09-15T00:17:58.926Z,WIN,2026-09-15T00:16:58.799Z
shadow-snapback-v1_1789431060000_u4i7p7,shadow-snapback-v1,EUR/NZD,BUY,0.8500000000000326,2026-09-15T00:11:00.915Z,2026-09-15T00:12:00.915Z,2026-09-15T00:12:07.902Z,LOSS,2026-09-15T00:11:03.769Z
shadow-snapback-v1_1789431025000_alq8rk,shadow-snapback-v1,EUR/NZD,SELL,0.7967535995652957,2026-09-15T00:10:28.969Z,2026-09-15T00:11:28.969Z,2026-09-15T00:11:32.229Z,LOSS,2026-09-15T00:10:28.769Z
shadow-snapback-v1_1789430925000_fwosqq,shadow-snapback-v1,EUR/NZD,SELL,0.85,2026-09-15T00:08:48.998Z,2026-09-15T00:09:48.998Z,2026-09-15T00:09:52.391Z,WIN,2026-09-15T00:08:53.768Z
shadow-snapback-v1_1789430745000_rabghx,shadow-snapback-v1,EUR/NZD,BUY,0.8652409993045578,2026-09-15T00:05:48.643Z,2026-09-15T00:06:48.643Z,2026-09-15T00:06:48.916Z,LOSS,2026-09-15T00:05:48.752Z
shadow-snapback-v1_1789430615000_p2uqor,shadow-snapback-v1,EUR/NZD,BUY,0.9,2026-09-15T00:03:39.295Z,2026-09-15T00:04:39.295Z,,UNKNOWN,2026-09-15T00:03:38.751Z
shadow-snapback-v1_1789429445000_ie84l1,shadow-snapback-v1,EUR/NZD,SELL,0.85,2026-09-14T23:44:07.995Z,2026-09-14T23:45:07.995Z,2026-09-14T23:45:42.379Z,WIN,2026-09-14T23:44:08.519Z
shadow-snapback-v1_1789429425000_oke5kw,shadow-snapback-v1,EUR/NZD,SELL,0.7858144552321242,2026-09-14T23:43:46.405Z,2026-09-14T23:44:46.405Z,2026-09-14T23:44:46.635Z,WIN,2026-09-14T23:43:48.519Z
shadow-snapback-v1_1789429370000_6v7a0i,shadow-snapback-v1,EUR/NZD,SELL,0.85,2026-09-14T23:42:53.508Z,2026-09-14T23:43:53.508Z,2026-09-14T23:44:04.686Z,LOSS,2026-09-14T23:42:53.517Z
shadow-snapback-v1_1789429345000_ebv4s3,shadow-snapback-v1,EUR/NZD,BUY,0.8131578947371292,2026-09-14T23:42:29.661Z,2026-09-14T23:43:29.661Z,2026-09-14T23:43:33.480Z,LOSS,2026-09-14T23:42:28.517Z
shadow-snapback-v1_1789429325000_m92rds,shadow-snapback-v1,EUR/NZD,SELL,0.7921726559273521,2026-09-14T23:42:07.885Z,2026-09-14T23:43:07.885Z,2026-09-14T23:43:10.568Z,WIN,2026-09-14T23:42:08.517Z
shadow-snapback-v1_1789429290000_q6qzbi,shadow-snapback-v1,EUR/NZD,SELL,0.85,2026-09-14T23:41:33.001Z,2026-09-14T23:42:33.001Z,2026-09-14T23:42:34.288Z,WIN,2026-09-14T23:41:33.517Z
shadow-snapback-v1_1789429285000_sspdap,shadow-snapback-v1,EUR/NZD,SELL,0.7365045302814089,2026-09-14T23:41:29.239Z,2026-09-14T23:42:29.239Z,2026-09-14T23:42:29.661Z,WIN,2026-09-14T23:41:28.516Z
shadow-snapback-v1_1789429205000_gofq67,shadow-snapback-v1,EUR/NZD,SELL,0.7464992389649813,2026-09-14T23:40:08.395Z,2026-09-14T23:41:08.395Z,2026-09-14T23:41:08.797Z,WIN,2026-09-14T23:40:08.512Z
shadow-snapback-v1_1789429145000_6ihk8q,shadow-snapback-v1,EUR/NZD,SELL,0.85,2026-09-14T23:39:08.239Z,2026-09-14T23:40:08.239Z,2026-09-14T23:40:08.395Z,LOSS,2026-09-14T23:39:08.510Z
shadow-snapback-v1_1789429085000_9h4ykw,shadow-snapback-v1,EUR/NZD,SELL,0.7932770223870089,2026-09-14T23:38:09.268Z,2026-09-14T23:39:09.268Z,,UNKNOWN,2026-09-14T23:38:08.508Z
shadow-snapback-v1_1789429000000_w10d98,shadow-snapback-v1,EUR/NZD,SELL,0.781134259259173,2026-09-14T23:36:43.905Z,2026-09-14T23:37:43.905Z,2026-09-14T23:37:44.139Z,WIN,2026-09-14T23:36:43.507Z
shadow-snapback-v1_1789428995000_dfhg67,shadow-snapback-v1,EUR/NZD,SELL,0.783027171833122,2026-09-14T23:36:37.995Z,2026-09-14T23:37:37.995Z,2026-09-14T23:37:40.124Z,WIN,2026-09-14T23:36:38.507Z
shadow-snapback-v1_1789428775000_b8k7jv,shadow-snapback-v1,EUR/NZD,SELL,0.85,2026-09-14T23:32:57.920Z,2026-09-14T23:33:57.920Z,2026-09-14T23:33:58.858Z,LOSS,2026-09-14T23:32:58.498Z
shadow-snapback-v1_1789428770000_kgwemp,shadow-snapback-v1,EUR/NZD,SELL,0.85,2026-09-14T23:32:53.593Z,2026-09-14T23:33:53.593Z,2026-09-14T23:33:54.470Z,WIN,2026-09-14T23:32:53.498Z
shadow-snapback-v1_1789428740000_inruzm,shadow-snapback-v1,EUR/NZD,SELL,0.85,2026-09-14T23:32:22.095Z,2026-09-14T23:33:22.095Z,2026-09-14T23:33:22.421Z,WIN,2026-09-14T23:32:23.498Z
shadow-snapback-v1_1789428645000_3knt7l,shadow-snapback-v1,EUR/NZD,SELL,0.837663645518729,2026-09-14T23:30:48.668Z,2026-09-14T23:31:48.668Z,2026-09-14T23:31:50.571Z,WIN,2026-09-14T23:30:48.497Z
shadow-snapback-v1_1789428630000_kolj9t,shadow-snapback-v1,EUR/NZD,SELL,0.85,2026-09-14T23:30:32.581Z,2026-09-14T23:31:32.581Z,2026-09-14T23:31:35.651Z,LOSS,2026-09-14T23:30:33.495Z
shadow-snapback-v1_1789428625000_w5xgt4,shadow-snapback-v1,EUR/NZD,SELL,0.85,2026-09-14T23:30:27.823Z,2026-09-14T23:31:27.823Z,2026-09-14T23:31:35.651Z,LOSS,2026-09-14T23:30:28.495Z
shadow-snapback-v1_1789428520000_0eylfq,shadow-snapback-v1,EUR/NZD,SELL,0.7645299145299208,2026-09-14T23:28:44.070Z,2026-09-14T23:29:44.070Z,2026-09-14T23:29:48.353Z,WIN,2026-09-14T23:28:43.493Z
shadow-snapback-v1_1789428470000_obd9s4,shadow-snapback-v1,EUR/NZD,SELL,0.8254754754754206,2026-09-14T23:27:52.571Z,2026-09-14T23:28:52.571Z,2026-09-14T23:28:53.735Z,WIN,2026-09-14T23:27:53.490Z
shadow-snapback-v1_1789428435000_qbzjuw,shadow-snapback-v1,EUR/NZD,SELL,0.85,2026-09-14T23:27:15.031Z,2026-09-14T23:28:15.031Z,2026-09-14T23:28:15.564Z,WIN,2026-09-14T23:27:13.488Z
shadow-snapback-v1_1789428400000_v2vlox,shadow-snapback-v1,EUR/NZD,BUY,0.9,2026-09-14T23:26:44.053Z,2026-09-14T23:27:44.053Z,2026-09-14T23:27:47.451Z,LOSS,2026-09-14T23:26:43.486Z
shadow-snapback-v1_1789428390000_6vbzy2,shadow-snapback-v1,EUR/NZD,BUY,0.9,2026-09-14T23:26:33.900Z,2026-09-14T23:27:33.900Z,2026-09-14T23:27:36.078Z,LOSS,2026-09-14T23:26:33.485Z
shadow-snapback-v1_1789428360000_xqsxt1,shadow-snapback-v1,EUR/NZD,SELL,0.85,2026-09-14T23:26:02.764Z,2026-09-14T23:27:02.764Z,2026-09-14T23:27:03.536Z,WIN,2026-09-14T23:26:03.483Z
shadow-snapback-v1_1789428355000_vuy4ei,shadow-snapback-v1,EUR/NZD,SELL,0.7488256549231564,2026-09-14T23:25:57.322Z,2026-09-14T23:26:57.322Z,2026-09-14T23:27:01.952Z,WIN,2026-09-14T23:25:58.483Z
shadow-snapback-v1_1789428215000_77jatx,shadow-snapback-v1,EUR/NZD,SELL,0.8224350787568706,2026-09-14T23:23:39.219Z,2026-09-14T23:24:39.219Z,2026-09-14T23:24:39.298Z,WIN,2026-09-14T23:23:38.479Z
shadow-snapback-v1_1789428110000_rm9nxv,shadow-snapback-v1,EUR/NZD,BUY,0.821918501645114,2026-09-14T23:21:52.397Z,2026-09-14T23:22:52.397Z,2026-09-14T23:22:53.477Z,LOSS,2026-09-14T23:21:53.476Z
shadow-snapback-v1_1789427935000_xe3d6r,shadow-snapback-v1,EUR/NZD,BUY,0.886842105263244,2026-09-14T23:18:55.552Z,2026-09-14T23:19:55.552Z,2026-09-14T23:19:57.464Z,WIN,2026-09-14T23:18:58.471Z
shadow-snapback-v1_1789427930000_sjuaq7,shadow-snapback-v1,EUR/NZD,BUY,0.8939907326962755,2026-09-14T23:18:53.390Z,2026-09-14T23:19:53.390Z,2026-09-14T23:19:54.800Z,WIN,2026-09-14T23:18:53.471Z
shadow-snapback-v1_1789427815000_9s96r1,shadow-snapback-v1,EUR/NZD,SELL,0.7606341189674883,2026-09-14T23:16:58.106Z,2026-09-14T23:17:58.106Z,2026-09-14T23:18:02.726Z,WIN,2026-09-14T23:16:58.466Z
shadow-snapback-v1_1789427785000_dejsky,shadow-snapback-v1,EUR/NZD,SELL,0.85,2026-09-14T23:16:28.980Z,2026-09-14T23:17:28.980Z,2026-09-14T23:17:29.390Z,WIN,2026-09-14T23:16:28.465Z
shadow-snapback-v1_1789427780000_9q7md8,shadow-snapback-v1,EUR/NZD,SELL,0.85,2026-09-14T23:16:23.436Z,2026-09-14T23:17:23.436Z,2026-09-14T23:17:27.199Z,WIN,2026-09-14T23:16:23.465Z
shadow-snapback-v1_1789427710000_lx34lb,shadow-snapback-v1,EUR/NZD,SELL,0.85,2026-09-14T23:15:12.761Z,2026-09-14T23:16:12.761Z,2026-09-14T23:16:13.790Z,WIN,2026-09-14T23:15:13.461Z
shadow-snapback-v1_1789427585000_iaz4v1,shadow-snapback-v1,EUR/NZD,SELL,0.737773595427234,2026-09-14T23:13:08.212Z,2026-09-14T23:14:08.212Z,2026-09-14T23:14:11.783Z,WIN,2026-09-14T23:13:08.458Z
shadow-snapback-v1_1789427285000_10try2,shadow-snapback-v1,EUR/NZD,SELL,0.85,2026-09-14T23:08:07.971Z,2026-09-14T23:09:07.971Z,2026-09-14T23:09:09.219Z,LOSS,2026-09-14T23:08:08.448Z
shadow-snapback-v1_1789427255000_wkhxll,shadow-snapback-v1,EUR/NZD,SELL,0.7885964912281993,2026-09-14T23:07:37.660Z,2026-09-14T23:08:37.660Z,2026-09-14T23:08:37.977Z,LOSS,2026-09-14T23:07:38.447Z
shadow-snapback-v1_1789427250000_6fcs7v,shadow-snapback-v1,EUR/NZD,SELL,0.7927543343148019,2026-09-14T23:07:33.761Z,2026-09-14T23:08:33.761Z,2026-09-14T23:08:34.212Z,LOSS,2026-09-14T23:07:33.446Z
shadow-snapback-v1_1789427120000_6wrz9w,shadow-snapback-v1,EUR/NZD,SELL,0.85,2026-09-14T23:05:21.150Z,2026-09-14T23:06:21.150Z,2026-09-14T23:06:22.493Z,WIN,2026-09-14T23:05:23.444Z
shadow-snapback-v1_1789427025000_7m7rxw,shadow-snapback-v1,EUR/NZD,BUY,0.8376379690949114,2026-09-14T23:03:45.032Z,2026-09-14T23:04:45.032Z,2026-09-14T23:04:45.509Z,LOSS,2026-09-14T23:03:43.440Z
shadow-snapback-v1_1789426985000_hofgdt,shadow-snapback-v1,EUR/NZD,BUY,0.8791666666670264,2026-09-14T23:03:09.250Z,2026-09-14T23:04:09.250Z,2026-09-14T23:04:09.533Z,LOSS,2026-09-14T23:03:08.439Z
shadow-snapback-v1_1789426970000_b2beld,shadow-snapback-v1,EUR/NZD,BUY,0.9,2026-09-14T23:02:53.126Z,2026-09-14T23:03:53.126Z,2026-09-14T23:03:58.669Z,LOSS,2026-09-14T23:02:53.439Z
shadow-snapback-v1_1789426945000_cf49dj,shadow-snapback-v1,EUR/NZD,BUY,0.9,2026-09-14T23:02:25.898Z,2026-09-14T23:03:25.898Z,2026-09-14T23:03:27.339Z,WIN,2026-09-14T23:02:28.440Z
shadow-snapback-v1_1789426840000_ovoktk,shadow-snapback-v1,EUR/NZD,SELL,0.8322498847395376,2026-09-14T23:00:40.788Z,2026-09-14T23:01:40.788Z,2026-09-14T23:01:41.531Z,LOSS,2026-09-14T23:00:43.432Z
shadow-snapback-v1_1789426760000_yadb43,shadow-snapback-v1,EUR/NZD,SELL,0.8411616161615583,2026-09-14T22:59:23.144Z,2026-09-14T23:00:23.144Z,2026-09-14T23:00:24.275Z,LOSS,2026-09-14T22:59:23.432Z
shadow-snapback-v1_1789426750000_5eh03k,shadow-snapback-v1,EUR/NZD,BUY,0.8164058424622165,2026-09-14T22:59:13.116Z,2026-09-14T23:00:13.116Z,2026-09-14T23:00:13.326Z,LOSS,2026-09-14T22:59:13.433Z
shadow-snapback-v1_1789426680000_2d0386,shadow-snapback-v1,EUR/NZD,BUY,0.9,2026-09-14T22:58:01.649Z,2026-09-14T22:59:01.649Z,2026-09-14T22:59:03.491Z,WIN,2026-09-14T22:58:03.427Z
shadow-snapback-v1_1789426660000_btxkqy,shadow-snapback-v1,EUR/NZD,BUY,0.8713001383125856,2026-09-14T22:57:42.679Z,2026-09-14T22:58:42.679Z,2026-09-14T22:58:44.159Z,WIN,2026-09-14T22:57:43.427Z
shadow-snapback-v1_1789426655000_ir0q2s,shadow-snapback-v1,EUR/NZD,BUY,0.8983483483483443,2026-09-14T22:57:38.788Z,2026-09-14T22:58:38.788Z,2026-09-14T22:58:40.134Z,WIN,2026-09-14T22:57:38.427Z
shadow-snapback-v1_1789426635000_k66n86,shadow-snapback-v1,EUR/NZD,BUY,0.9,2026-09-14T22:57:17.699Z,2026-09-14T22:58:17.699Z,2026-09-14T22:58:18.012Z,WIN,2026-09-14T22:57:18.427Z
shadow-snapback-v1_1789426630000_3z303t,shadow-snapback-v1,EUR/NZD,BUY,0.9,2026-09-14T22:57:13.790Z,2026-09-14T22:58:13.790Z,2026-09-14T22:58:14.345Z,WIN,2026-09-14T22:57:13.427Z
shadow-snapback-v1_1789426625000_igzyhh,shadow-snapback-v1,EUR/NZD,BUY,0.9,2026-09-14T22:57:07.705Z,2026-09-14T22:58:07.705Z,2026-09-14T22:58:08.174Z,WIN,2026-09-14T22:57:08.427Z
shadow-snapback-v1_1789426620000_2ivcf9,shadow-snapback-v1,EUR/NZD,BUY,0.9,2026-09-14T22:57:03.983Z,2026-09-14T22:58:03.983Z,2026-09-14T22:58:04.418Z,LOSS,2026-09-14T22:57:03.427Z
shadow-snapback-v1_1789421755000_pqucsh,shadow-snapback-v1,EUR/NZD,BUY,0.9,2026-09-14T21:35:59.787Z,2026-09-14T21:36:59.787Z,,UNKNOWN,2026-09-14T21:36:00.517Z
