trade_id,strategy_version,asset,decision,confidence,reference_timestamp_iso,settlement_target_iso,settlement_observed_iso,result,created_iso
shadow-trend-v1_1789410510000_mtbako,shadow-trend-v1,EUR/NZD,SELL,0.6228288458402467,2026-09-14T18:28:33.059Z,2026-09-14T18:29:33.059Z,2026-09-14T18:29:38.840Z,DRAW,2026-09-14T18:28:33.204Z
shadow-trend-v1_1789410500000_jbd6yt,shadow-trend-v1,EUR/NZD,SELL,0.6239385165513436,2026-09-14T18:28:21.879Z,2026-09-14T18:29:21.879Z,2026-09-14T18:29:23.549Z,DRAW,2026-09-14T18:28:23.202Z
shadow-trend-v1_1789410480000_rzetft,shadow-trend-v1,EUR/NZD,SELL,0.6124630891373296,2026-09-14T18:28:03.376Z,2026-09-14T18:29:03.376Z,2026-09-14T18:29:14.387Z,DRAW,2026-09-14T18:28:03.202Z
shadow-trend-v1_1789410315000_rokilw,shadow-trend-v1,EUR/NZD,BUY,0.6315750522105223,2026-09-14T18:25:18.993Z,2026-09-14T18:26:18.993Z,2026-09-14T18:26:27.207Z,WIN,2026-09-14T18:25:18.196Z
shadow-trend-v1_1789410300000_pwkuza,shadow-trend-v1,EUR/NZD,BUY,0.7536619525119289,2026-09-14T18:25:00.706Z,2026-09-14T18:26:00.706Z,2026-09-14T18:26:27.207Z,WIN,2026-09-14T18:24:58.195Z
shadow-trend-v1_1789410290000_ldlksr,shadow-trend-v1,EUR/NZD,BUY,0.8451013544659041,2026-09-14T18:24:50.056Z,2026-09-14T18:25:50.056Z,2026-09-14T18:25:50.227Z,LOSS,2026-09-14T18:24:48.195Z
shadow-trend-v1_1789410200000_elhfo3,shadow-trend-v1,EUR/NZD,BUY,0.85,2026-09-14T18:23:23.670Z,2026-09-14T18:24:23.670Z,,UNKNOWN,2026-09-14T18:23:23.192Z
shadow-trend-v1_1789410195000_g6g35c,shadow-trend-v1,EUR/NZD,BUY,0.85,2026-09-14T18:23:17.709Z,2026-09-14T18:24:17.709Z,,UNKNOWN,2026-09-14T18:23:18.192Z
shadow-trend-v1_1789410190000_z2b053,shadow-trend-v1,EUR/NZD,BUY,0.85,2026-09-14T18:23:12.037Z,2026-09-14T18:24:12.037Z,,UNKNOWN,2026-09-14T18:23:13.192Z
shadow-trend-v1_1789410180000_wu91n4,shadow-trend-v1,EUR/NZD,BUY,0.85,2026-09-14T18:23:00.502Z,2026-09-14T18:24:00.502Z,,UNKNOWN,2026-09-14T18:23:03.191Z
