strategy,asset,direction,reference_iso,horizon_s,result
bb-squeeze-v1,NZD/USD,BUY,2026-09-14T10:46:07.914Z,60,LOSS
bb-squeeze-v1,NZD/USD,BUY,2026-09-14T10:47:17.730Z,60,LOSS
bb-squeeze-v1,NZD/USD,SELL,2026-09-14T11:05:37.838Z,60,LOSS
bb-squeeze-v1,NZD/USD,BUY,2026-09-14T11:17:18.683Z,60,WIN
bb-squeeze-v1,NZD/USD,BUY,2026-09-14T11:17:23.798Z,60,WIN
bb-squeeze-v1,NZD/USD,BUY,2026-09-14T11:42:43.406Z,60,WIN
bb-squeeze-v1,NZD/USD,BUY,2026-09-14T12:09:38.079Z,60,WIN
bb-squeeze-v1,NZD/USD,BUY,2026-09-14T12:14:34.299Z,60,LOSS
bb-squeeze-v1,NZD/USD,SELL,2026-09-14T12:16:49.266Z,60,LOSS
bb-squeeze-v1,NZD/USD,SELL,2026-09-14T12:16:54.144Z,60,LOSS
bb-squeeze-v1,NZD/USD,SELL,2026-09-14T12:16:59.267Z,60,LOSS
bb-squeeze-v1,NZD/USD,SELL,2026-09-14T12:24:52.407Z,60,LOSS
bb-squeeze-v1,NZD/USD,SELL,2026-09-14T12:31:54.759Z,60,WIN
bb-squeeze-v1,NZD/USD,SELL,2026-09-14T12:31:58.740Z,60,WIN
bb-squeeze-v1,EUR/USD,SELL,2026-09-14T13:08:26.859Z,60,WIN
bb-squeeze-v1,EUR/USD,SELL,2026-09-14T14:14:49.443Z,60,LOSS
bb-squeeze-v1,EUR/USD,SELL,2026-09-14T14:57:24.446Z,60,LOSS
bb-squeeze-v1,EUR/USD,SELL,2026-09-14T14:57:29.206Z,60,LOSS
bb-squeeze-v1,EUR/USD,BUY,2026-09-14T15:03:18.108Z,60,WIN
bb-squeeze-v1,EUR/USD,BUY,2026-09-14T15:03:27.995Z,60,WIN
bb-squeeze-v1,EUR/USD,BUY,2026-09-14T15:15:38.971Z,60,WIN
bb-squeeze-v1,EUR/USD,BUY,2026-09-14T15:15:59.855Z,60,WIN
bb-squeeze-v1,EUR/USD,BUY,2026-09-14T15:16:03.578Z,60,WIN
bb-squeeze-v1,EUR/USD,BUY,2026-09-14T15:16:07.883Z,60,LOSS
bb-squeeze-v1,EUR/USD,BUY,2026-09-14T15:32:09.064Z,60,WIN
bb-squeeze-v1,EUR/USD,BUY,2026-09-14T15:32:13.907Z,60,LOSS
bb-squeeze-v1,EUR/USD,BUY,2026-09-14T15:32:19.847Z,60,LOSS
bb-squeeze-v1,EUR/USD,BUY,2026-09-14T15:40:24.744Z,60,WIN
