strategy,asset,direction,reference_iso,horizon_s,result
cci-trend-v1,NZD/USD,BUY,2026-09-14T12:24:03.966Z,60,LOSS
cci-trend-v1,NZD/USD,SELL,2026-09-14T12:26:30.411Z,60,LOSS
cci-trend-v1,EUR/USD,BUY,2026-09-14T13:20:39.855Z,60,LOSS
cci-trend-v1,EUR/USD,SELL,2026-09-14T13:55:23.542Z,60,LOSS
cci-trend-v1,EUR/USD,SELL,2026-09-14T14:07:41.321Z,60,WIN
cci-trend-v1,EUR/USD,BUY,2026-09-14T14:08:02.412Z,60,LOSS
cci-trend-v1,EUR/USD,SELL,2026-09-14T14:13:37.876Z,60,WIN
cci-trend-v1,EUR/USD,BUY,2026-09-14T14:17:48.207Z,60,LOSS
cci-trend-v1,EUR/USD,BUY,2026-09-14T14:18:33.956Z,60,WIN
cci-trend-v1,EUR/USD,SELL,2026-09-14T14:41:39.357Z,60,WIN
cci-trend-v1,EUR/USD,SELL,2026-09-14T14:42:11.602Z,60,WIN
cci-trend-v1,EUR/USD,SELL,2026-09-14T14:42:33.367Z,60,LOSS
cci-trend-v1,EUR/USD,BUY,2026-09-14T14:42:50.637Z,60,WIN
cci-trend-v1,EUR/USD,BUY,2026-09-14T14:48:31.139Z,60,WIN
cci-trend-v1,EUR/USD,BUY,2026-09-14T14:49:09.565Z,60,WIN
cci-trend-v1,EUR/USD,SELL,2026-09-14T14:49:26.389Z,60,WIN
cci-trend-v1,EUR/USD,BUY,2026-09-14T14:51:27.099Z,60,LOSS
cci-trend-v1,EUR/USD,SELL,2026-09-14T14:54:10.737Z,60,LOSS
cci-trend-v1,EUR/USD,SELL,2026-09-14T14:54:59.512Z,60,LOSS
cci-trend-v1,EUR/USD,SELL,2026-09-14T14:55:14.848Z,60,LOSS
cci-trend-v1,EUR/USD,SELL,2026-09-14T14:58:44.203Z,60,LOSS
cci-trend-v1,EUR/USD,BUY,2026-09-14T14:59:28.807Z,60,LOSS
cci-trend-v1,EUR/USD,BUY,2026-09-14T15:00:30.337Z,60,LOSS
cci-trend-v1,EUR/USD,SELL,2026-09-14T15:02:21.993Z,60,LOSS
cci-trend-v1,EUR/USD,SELL,2026-09-14T15:02:31.767Z,60,LOSS
cci-trend-v1,EUR/USD,BUY,2026-09-14T15:11:58.894Z,60,LOSS
cci-trend-v1,EUR/USD,SELL,2026-09-14T15:13:20.309Z,60,WIN
cci-trend-v1,EUR/USD,BUY,2026-09-14T15:16:48.955Z,60,LOSS
cci-trend-v1,EUR/USD,BUY,2026-09-14T15:18:11.586Z,60,WIN
cci-trend-v1,EUR/USD,BUY,2026-09-14T15:31:23.737Z,60,LOSS
cci-trend-v1,EUR/USD,SELL,2026-09-14T15:32:40.835Z,60,LOSS
cci-trend-v1,EUR/USD,SELL,2026-09-14T15:34:58.477Z,60,LOSS
cci-trend-v1,EUR/USD,BUY,2026-09-14T15:35:04.114Z,60,WIN
cci-trend-v1,EUR/USD,BUY,2026-09-14T15:36:59.395Z,60,DRAW
cci-trend-v1,EUR/USD,BUY,2026-09-14T15:42:11.513Z,60,WIN
cci-trend-v1,EUR/USD,SELL,2026-09-14T16:05:13.021Z,60,WIN
cci-trend-v1,EUR/USD,BUY,2026-09-14T16:05:38.419Z,60,LOSS
cci-trend-v1,EUR/USD,SELL,2026-09-14T17:11:32.110Z,60,WIN
cci-trend-v1,EUR/USD,SELL,2026-09-14T17:11:47.347Z,60,WIN
cci-trend-v1,EUR/NZD,BUY,2026-09-14T17:22:32.551Z,60,LOSS
cci-trend-v1,EUR/NZD,SELL,2026-09-14T17:22:54.819Z,60,WIN
cci-trend-v1,EUR/NZD,SELL,2026-09-14T17:28:22.079Z,60,WIN
cci-trend-v1,EUR/NZD,SELL,2026-09-14T17:48:36.407Z,60,LOSS
cci-trend-v1,EUR/NZD,BUY,2026-09-14T18:04:59.762Z,60,WIN
cci-trend-v1,EUR/NZD,SELL,2026-09-14T18:06:02.693Z,60,LOSS
cci-trend-v1,EUR/NZD,SELL,2026-09-14T18:07:19.882Z,60,WIN
cci-trend-v1,EUR/NZD,BUY,2026-09-14T18:07:53.535Z,60,LOSS
cci-trend-v1,EUR/NZD,BUY,2026-09-14T18:08:53.430Z,60,LOSS
cci-trend-v1,EUR/NZD,SELL,2026-09-14T18:10:28.543Z,60,WIN
cci-trend-v1,EUR/NZD,BUY,2026-09-14T18:15:01.300Z,60,WIN
cci-trend-v1,EUR/NZD,SELL,2026-09-14T18:19:00.418Z,60,LOSS
cci-trend-v1,EUR/NZD,BUY,2026-09-14T18:19:58.381Z,60,WIN
cci-trend-v1,EUR/NZD,BUY,2026-09-14T18:53:58.578Z,60,WIN
cci-trend-v1,EUR/NZD,SELL,2026-09-14T18:59:29.444Z,60,LOSS
cci-trend-v1,EUR/NZD,BUY,2026-09-14T19:02:29.877Z,60,WIN
cci-trend-v1,EUR/NZD,BUY,2026-09-14T19:02:43.820Z,60,WIN
cci-trend-v1,EUR/NZD,BUY,2026-09-14T19:06:33.867Z,60,LOSS
cci-trend-v1,EUR/NZD,BUY,2026-09-14T19:12:04.619Z,60,WIN
cci-trend-v1,EUR/NZD,BUY,2026-09-14T19:12:31.222Z,60,WIN
cci-trend-v1,EUR/NZD,SELL,2026-09-14T19:14:45.212Z,60,LOSS
cci-trend-v1,EUR/NZD,BUY,2026-09-14T19:21:18.972Z,60,LOSS
cci-trend-v1,EUR/NZD,SELL,2026-09-14T19:24:18.292Z,60,LOSS
cci-trend-v1,EUR/NZD,SELL,2026-09-14T19:24:54.406Z,60,LOSS
cci-trend-v1,EUR/NZD,SELL,2026-09-14T19:27:43.677Z,60,LOSS
cci-trend-v1,EUR/NZD,BUY,2026-09-14T19:32:07.364Z,60,LOSS
cci-trend-v1,EUR/NZD,SELL,2026-09-14T19:34:03.160Z,60,LOSS
cci-trend-v1,EUR/NZD,SELL,2026-09-14T19:40:19.243Z,60,WIN
cci-trend-v1,EUR/NZD,SELL,2026-09-14T19:40:29.493Z,60,WIN
cci-trend-v1,EUR/NZD,SELL,2026-09-14T21:07:58.941Z,60,LOSS
cci-trend-v1,EUR/NZD,BUY,2026-09-14T21:09:09.952Z,60,LOSS
cci-trend-v1,EUR/NZD,BUY,2026-09-14T21:09:53.986Z,60,LOSS
cci-trend-v1,EUR/NZD,SELL,2026-09-14T21:18:29.657Z,60,WIN
cci-trend-v1,EUR/NZD,BUY,2026-09-14T21:20:23.302Z,60,LOSS
cci-trend-v1,EUR/NZD,SELL,2026-09-14T21:23:29.039Z,60,LOSS
cci-trend-v1,EUR/NZD,SELL,2026-09-14T21:35:14.378Z,60,LOSS
cci-trend-v1,EUR/NZD,SELL,2026-09-14T22:58:53.055Z,60,WIN
cci-trend-v1,EUR/NZD,SELL,2026-09-14T23:08:34.212Z,60,WIN
cci-trend-v1,EUR/NZD,BUY,2026-09-14T23:09:39.108Z,60,LOSS
cci-trend-v1,EUR/NZD,SELL,2026-09-14T23:13:18.953Z,60,WIN
cci-trend-v1,EUR/NZD,BUY,2026-09-14T23:18:14.787Z,60,LOSS
cci-trend-v1,EUR/NZD,SELL,2026-09-14T23:18:29.355Z,60,WIN
cci-trend-v1,EUR/NZD,BUY,2026-09-14T23:19:14.207Z,60,WIN
cci-trend-v1,EUR/NZD,BUY,2026-09-14T23:21:09.262Z,60,WIN
cci-trend-v1,EUR/NZD,SELL,2026-09-14T23:21:28.853Z,60,WIN
cci-trend-v1,EUR/NZD,SELL,2026-09-14T23:23:33.348Z,60,WIN
cci-trend-v1,EUR/NZD,SELL,2026-09-14T23:23:44.273Z,60,WIN
cci-trend-v1,EUR/NZD,SELL,2026-09-14T23:24:03.962Z,60,WIN
cci-trend-v1,EUR/NZD,SELL,2026-09-14T23:25:19.598Z,60,LOSS
cci-trend-v1,EUR/NZD,SELL,2026-09-14T23:25:42.944Z,60,LOSS
cci-trend-v1,EUR/NZD,SELL,2026-09-14T23:28:49.985Z,60,WIN
cci-trend-v1,EUR/NZD,BUY,2026-09-14T23:29:01.474Z,60,LOSS
cci-trend-v1,EUR/NZD,SELL,2026-09-14T23:30:09.642Z,60,LOSS
cci-trend-v1,EUR/NZD,SELL,2026-09-14T23:30:59.589Z,60,LOSS
cci-trend-v1,EUR/NZD,SELL,2026-09-14T23:33:54.470Z,60,LOSS
cci-trend-v1,EUR/NZD,SELL,2026-09-14T23:34:14.564Z,60,WIN
cci-trend-v1,EUR/NZD,BUY,2026-09-14T23:35:53.934Z,60,LOSS
cci-trend-v1,EUR/NZD,SELL,2026-09-14T23:41:38.593Z,60,WIN
cci-trend-v1,EUR/NZD,SELL,2026-09-15T00:15:12.638Z,60,WIN
cci-trend-v1,EUR/NZD,SELL,2026-09-15T00:15:46.386Z,60,LOSS
cci-trend-v1,EUR/NZD,SELL,2026-09-15T00:19:24.864Z,60,WIN
