strategy,asset,direction,reference_iso,horizon_s,result
engulfing-v1,NZD/USD,BUY,2026-09-14T11:05:49.602Z,45,WIN
engulfing-v1,NZD/USD,BUY,2026-09-14T11:40:59.011Z,45,LOSS
engulfing-v1,NZD/USD,SELL,2026-09-14T11:44:53.585Z,45,WIN
engulfing-v1,NZD/USD,SELL,2026-09-14T12:19:29.902Z,45,LOSS
engulfing-v1,EUR/USD,BUY,2026-09-14T14:40:42.040Z,45,WIN
engulfing-v1,EUR/USD,SELL,2026-09-14T14:55:54.792Z,45,LOSS
engulfing-v1,EUR/USD,BUY,2026-09-14T14:58:13.127Z,45,WIN
engulfing-v1,EUR/USD,BUY,2026-09-14T15:07:43.284Z,45,WIN
engulfing-v1,EUR/USD,SELL,2026-09-14T15:15:44.641Z,45,LOSS
engulfing-v1,EUR/USD,SELL,2026-09-14T15:17:42.711Z,45,LOSS
engulfing-v1,EUR/USD,SELL,2026-09-14T15:29:29.353Z,45,LOSS
engulfing-v1,EUR/USD,SELL,2026-09-14T15:35:14.903Z,45,LOSS
engulfing-v1,EUR/USD,BUY,2026-09-14T16:04:49.613Z,45,LOSS
engulfing-v1,EUR/NZD,SELL,2026-09-14T19:15:38.342Z,45,WIN
engulfing-v1,EUR/NZD,BUY,2026-09-14T19:23:19.960Z,45,LOSS
engulfing-v1,EUR/NZD,BUY,2026-09-14T19:23:43.165Z,45,WIN
engulfing-v1,EUR/NZD,BUY,2026-09-14T19:33:17.922Z,45,LOSS
engulfing-v1,EUR/NZD,BUY,2026-09-14T22:59:49.219Z,45,WIN
engulfing-v1,EUR/NZD,BUY,2026-09-14T23:03:13.281Z,45,LOSS
engulfing-v1,EUR/NZD,BUY,2026-09-14T23:06:27.970Z,45,LOSS
engulfing-v1,EUR/NZD,BUY,2026-09-14T23:09:57.022Z,45,LOSS
engulfing-v1,EUR/NZD,BUY,2026-09-14T23:16:23.436Z,45,LOSS
engulfing-v1,EUR/NZD,SELL,2026-09-14T23:18:44.536Z,45,WIN
engulfing-v1,EUR/NZD,BUY,2026-09-14T23:24:43.118Z,45,WIN
engulfing-v1,EUR/NZD,SELL,2026-09-14T23:26:24.437Z,45,WIN
engulfing-v1,EUR/NZD,SELL,2026-09-14T23:26:39.750Z,45,WIN
engulfing-v1,EUR/NZD,SELL,2026-09-14T23:48:29.882Z,45,WIN
