strategy,asset,direction,reference_iso,horizon_s,result
pinbar-v1,NZD/USD,BUY,2026-09-14T10:15:54.993Z,45,WIN
pinbar-v1,NZD/USD,BUY,2026-09-14T11:01:53.971Z,45,WIN
pinbar-v1,NZD/USD,BUY,2026-09-14T11:14:54.432Z,45,LOSS
pinbar-v1,NZD/USD,BUY,2026-09-14T12:14:29.956Z,45,WIN
pinbar-v1,NZD/USD,SELL,2026-09-14T12:20:29.620Z,45,WIN
pinbar-v1,EUR/USD,BUY,2026-09-14T14:55:38.794Z,45,WIN
pinbar-v1,EUR/USD,SELL,2026-09-14T15:10:54.250Z,45,WIN
pinbar-v1,EUR/USD,BUY,2026-09-14T15:13:04.739Z,45,LOSS
pinbar-v1,EUR/USD,SELL,2026-09-14T15:40:04.593Z,45,LOSS
pinbar-v1,EUR/USD,SELL,2026-09-14T15:59:24.987Z,45,LOSS
pinbar-v1,EUR/USD,BUY,2026-09-14T16:05:54.216Z,45,LOSS
pinbar-v1,EUR/USD,BUY,2026-09-14T16:53:59.307Z,45,WIN
pinbar-v1,EUR/NZD,BUY,2026-09-14T17:18:59.897Z,45,LOSS
pinbar-v1,EUR/NZD,SELL,2026-09-14T17:31:59.560Z,45,LOSS
pinbar-v1,EUR/NZD,BUY,2026-09-14T19:26:34.355Z,45,LOSS
pinbar-v1,EUR/NZD,SELL,2026-09-14T23:04:09.533Z,45,WIN
pinbar-v1,EUR/NZD,SELL,2026-09-14T23:08:39.887Z,45,WIN
pinbar-v1,EUR/NZD,BUY,2026-09-14T23:14:49.720Z,45,LOSS
pinbar-v1,EUR/NZD,SELL,2026-09-14T23:21:28.853Z,45,WIN
pinbar-v1,EUR/NZD,SELL,2026-09-14T23:21:34.687Z,45,WIN
pinbar-v1,EUR/NZD,SELL,2026-09-14T23:23:29.683Z,45,LOSS
