strategy,asset,direction,reference_iso,horizon_s,result
ref-band-v6,EUR/NZD,BUY,2026-09-14T18:57:45.345Z,60,LOSS
ref-band-v6,EUR/NZD,BUY,2026-09-14T18:57:54.744Z,60,WIN
ref-band-v6,EUR/NZD,BUY,2026-09-14T18:57:59.616Z,60,WIN
ref-band-v6,EUR/NZD,BUY,2026-09-14T19:06:29.555Z,60,WIN
ref-band-v6,EUR/NZD,BUY,2026-09-14T19:14:18.159Z,60,WIN
ref-band-v6,EUR/NZD,BUY,2026-09-14T19:14:22.549Z,60,WIN
ref-band-v6,EUR/NZD,BUY,2026-09-14T19:21:28.839Z,60,LOSS
ref-band-v6,EUR/NZD,BUY,2026-09-14T19:21:34.623Z,60,LOSS
ref-band-v6,EUR/NZD,BUY,2026-09-14T19:21:38.330Z,60,LOSS
ref-band-v6,EUR/NZD,BUY,2026-09-14T19:21:44.238Z,60,LOSS
ref-band-v6,EUR/NZD,BUY,2026-09-14T19:21:49.152Z,60,LOSS
ref-band-v6,EUR/NZD,BUY,2026-09-14T19:22:04.875Z,60,LOSS
ref-band-v6,EUR/NZD,BUY,2026-09-14T19:22:08.610Z,60,LOSS
ref-band-v6,EUR/NZD,BUY,2026-09-14T19:22:24.876Z,60,LOSS
ref-band-v6,EUR/NZD,BUY,2026-09-14T19:22:28.953Z,60,LOSS
ref-band-v6,EUR/NZD,BUY,2026-09-14T19:22:39.053Z,60,LOSS
ref-band-v6,EUR/NZD,BUY,2026-09-14T19:22:42.813Z,60,LOSS
ref-band-v6,EUR/NZD,BUY,2026-09-14T19:22:48.162Z,60,LOSS
ref-band-v6,EUR/NZD,BUY,2026-09-14T19:23:04.829Z,60,LOSS
ref-band-v6,EUR/NZD,BUY,2026-09-14T19:23:14.721Z,60,WIN
ref-band-v6,EUR/NZD,BUY,2026-09-14T19:23:28.968Z,60,WIN
ref-band-v6,EUR/NZD,BUY,2026-09-14T19:23:32.788Z,60,WIN
ref-band-v6,EUR/NZD,BUY,2026-09-14T19:23:38.915Z,60,WIN
ref-band-v6,EUR/NZD,BUY,2026-09-14T19:23:43.165Z,60,WIN
ref-band-v6,EUR/NZD,SELL,2026-09-14T19:28:19.983Z,60,LOSS
ref-band-v6,EUR/NZD,SELL,2026-09-14T19:30:20.973Z,60,LOSS
ref-band-v6,EUR/NZD,SELL,2026-09-14T19:30:27.775Z,60,WIN
ref-band-v6,EUR/NZD,SELL,2026-09-14T19:30:34.667Z,60,WIN
ref-band-v6,EUR/NZD,SELL,2026-09-14T19:30:39.008Z,60,WIN
ref-band-v6,EUR/NZD,BUY,2026-09-14T19:32:07.364Z,60,LOSS
ref-band-v6,EUR/NZD,BUY,2026-09-14T19:33:26.102Z,60,LOSS
ref-band-v6,EUR/NZD,SELL,2026-09-14T21:18:02.220Z,60,WIN
ref-band-v6,EUR/NZD,BUY,2026-09-14T21:20:23.302Z,60,LOSS
ref-band-v6,EUR/NZD,BUY,2026-09-14T21:20:27.467Z,60,WIN
ref-band-v6,EUR/NZD,BUY,2026-09-14T21:20:33.910Z,60,WIN
ref-band-v6,EUR/NZD,BUY,2026-09-14T21:21:01.911Z,60,LOSS
ref-band-v6,EUR/NZD,SELL,2026-09-14T23:00:54.855Z,60,WIN
ref-band-v6,EUR/NZD,SELL,2026-09-14T23:00:59.629Z,60,LOSS
ref-band-v6,EUR/NZD,SELL,2026-09-14T23:01:43.331Z,60,LOSS
ref-band-v6,EUR/NZD,SELL,2026-09-14T23:01:45.741Z,60,LOSS
ref-band-v6,EUR/NZD,SELL,2026-09-14T23:01:51.576Z,60,LOSS
ref-band-v6,EUR/NZD,SELL,2026-09-14T23:01:59.326Z,60,LOSS
ref-band-v6,EUR/NZD,SELL,2026-09-14T23:02:04.374Z,60,WIN
ref-band-v6,EUR/NZD,SELL,2026-09-14T23:02:08.754Z,60,WIN
ref-band-v6,EUR/NZD,SELL,2026-09-14T23:02:25.898Z,60,LOSS
ref-band-v6,EUR/NZD,BUY,2026-09-14T23:05:14.779Z,60,LOSS
ref-band-v6,EUR/NZD,BUY,2026-09-14T23:05:18.903Z,60,LOSS
ref-band-v6,EUR/NZD,BUY,2026-09-14T23:05:25.974Z,60,LOSS
ref-band-v6,EUR/NZD,BUY,2026-09-14T23:05:48.227Z,60,LOSS
ref-band-v6,EUR/NZD,BUY,2026-09-14T23:05:50.073Z,60,LOSS
ref-band-v6,EUR/NZD,BUY,2026-09-14T23:05:58.028Z,60,LOSS
ref-band-v6,EUR/NZD,BUY,2026-09-14T23:06:04.595Z,60,LOSS
ref-band-v6,EUR/NZD,BUY,2026-09-14T23:06:06.508Z,60,LOSS
ref-band-v6,EUR/NZD,BUY,2026-09-14T23:06:12.779Z,60,LOSS
ref-band-v6,EUR/NZD,BUY,2026-09-14T23:06:19.504Z,60,LOSS
ref-band-v6,EUR/NZD,BUY,2026-09-14T23:06:24.085Z,60,WIN
ref-band-v6,EUR/NZD,SELL,2026-09-14T23:09:03.427Z,60,WIN
ref-band-v6,EUR/NZD,BUY,2026-09-14T23:10:49.791Z,60,LOSS
ref-band-v6,EUR/NZD,BUY,2026-09-14T23:11:36.128Z,60,LOSS
ref-band-v6,EUR/NZD,BUY,2026-09-14T23:11:40.874Z,60,LOSS
ref-band-v6,EUR/NZD,BUY,2026-09-14T23:11:59.448Z,60,LOSS
ref-band-v6,EUR/NZD,BUY,2026-09-14T23:12:03.656Z,60,WIN
ref-band-v6,EUR/NZD,BUY,2026-09-14T23:12:08.935Z,60,WIN
ref-band-v6,EUR/NZD,BUY,2026-09-14T23:12:13.746Z,60,LOSS
ref-band-v6,EUR/NZD,BUY,2026-09-14T23:12:19.337Z,60,LOSS
ref-band-v6,EUR/NZD,BUY,2026-09-14T23:14:04.712Z,60,LOSS
ref-band-v6,EUR/NZD,BUY,2026-09-14T23:14:06.720Z,60,LOSS
ref-band-v6,EUR/NZD,BUY,2026-09-14T23:14:13.558Z,60,LOSS
ref-band-v6,EUR/NZD,BUY,2026-09-14T23:14:19.730Z,60,LOSS
ref-band-v6,EUR/NZD,BUY,2026-09-14T23:14:28.772Z,60,LOSS
ref-band-v6,EUR/NZD,BUY,2026-09-14T23:14:34.129Z,60,LOSS
ref-band-v6,EUR/NZD,BUY,2026-09-14T23:14:38.981Z,60,LOSS
ref-band-v6,EUR/NZD,BUY,2026-09-14T23:14:43.341Z,60,LOSS
ref-band-v6,EUR/NZD,BUY,2026-09-14T23:15:07.398Z,60,LOSS
ref-band-v6,EUR/NZD,BUY,2026-09-14T23:15:18.631Z,60,LOSS
ref-band-v6,EUR/NZD,BUY,2026-09-14T23:15:28.307Z,60,LOSS
ref-band-v6,EUR/NZD,BUY,2026-09-14T23:15:30.130Z,60,LOSS
ref-band-v6,EUR/NZD,BUY,2026-09-14T23:15:38.874Z,60,LOSS
ref-band-v6,EUR/NZD,BUY,2026-09-14T23:15:46.768Z,60,LOSS
ref-band-v6,EUR/NZD,BUY,2026-09-14T23:15:54.684Z,60,WIN
ref-band-v6,EUR/NZD,BUY,2026-09-14T23:15:58.858Z,60,WIN
ref-band-v6,EUR/NZD,BUY,2026-09-14T23:16:07.642Z,60,WIN
ref-band-v6,EUR/NZD,BUY,2026-09-14T23:23:16.056Z,60,WIN
ref-band-v6,EUR/NZD,BUY,2026-09-14T23:27:30.091Z,60,WIN
ref-band-v6,EUR/NZD,SELL,2026-09-14T23:28:44.070Z,60,WIN
ref-band-v6,EUR/NZD,BUY,2026-09-14T23:32:19.991Z,60,LOSS
ref-band-v6,EUR/NZD,BUY,2026-09-14T23:33:24.306Z,60,WIN
ref-band-v6,EUR/NZD,BUY,2026-09-14T23:37:07.679Z,60,WIN
ref-band-v6,EUR/NZD,BUY,2026-09-14T23:37:13.622Z,60,LOSS
ref-band-v6,EUR/NZD,BUY,2026-09-14T23:37:19.956Z,60,LOSS
ref-band-v6,EUR/NZD,BUY,2026-09-14T23:37:24.214Z,60,LOSS
ref-band-v6,EUR/NZD,BUY,2026-09-14T23:47:08.862Z,60,WIN
ref-band-v6,EUR/NZD,BUY,2026-09-14T23:47:19.776Z,60,WIN
ref-band-v6,EUR/NZD,BUY,2026-09-15T00:17:39.263Z,60,WIN
ref-band-v6,EUR/NZD,BUY,2026-09-15T00:17:47.920Z,60,WIN
ref-band-v6,EUR/NZD,BUY,2026-09-15T00:17:58.926Z,60,WIN
ref-band-v6,EUR/NZD,BUY,2026-09-15T00:18:01.488Z,60,WIN
ref-band-v6,EUR/NZD,BUY,2026-09-15T00:18:21.593Z,60,WIN
ref-band-v6,EUR/NZD,BUY,2026-09-15T00:18:26.682Z,60,WIN
ref-band-v6,EUR/NZD,BUY,2026-09-15T00:18:32.441Z,60,WIN
