strategy,asset,direction,reference_iso,horizon_s,result
stoch-trend-v1,NZD/USD,SELL,2026-09-14T10:18:41.816Z,60,WIN
stoch-trend-v1,NZD/USD,SELL,2026-09-14T10:37:27.191Z,60,WIN
stoch-trend-v1,NZD/USD,SELL,2026-09-14T11:06:29.141Z,60,WIN
stoch-trend-v1,NZD/USD,BUY,2026-09-14T11:20:59.459Z,60,WIN
stoch-trend-v1,NZD/USD,SELL,2026-09-14T11:42:49.253Z,60,LOSS
stoch-trend-v1,NZD/USD,SELL,2026-09-14T11:47:35.890Z,60,LOSS
stoch-trend-v1,NZD/USD,BUY,2026-09-14T11:59:09.834Z,60,LOSS
stoch-trend-v1,NZD/USD,BUY,2026-09-14T11:59:16.310Z,60,LOSS
stoch-trend-v1,NZD/USD,SELL,2026-09-14T12:04:19.328Z,60,LOSS
stoch-trend-v1,NZD/USD,SELL,2026-09-14T12:07:47.659Z,60,LOSS
stoch-trend-v1,NZD/USD,SELL,2026-09-14T12:08:09.273Z,60,WIN
stoch-trend-v1,NZD/USD,BUY,2026-09-14T12:09:07.965Z,60,WIN
stoch-trend-v1,NZD/USD,BUY,2026-09-14T12:11:37.717Z,60,LOSS
stoch-trend-v1,NZD/USD,BUY,2026-09-14T12:15:06.775Z,60,LOSS
stoch-trend-v1,EUR/USD,SELL,2026-09-14T13:04:08.444Z,60,WIN
stoch-trend-v1,EUR/USD,SELL,2026-09-14T13:06:59.023Z,60,WIN
stoch-trend-v1,EUR/USD,BUY,2026-09-14T13:24:34.629Z,60,WIN
stoch-trend-v1,EUR/USD,SELL,2026-09-14T14:12:53.312Z,60,WIN
stoch-trend-v1,EUR/USD,BUY,2026-09-14T14:17:00.784Z,60,LOSS
stoch-trend-v1,EUR/USD,SELL,2026-09-14T14:41:14.875Z,60,LOSS
stoch-trend-v1,EUR/USD,BUY,2026-09-14T14:48:17.741Z,60,WIN
stoch-trend-v1,EUR/USD,BUY,2026-09-14T14:49:59.063Z,60,LOSS
stoch-trend-v1,EUR/USD,SELL,2026-09-14T14:57:58.522Z,60,LOSS
stoch-trend-v1,EUR/USD,BUY,2026-09-14T15:00:08.489Z,60,LOSS
stoch-trend-v1,EUR/USD,SELL,2026-09-14T15:01:04.757Z,60,WIN
stoch-trend-v1,EUR/USD,BUY,2026-09-14T15:05:19.480Z,60,LOSS
stoch-trend-v1,EUR/USD,BUY,2026-09-14T15:06:59.554Z,60,LOSS
stoch-trend-v1,EUR/USD,BUY,2026-09-14T15:11:48.526Z,60,LOSS
stoch-trend-v1,EUR/USD,SELL,2026-09-14T15:59:24.987Z,60,WIN
stoch-trend-v1,EUR/USD,SELL,2026-09-14T16:02:38.565Z,60,WIN
stoch-trend-v1,EUR/USD,SELL,2026-09-14T16:54:44.189Z,60,WIN
stoch-trend-v1,EUR/USD,SELL,2026-09-14T16:56:36.115Z,60,WIN
stoch-trend-v1,EUR/NZD,SELL,2026-09-14T17:19:11.813Z,60,WIN
stoch-trend-v1,EUR/NZD,SELL,2026-09-14T17:29:00.538Z,60,WIN
stoch-trend-v1,EUR/NZD,SELL,2026-09-14T17:48:36.407Z,60,LOSS
stoch-trend-v1,EUR/NZD,SELL,2026-09-14T17:48:57.969Z,60,LOSS
stoch-trend-v1,EUR/NZD,SELL,2026-09-14T17:49:23.556Z,60,LOSS
stoch-trend-v1,EUR/NZD,SELL,2026-09-14T17:56:58.256Z,60,WIN
stoch-trend-v1,EUR/NZD,SELL,2026-09-14T17:57:05.798Z,60,WIN
stoch-trend-v1,EUR/NZD,BUY,2026-09-14T18:04:48.965Z,60,WIN
stoch-trend-v1,EUR/NZD,SELL,2026-09-14T18:15:49.023Z,60,WIN
stoch-trend-v1,EUR/NZD,BUY,2026-09-14T18:21:45.751Z,60,WIN
stoch-trend-v1,EUR/NZD,BUY,2026-09-14T18:53:44.300Z,60,LOSS
stoch-trend-v1,EUR/NZD,SELL,2026-09-14T18:54:50.865Z,60,LOSS
stoch-trend-v1,EUR/NZD,BUY,2026-09-14T18:57:09.383Z,60,LOSS
stoch-trend-v1,EUR/NZD,SELL,2026-09-14T19:07:05.709Z,60,WIN
stoch-trend-v1,EUR/NZD,SELL,2026-09-14T19:07:19.627Z,60,WIN
stoch-trend-v1,EUR/NZD,BUY,2026-09-14T19:13:48.647Z,60,WIN
stoch-trend-v1,EUR/NZD,SELL,2026-09-14T19:14:45.212Z,60,LOSS
stoch-trend-v1,EUR/NZD,SELL,2026-09-14T19:15:34.375Z,60,WIN
stoch-trend-v1,EUR/NZD,BUY,2026-09-14T19:20:34.222Z,60,LOSS
stoch-trend-v1,EUR/NZD,BUY,2026-09-14T19:21:08.918Z,60,LOSS
stoch-trend-v1,EUR/NZD,BUY,2026-09-14T19:31:42.920Z,60,LOSS
stoch-trend-v1,EUR/NZD,BUY,2026-09-14T19:31:59.087Z,60,LOSS
stoch-trend-v1,EUR/NZD,SELL,2026-09-14T19:34:59.021Z,60,WIN
stoch-trend-v1,EUR/NZD,SELL,2026-09-14T19:39:55.359Z,60,LOSS
stoch-trend-v1,EUR/NZD,BUY,2026-09-14T19:41:23.173Z,60,WIN
stoch-trend-v1,EUR/NZD,SELL,2026-09-14T21:17:03.713Z,60,WIN
stoch-trend-v1,EUR/NZD,SELL,2026-09-14T21:21:23.929Z,60,WIN
stoch-trend-v1,EUR/NZD,SELL,2026-09-14T21:23:06.474Z,60,LOSS
stoch-trend-v1,EUR/NZD,BUY,2026-09-14T22:59:13.116Z,60,LOSS
stoch-trend-v1,EUR/NZD,SELL,2026-09-14T23:00:01.255Z,60,LOSS
stoch-trend-v1,EUR/NZD,BUY,2026-09-14T23:02:54.563Z,60,LOSS
stoch-trend-v1,EUR/NZD,SELL,2026-09-14T23:08:14.059Z,60,LOSS
stoch-trend-v1,EUR/NZD,SELL,2026-09-14T23:08:58.301Z,60,WIN
stoch-trend-v1,EUR/NZD,SELL,2026-09-14T23:09:09.219Z,60,WIN
stoch-trend-v1,EUR/NZD,SELL,2026-09-14T23:27:59.483Z,60,WIN
stoch-trend-v1,EUR/NZD,SELL,2026-09-14T23:34:08.652Z,60,WIN
stoch-trend-v1,EUR/NZD,SELL,2026-09-14T23:46:44.085Z,60,WIN
