strategy,asset,direction,reference_iso,horizon_s,result
fib-bounce-v1,NZD/USD,SELL,2026-09-14T11:07:03.037Z,45,LOSS
fib-bounce-v1,NZD/USD,SELL,2026-09-14T11:38:47.531Z,45,LOSS
fib-bounce-v1,NZD/USD,BUY,2026-09-14T11:49:39.734Z,45,WIN
fib-bounce-v1,NZD/USD,SELL,2026-09-14T12:02:54.973Z,45,WIN
fib-bounce-v1,NZD/USD,BUY,2026-09-14T12:16:33.542Z,45,LOSS
fib-bounce-v1,NZD/USD,BUY,2026-09-14T12:16:44.896Z,45,LOSS
fib-bounce-v1,NZD/USD,SELL,2026-09-14T12:17:58.606Z,45,LOSS
fib-bounce-v1,NZD/USD,BUY,2026-09-14T12:25:47.013Z,45,WIN
fib-bounce-v1,NZD/USD,BUY,2026-09-14T12:26:02.415Z,45,WIN
fib-bounce-v1,EUR/USD,BUY,2026-09-14T13:24:59.807Z,45,WIN
fib-bounce-v1,EUR/USD,BUY,2026-09-14T14:45:59.110Z,45,WIN
fib-bounce-v1,EUR/USD,BUY,2026-09-14T14:47:59.845Z,45,LOSS
fib-bounce-v1,EUR/USD,SELL,2026-09-14T14:49:42.576Z,45,WIN
fib-bounce-v1,EUR/USD,SELL,2026-09-14T14:59:28.807Z,45,WIN
fib-bounce-v1,EUR/USD,SELL,2026-09-14T15:00:04.533Z,45,WIN
fib-bounce-v1,EUR/USD,BUY,2026-09-14T15:03:53.507Z,45,WIN
fib-bounce-v1,EUR/USD,BUY,2026-09-14T15:03:58.557Z,45,WIN
fib-bounce-v1,EUR/USD,BUY,2026-09-14T15:04:38.900Z,45,LOSS
fib-bounce-v1,EUR/USD,BUY,2026-09-14T15:05:03.413Z,45,WIN
fib-bounce-v1,EUR/USD,BUY,2026-09-14T15:10:54.250Z,45,LOSS
fib-bounce-v1,EUR/USD,SELL,2026-09-14T15:59:09.380Z,45,LOSS
fib-bounce-v1,EUR/USD,BUY,2026-09-14T16:00:58.122Z,45,LOSS
fib-bounce-v1,EUR/USD,SELL,2026-09-14T16:04:59.733Z,45,WIN
fib-bounce-v1,EUR/USD,SELL,2026-09-14T16:05:04.100Z,45,WIN
fib-bounce-v1,EUR/NZD,SELL,2026-09-14T18:18:43.120Z,45,WIN
fib-bounce-v1,EUR/NZD,SELL,2026-09-14T19:02:43.820Z,45,LOSS
fib-bounce-v1,EUR/NZD,BUY,2026-09-14T19:12:29.142Z,45,WIN
fib-bounce-v1,EUR/NZD,SELL,2026-09-14T19:15:28.297Z,45,LOSS
fib-bounce-v1,EUR/NZD,SELL,2026-09-14T19:24:22.982Z,45,WIN
fib-bounce-v1,EUR/NZD,SELL,2026-09-14T19:26:19.807Z,45,WIN
fib-bounce-v1,EUR/NZD,SELL,2026-09-14T19:26:34.355Z,45,WIN
fib-bounce-v1,EUR/NZD,SELL,2026-09-14T19:27:14.377Z,45,LOSS
fib-bounce-v1,EUR/NZD,SELL,2026-09-14T19:35:36.977Z,45,WIN
fib-bounce-v1,EUR/NZD,SELL,2026-09-14T19:35:44.096Z,45,WIN
fib-bounce-v1,EUR/NZD,SELL,2026-09-14T19:37:09.597Z,45,WIN
fib-bounce-v1,EUR/NZD,SELL,2026-09-14T19:37:13.982Z,45,WIN
fib-bounce-v1,EUR/NZD,SELL,2026-09-14T19:37:23.978Z,45,WIN
fib-bounce-v1,EUR/NZD,SELL,2026-09-14T19:37:28.669Z,45,WIN
fib-bounce-v1,EUR/NZD,BUY,2026-09-14T19:37:44.363Z,45,LOSS
fib-bounce-v1,EUR/NZD,BUY,2026-09-14T19:38:19.513Z,45,LOSS
fib-bounce-v1,EUR/NZD,SELL,2026-09-14T19:39:44.293Z,45,LOSS
fib-bounce-v1,EUR/NZD,SELL,2026-09-14T20:28:59.295Z,45,LOSS
fib-bounce-v1,EUR/NZD,SELL,2026-09-14T21:21:19.810Z,45,WIN
fib-bounce-v1,EUR/NZD,BUY,2026-09-14T21:34:39.034Z,45,WIN
fib-bounce-v1,EUR/NZD,BUY,2026-09-14T22:57:42.679Z,45,LOSS
fib-bounce-v1,EUR/NZD,SELL,2026-09-14T23:20:19.597Z,45,WIN
fib-bounce-v1,EUR/NZD,SELL,2026-09-14T23:20:37.977Z,45,WIN
fib-bounce-v1,EUR/NZD,SELL,2026-09-14T23:24:09.993Z,45,WIN
fib-bounce-v1,EUR/NZD,SELL,2026-09-14T23:42:53.508Z,45,WIN
fib-bounce-v1,EUR/NZD,SELL,2026-09-14T23:48:08.054Z,45,WIN
