strategy,asset,direction,reference_iso,horizon_s,result
keltner-v1,NZD/USD,BUY,2026-09-14T10:18:37.581Z,45,WIN
keltner-v1,NZD/USD,SELL,2026-09-14T10:23:47.368Z,45,WIN
keltner-v1,NZD/USD,BUY,2026-09-14T10:41:59.826Z,45,WIN
keltner-v1,NZD/USD,BUY,2026-09-14T10:42:16.195Z,45,LOSS
keltner-v1,NZD/USD,SELL,2026-09-14T10:44:34.934Z,45,DRAW
keltner-v1,NZD/USD,SELL,2026-09-14T10:45:24.499Z,45,LOSS
keltner-v1,NZD/USD,SELL,2026-09-14T10:46:42.959Z,45,LOSS
keltner-v1,NZD/USD,SELL,2026-09-14T10:47:56.781Z,45,LOSS
keltner-v1,NZD/USD,SELL,2026-09-14T10:48:22.222Z,45,DRAW
keltner-v1,NZD/USD,SELL,2026-09-14T10:50:01.976Z,45,DRAW
keltner-v1,NZD/USD,SELL,2026-09-14T11:02:18.911Z,45,LOSS
keltner-v1,NZD/USD,SELL,2026-09-14T11:09:39.442Z,45,WIN
keltner-v1,NZD/USD,BUY,2026-09-14T11:21:28.233Z,45,LOSS
keltner-v1,NZD/USD,SELL,2026-09-14T11:37:41.378Z,45,LOSS
keltner-v1,NZD/USD,SELL,2026-09-14T11:46:43.765Z,45,LOSS
keltner-v1,NZD/USD,BUY,2026-09-14T11:47:44.486Z,45,LOSS
keltner-v1,NZD/USD,SELL,2026-09-14T12:03:03.668Z,45,WIN
keltner-v1,NZD/USD,SELL,2026-09-14T12:11:58.575Z,45,LOSS
keltner-v1,NZD/USD,SELL,2026-09-14T12:25:24.059Z,45,LOSS
keltner-v1,EUR/USD,SELL,2026-09-14T13:04:02.776Z,45,WIN
keltner-v1,EUR/USD,BUY,2026-09-14T13:18:09.547Z,45,WIN
keltner-v1,EUR/USD,BUY,2026-09-14T13:18:22.754Z,45,WIN
keltner-v1,EUR/USD,BUY,2026-09-14T13:58:00.446Z,45,WIN
keltner-v1,EUR/USD,BUY,2026-09-14T14:15:33.249Z,45,WIN
keltner-v1,EUR/USD,SELL,2026-09-14T14:48:17.741Z,45,WIN
keltner-v1,EUR/USD,SELL,2026-09-14T15:11:44.345Z,45,LOSS
keltner-v1,EUR/USD,SELL,2026-09-14T15:38:49.804Z,45,DRAW
keltner-v1,EUR/USD,BUY,2026-09-14T15:43:58.699Z,45,LOSS
keltner-v1,EUR/USD,SELL,2026-09-14T15:45:04.098Z,45,DRAW
keltner-v1,EUR/USD,BUY,2026-09-14T15:53:32.925Z,45,DRAW
keltner-v1,EUR/USD,SELL,2026-09-14T16:53:49.301Z,45,LOSS
keltner-v1,EUR/USD,SELL,2026-09-14T17:12:32.062Z,45,WIN
keltner-v1,EUR/NZD,SELL,2026-09-14T17:57:59.750Z,45,WIN
keltner-v1,EUR/NZD,SELL,2026-09-14T18:04:44.406Z,45,LOSS
keltner-v1,EUR/NZD,BUY,2026-09-14T18:05:48.171Z,45,WIN
keltner-v1,EUR/NZD,BUY,2026-09-14T18:15:49.023Z,45,LOSS
keltner-v1,EUR/NZD,SELL,2026-09-14T19:21:14.673Z,45,WIN
keltner-v1,EUR/NZD,SELL,2026-09-14T19:21:23.273Z,45,WIN
keltner-v1,EUR/NZD,SELL,2026-09-14T19:31:38.763Z,45,WIN
keltner-v1,EUR/NZD,BUY,2026-09-14T19:35:22.638Z,45,LOSS
keltner-v1,EUR/NZD,BUY,2026-09-14T20:31:34.587Z,45,WIN
keltner-v1,EUR/NZD,BUY,2026-09-14T21:33:19.748Z,45,LOSS
keltner-v1,EUR/NZD,SELL,2026-09-14T21:33:43.652Z,45,LOSS
keltner-v1,EUR/NZD,SELL,2026-09-14T21:34:06.061Z,45,LOSS
keltner-v1,EUR/NZD,BUY,2026-09-14T21:34:19.944Z,45,WIN
keltner-v1,EUR/NZD,BUY,2026-09-14T21:34:42.892Z,45,WIN
keltner-v1,EUR/NZD,SELL,2026-09-14T23:22:19.695Z,45,WIN
keltner-v1,EUR/NZD,SELL,2026-09-14T23:44:51.610Z,45,LOSS
keltner-v1,EUR/NZD,SELL,2026-09-14T23:46:03.688Z,45,WIN
keltner-v1,EUR/NZD,BUY,2026-09-15T00:15:12.638Z,45,WIN
keltner-v1,EUR/NZD,BUY,2026-09-15T00:18:59.469Z,45,LOSS
