strategy,asset,direction,reference_iso,horizon_s,result
rev1-baseline,EUR/NZD,BUY,2026-09-14T23:16:50.759Z,45,LOSS
rev1-baseline,EUR/NZD,BUY,2026-09-14T23:17:44.563Z,45,WIN
rev1-baseline,EUR/NZD,BUY,2026-09-14T23:19:29.471Z,45,WIN
rev1-baseline,EUR/NZD,BUY,2026-09-14T23:19:31.523Z,45,WIN
rev1-baseline,EUR/NZD,BUY,2026-09-14T23:19:44.489Z,45,WIN
rev1-baseline,EUR/NZD,BUY,2026-09-14T23:22:43.829Z,45,WIN
rev1-baseline,EUR/NZD,BUY,2026-09-14T23:22:48.060Z,45,LOSS
rev1-baseline,EUR/NZD,BUY,2026-09-14T23:22:53.477Z,45,WIN
rev1-baseline,EUR/NZD,BUY,2026-09-14T23:22:57.737Z,45,WIN
rev1-baseline,EUR/NZD,BUY,2026-09-14T23:23:16.056Z,45,WIN
rev1-baseline,EUR/NZD,BUY,2026-09-14T23:23:23.133Z,45,WIN
rev1-baseline,EUR/NZD,BUY,2026-09-14T23:26:53.025Z,45,WIN
rev1-baseline,EUR/NZD,BUY,2026-09-14T23:27:24.386Z,45,WIN
rev1-baseline,EUR/NZD,BUY,2026-09-14T23:27:30.091Z,45,WIN
rev1-baseline,EUR/NZD,SELL,2026-09-14T23:28:44.070Z,45,WIN
rev1-baseline,EUR/NZD,BUY,2026-09-14T23:29:39.307Z,45,LOSS
rev1-baseline,EUR/NZD,SELL,2026-09-14T23:29:52.730Z,45,WIN
rev1-baseline,EUR/NZD,BUY,2026-09-14T23:32:19.991Z,45,LOSS
rev1-baseline,EUR/NZD,BUY,2026-09-14T23:32:32.700Z,45,LOSS
rev1-baseline,EUR/NZD,BUY,2026-09-14T23:32:38.441Z,45,LOSS
rev1-baseline,EUR/NZD,BUY,2026-09-14T23:32:44.766Z,45,WIN
rev1-baseline,EUR/NZD,BUY,2026-09-14T23:32:54.905Z,45,LOSS
rev1-baseline,EUR/NZD,BUY,2026-09-14T23:32:57.920Z,45,WIN
rev1-baseline,EUR/NZD,BUY,2026-09-14T23:33:04.344Z,45,WIN
rev1-baseline,EUR/NZD,BUY,2026-09-14T23:33:06.345Z,45,LOSS
