strategy,asset,direction,reference_iso,horizon_s,result
rev1-fib-618-v1,EUR/USD,SELL,2026-09-14T13:18:45.965Z,45,LOSS
rev1-fib-618-v1,EUR/USD,SELL,2026-09-14T14:06:47.111Z,45,WIN
rev1-fib-618-v1,EUR/USD,SELL,2026-09-14T14:06:55.368Z,45,WIN
rev1-fib-618-v1,EUR/USD,BUY,2026-09-14T14:07:49.379Z,45,LOSS
rev1-fib-618-v1,EUR/USD,BUY,2026-09-14T14:18:14.233Z,45,WIN
rev1-fib-618-v1,EUR/USD,SELL,2026-09-14T14:42:02.893Z,45,WIN
rev1-fib-618-v1,EUR/USD,BUY,2026-09-14T14:42:44.826Z,45,WIN
rev1-fib-618-v1,EUR/USD,BUY,2026-09-14T14:50:29.917Z,45,LOSS
rev1-fib-618-v1,EUR/USD,BUY,2026-09-14T14:50:32.166Z,45,LOSS
rev1-fib-618-v1,EUR/USD,BUY,2026-09-14T14:51:03.603Z,45,LOSS
rev1-fib-618-v1,EUR/USD,BUY,2026-09-14T14:51:09.449Z,45,LOSS
rev1-fib-618-v1,EUR/USD,BUY,2026-09-14T14:57:24.446Z,45,LOSS
rev1-fib-618-v1,EUR/USD,BUY,2026-09-14T14:57:29.206Z,45,LOSS
rev1-fib-618-v1,EUR/USD,BUY,2026-09-14T15:01:39.329Z,45,WIN
rev1-fib-618-v1,EUR/USD,BUY,2026-09-14T15:01:43.574Z,45,WIN
rev1-fib-618-v1,EUR/USD,SELL,2026-09-14T15:05:48.793Z,45,WIN
rev1-fib-618-v1,EUR/USD,BUY,2026-09-14T15:12:09.884Z,45,LOSS
rev1-fib-618-v1,EUR/USD,BUY,2026-09-14T15:31:44.633Z,45,DRAW
rev1-fib-618-v1,EUR/USD,BUY,2026-09-14T15:38:49.804Z,45,DRAW
rev1-fib-618-v1,EUR/USD,BUY,2026-09-14T15:38:54.047Z,45,DRAW
rev1-fib-618-v1,EUR/USD,BUY,2026-09-14T15:38:58.972Z,45,DRAW
rev1-fib-618-v1,EUR/USD,BUY,2026-09-14T15:39:00.330Z,45,DRAW
rev1-fib-618-v1,EUR/USD,BUY,2026-09-14T15:39:07.564Z,45,DRAW
rev1-fib-618-v1,EUR/USD,SELL,2026-09-14T15:39:30.675Z,45,LOSS
rev1-fib-618-v1,EUR/USD,SELL,2026-09-14T15:39:37.627Z,45,LOSS
rev1-fib-618-v1,EUR/USD,SELL,2026-09-14T15:39:42.889Z,45,LOSS
rev1-fib-618-v1,EUR/USD,SELL,2026-09-14T15:39:46.728Z,45,LOSS
rev1-fib-618-v1,EUR/USD,SELL,2026-09-14T15:39:54.315Z,45,LOSS
rev1-fib-618-v1,EUR/USD,BUY,2026-09-14T15:41:58.044Z,45,WIN
rev1-fib-618-v1,EUR/USD,BUY,2026-09-14T15:42:04.129Z,45,WIN
rev1-fib-618-v1,EUR/USD,BUY,2026-09-14T15:42:11.513Z,45,WIN
rev1-fib-618-v1,EUR/USD,BUY,2026-09-14T15:45:04.098Z,45,DRAW
rev1-fib-618-v1,EUR/USD,BUY,2026-09-14T15:45:09.801Z,45,DRAW
rev1-fib-618-v1,EUR/USD,BUY,2026-09-14T15:45:14.812Z,45,DRAW
rev1-fib-618-v1,EUR/USD,BUY,2026-09-14T15:45:18.598Z,45,DRAW
rev1-fib-618-v1,EUR/USD,BUY,2026-09-14T15:45:24.027Z,45,DRAW
rev1-fib-618-v1,EUR/USD,SELL,2026-09-14T15:45:53.749Z,45,DRAW
rev1-fib-618-v1,EUR/USD,SELL,2026-09-14T15:45:59.720Z,45,DRAW
rev1-fib-618-v1,EUR/USD,SELL,2026-09-14T15:46:16.998Z,45,DRAW
rev1-fib-618-v1,EUR/USD,BUY,2026-09-14T15:46:28.460Z,45,WIN
rev1-fib-618-v1,EUR/USD,BUY,2026-09-14T16:56:10.860Z,45,LOSS
rev1-fib-618-v1,EUR/NZD,SELL,2026-09-14T17:31:53.440Z,45,LOSS
rev1-fib-618-v1,EUR/NZD,BUY,2026-09-14T18:04:44.406Z,45,WIN
rev1-fib-618-v1,EUR/NZD,BUY,2026-09-14T18:04:48.965Z,45,WIN
rev1-fib-618-v1,EUR/NZD,BUY,2026-09-14T18:04:53.974Z,45,WIN
rev1-fib-618-v1,EUR/NZD,BUY,2026-09-14T18:04:59.762Z,45,WIN
rev1-fib-618-v1,EUR/NZD,BUY,2026-09-14T18:05:07.711Z,45,WIN
rev1-fib-618-v1,EUR/NZD,BUY,2026-09-14T18:05:10.051Z,45,WIN
rev1-fib-618-v1,EUR/NZD,BUY,2026-09-14T18:08:34.719Z,45,LOSS
rev1-fib-618-v1,EUR/NZD,BUY,2026-09-14T18:08:40.740Z,45,LOSS
rev1-fib-618-v1,EUR/NZD,BUY,2026-09-14T18:08:49.074Z,45,LOSS
rev1-fib-618-v1,EUR/NZD,BUY,2026-09-14T18:08:53.430Z,45,LOSS
rev1-fib-618-v1,EUR/NZD,SELL,2026-09-14T18:30:09.121Z,45,DRAW
rev1-fib-618-v1,EUR/NZD,SELL,2026-09-14T18:30:14.213Z,45,DRAW
rev1-fib-618-v1,EUR/NZD,SELL,2026-09-14T18:30:20.468Z,45,DRAW
rev1-fib-618-v1,EUR/NZD,SELL,2026-09-14T18:30:32.877Z,45,DRAW
rev1-fib-618-v1,EUR/NZD,BUY,2026-09-14T18:54:18.474Z,45,WIN
rev1-fib-618-v1,EUR/NZD,SELL,2026-09-14T19:00:14.518Z,45,LOSS
rev1-fib-618-v1,EUR/NZD,SELL,2026-09-14T19:00:18.953Z,45,LOSS
rev1-fib-618-v1,EUR/NZD,BUY,2026-09-14T19:02:09.372Z,45,WIN
rev1-fib-618-v1,EUR/NZD,BUY,2026-09-14T19:06:18.404Z,45,WIN
rev1-fib-618-v1,EUR/NZD,BUY,2026-09-14T19:06:24.715Z,45,WIN
rev1-fib-618-v1,EUR/NZD,BUY,2026-09-14T19:21:23.273Z,45,LOSS
rev1-fib-618-v1,EUR/NZD,BUY,2026-09-14T19:21:28.839Z,45,LOSS
rev1-fib-618-v1,EUR/NZD,BUY,2026-09-14T19:31:45.004Z,45,LOSS
rev1-fib-618-v1,EUR/NZD,BUY,2026-09-14T19:31:59.087Z,45,LOSS
rev1-fib-618-v1,EUR/NZD,BUY,2026-09-14T19:32:03.265Z,45,LOSS
rev1-fib-618-v1,EUR/NZD,SELL,2026-09-14T19:35:33.039Z,45,WIN
rev1-fib-618-v1,EUR/NZD,BUY,2026-09-14T19:38:13.517Z,45,LOSS
rev1-fib-618-v1,EUR/NZD,BUY,2026-09-14T19:38:19.513Z,45,LOSS
rev1-fib-618-v1,EUR/NZD,BUY,2026-09-14T19:38:23.464Z,45,LOSS
rev1-fib-618-v1,EUR/NZD,SELL,2026-09-14T20:29:47.726Z,45,LOSS
rev1-fib-618-v1,EUR/NZD,BUY,2026-09-14T21:07:58.941Z,45,WIN
rev1-fib-618-v1,EUR/NZD,BUY,2026-09-14T21:10:28.860Z,45,WIN
rev1-fib-618-v1,EUR/NZD,SELL,2026-09-14T21:17:26.325Z,45,WIN
rev1-fib-618-v1,EUR/NZD,SELL,2026-09-14T21:18:02.220Z,45,WIN
rev1-fib-618-v1,EUR/NZD,BUY,2026-09-14T21:19:24.075Z,45,WIN
rev1-fib-618-v1,EUR/NZD,BUY,2026-09-14T21:19:28.671Z,45,WIN
rev1-fib-618-v1,EUR/NZD,BUY,2026-09-14T21:19:30.597Z,45,WIN
rev1-fib-618-v1,EUR/NZD,BUY,2026-09-14T21:20:23.302Z,45,LOSS
rev1-fib-618-v1,EUR/NZD,BUY,2026-09-14T21:20:27.467Z,45,LOSS
rev1-fib-618-v1,EUR/NZD,BUY,2026-09-14T21:20:33.910Z,45,LOSS
rev1-fib-618-v1,EUR/NZD,BUY,2026-09-14T21:33:43.652Z,45,WIN
rev1-fib-618-v1,EUR/NZD,BUY,2026-09-14T21:33:49.598Z,45,WIN
rev1-fib-618-v1,EUR/NZD,BUY,2026-09-14T21:34:06.061Z,45,WIN
rev1-fib-618-v1,EUR/NZD,BUY,2026-09-14T23:09:53.241Z,45,LOSS
rev1-fib-618-v1,EUR/NZD,SELL,2026-09-14T23:28:44.070Z,45,WIN
rev1-fib-618-v1,EUR/NZD,BUY,2026-09-14T23:35:08.424Z,45,LOSS
rev1-fib-618-v1,EUR/NZD,BUY,2026-09-14T23:35:14.320Z,45,LOSS
