strategy,asset,direction,reference_iso,horizon_s,result
rev1-fib-zone-v1,NZD/USD,BUY,2026-09-14T10:15:33.125Z,45,LOSS
rev1-fib-zone-v1,NZD/USD,BUY,2026-09-14T11:50:54.220Z,45,LOSS
rev1-fib-zone-v1,NZD/USD,SELL,2026-09-14T12:05:03.526Z,45,LOSS
rev1-fib-zone-v1,NZD/USD,BUY,2026-09-14T12:09:33.164Z,45,WIN
rev1-fib-zone-v1,NZD/USD,BUY,2026-09-14T12:12:14.238Z,45,WIN
rev1-fib-zone-v1,NZD/USD,BUY,2026-09-14T12:12:19.106Z,45,WIN
rev1-fib-zone-v1,NZD/USD,BUY,2026-09-14T12:12:24.714Z,45,WIN
rev1-fib-zone-v1,NZD/USD,BUY,2026-09-14T12:12:26.560Z,45,WIN
rev1-fib-zone-v1,NZD/USD,BUY,2026-09-14T12:16:11.785Z,45,LOSS
rev1-fib-zone-v1,EUR/USD,BUY,2026-09-14T14:18:14.233Z,45,WIN
rev1-fib-zone-v1,EUR/USD,BUY,2026-09-14T14:50:29.917Z,45,LOSS
rev1-fib-zone-v1,EUR/USD,BUY,2026-09-14T14:50:32.166Z,45,LOSS
rev1-fib-zone-v1,EUR/USD,BUY,2026-09-14T15:38:49.804Z,45,DRAW
rev1-fib-zone-v1,EUR/USD,BUY,2026-09-14T15:38:54.047Z,45,DRAW
rev1-fib-zone-v1,EUR/USD,BUY,2026-09-14T15:38:58.972Z,45,DRAW
rev1-fib-zone-v1,EUR/USD,BUY,2026-09-14T15:39:00.330Z,45,DRAW
rev1-fib-zone-v1,EUR/USD,BUY,2026-09-14T15:39:07.564Z,45,DRAW
rev1-fib-zone-v1,EUR/USD,BUY,2026-09-14T15:41:58.044Z,45,WIN
rev1-fib-zone-v1,EUR/USD,BUY,2026-09-14T15:42:04.129Z,45,WIN
rev1-fib-zone-v1,EUR/NZD,SELL,2026-09-14T17:31:53.440Z,45,LOSS
rev1-fib-zone-v1,EUR/NZD,BUY,2026-09-14T18:04:44.406Z,45,WIN
rev1-fib-zone-v1,EUR/NZD,BUY,2026-09-14T18:04:48.965Z,45,WIN
rev1-fib-zone-v1,EUR/NZD,BUY,2026-09-14T18:04:53.974Z,45,WIN
rev1-fib-zone-v1,EUR/NZD,BUY,2026-09-14T18:04:59.762Z,45,WIN
rev1-fib-zone-v1,EUR/NZD,BUY,2026-09-14T18:05:07.711Z,45,WIN
rev1-fib-zone-v1,EUR/NZD,BUY,2026-09-14T19:02:09.372Z,45,WIN
rev1-fib-zone-v1,EUR/NZD,BUY,2026-09-14T19:06:18.404Z,45,WIN
rev1-fib-zone-v1,EUR/NZD,BUY,2026-09-14T19:38:19.513Z,45,LOSS
rev1-fib-zone-v1,EUR/NZD,BUY,2026-09-14T21:19:24.075Z,45,WIN
rev1-fib-zone-v1,EUR/NZD,BUY,2026-09-14T21:19:28.671Z,45,WIN
rev1-fib-zone-v1,EUR/NZD,BUY,2026-09-14T21:19:30.597Z,45,WIN
rev1-fib-zone-v1,EUR/NZD,BUY,2026-09-14T21:20:23.302Z,45,LOSS
rev1-fib-zone-v1,EUR/NZD,BUY,2026-09-14T21:20:27.467Z,45,LOSS
rev1-fib-zone-v1,EUR/NZD,BUY,2026-09-14T23:35:08.424Z,45,LOSS
