strategy,asset,direction,reference_iso,horizon_s,result
rsi-div-v1,EUR/NZD,BUY,2026-09-14T23:06:34.447Z,45,LOSS
rsi-div-v1,EUR/NZD,BUY,2026-09-14T23:06:38.561Z,45,LOSS
rsi-div-v1,EUR/NZD,BUY,2026-09-14T23:06:43.987Z,45,LOSS
rsi-div-v1,EUR/NZD,BUY,2026-09-14T23:06:48.681Z,45,WIN
rsi-div-v1,EUR/NZD,BUY,2026-09-14T23:06:51.640Z,45,WIN
rsi-div-v1,EUR/NZD,BUY,2026-09-14T23:06:57.452Z,45,WIN
rsi-div-v1,EUR/NZD,BUY,2026-09-14T23:07:08.920Z,45,LOSS
rsi-div-v1,EUR/NZD,BUY,2026-09-14T23:07:18.715Z,45,WIN
rsi-div-v1,EUR/NZD,BUY,2026-09-14T23:07:24.638Z,45,LOSS
rsi-div-v1,EUR/NZD,BUY,2026-09-14T23:07:29.914Z,45,WIN
rsi-div-v1,EUR/NZD,BUY,2026-09-14T23:07:43.173Z,45,WIN
rsi-div-v1,EUR/NZD,BUY,2026-09-14T23:07:52.110Z,45,WIN
rsi-div-v1,EUR/NZD,BUY,2026-09-14T23:07:58.773Z,45,WIN
rsi-div-v1,EUR/NZD,SELL,2026-09-14T23:09:14.544Z,45,WIN
rsi-div-v1,EUR/NZD,SELL,2026-09-14T23:09:19.417Z,45,WIN
rsi-div-v1,EUR/NZD,BUY,2026-09-14T23:10:43.639Z,45,LOSS
rsi-div-v1,EUR/NZD,BUY,2026-09-14T23:10:57.873Z,45,LOSS
rsi-div-v1,EUR/NZD,BUY,2026-09-14T23:11:04.797Z,45,LOSS
rsi-div-v1,EUR/NZD,BUY,2026-09-14T23:12:19.337Z,45,WIN
rsi-div-v1,EUR/NZD,BUY,2026-09-14T23:12:22.829Z,45,WIN
rsi-div-v1,EUR/NZD,BUY,2026-09-14T23:12:33.699Z,45,LOSS
rsi-div-v1,EUR/NZD,BUY,2026-09-14T23:12:39.247Z,45,LOSS
rsi-div-v1,EUR/NZD,BUY,2026-09-14T23:13:08.212Z,45,LOSS
rsi-div-v1,EUR/NZD,BUY,2026-09-14T23:13:18.953Z,45,LOSS
rsi-div-v1,EUR/NZD,BUY,2026-09-14T23:13:23.325Z,45,LOSS
rsi-div-v1,EUR/NZD,BUY,2026-09-14T23:13:33.477Z,45,LOSS
rsi-div-v1,EUR/NZD,BUY,2026-09-14T23:15:14.926Z,45,LOSS
rsi-div-v1,EUR/NZD,BUY,2026-09-14T23:15:24.538Z,45,LOSS
rsi-div-v1,EUR/NZD,BUY,2026-09-14T23:15:28.307Z,45,LOSS
rsi-div-v1,EUR/NZD,BUY,2026-09-14T23:15:38.874Z,45,LOSS
rsi-div-v1,EUR/NZD,BUY,2026-09-14T23:15:46.768Z,45,WIN
rsi-div-v1,EUR/NZD,BUY,2026-09-14T23:15:54.684Z,45,WIN
rsi-div-v1,EUR/NZD,BUY,2026-09-14T23:15:58.858Z,45,WIN
rsi-div-v1,EUR/NZD,BUY,2026-09-14T23:16:03.908Z,45,LOSS
rsi-div-v1,EUR/NZD,BUY,2026-09-14T23:16:13.790Z,45,WIN
rsi-div-v1,EUR/NZD,BUY,2026-09-14T23:16:19.798Z,45,LOSS
rsi-div-v1,EUR/NZD,BUY,2026-09-14T23:16:23.436Z,45,LOSS
rsi-div-v1,EUR/NZD,BUY,2026-09-14T23:16:28.980Z,45,LOSS
rsi-div-v1,EUR/NZD,BUY,2026-09-14T23:16:32.977Z,45,LOSS
rsi-div-v1,EUR/NZD,BUY,2026-09-14T23:16:35.334Z,45,LOSS
rsi-div-v1,EUR/NZD,BUY,2026-09-14T23:16:48.924Z,45,WIN
rsi-div-v1,EUR/NZD,BUY,2026-09-14T23:17:08.882Z,45,WIN
rsi-div-v1,EUR/NZD,BUY,2026-09-14T23:17:14.700Z,45,LOSS
rsi-div-v1,EUR/NZD,BUY,2026-09-14T23:17:18.731Z,45,LOSS
rsi-div-v1,EUR/NZD,BUY,2026-09-14T23:17:22.589Z,45,LOSS
rsi-div-v1,EUR/NZD,BUY,2026-09-14T23:17:44.563Z,45,WIN
rsi-div-v1,EUR/NZD,BUY,2026-09-14T23:17:48.259Z,45,WIN
rsi-div-v1,EUR/NZD,SELL,2026-09-14T23:18:14.787Z,45,WIN
rsi-div-v1,EUR/NZD,BUY,2026-09-14T23:19:18.230Z,45,WIN
