strategy,asset,direction,reference_iso,horizon_s,result
stochrsi-v1,EUR/USD,SELL,2026-09-14T16:03:14.281Z,60,WIN
stochrsi-v1,EUR/USD,SELL,2026-09-14T16:05:13.021Z,60,WIN
stochrsi-v1,EUR/USD,BUY,2026-09-14T16:53:30.838Z,60,WIN
stochrsi-v1,EUR/USD,SELL,2026-09-14T16:55:14.585Z,60,WIN
stochrsi-v1,EUR/USD,SELL,2026-09-14T16:55:53.882Z,60,WIN
stochrsi-v1,EUR/USD,SELL,2026-09-14T16:57:33.346Z,60,WIN
stochrsi-v1,EUR/USD,SELL,2026-09-14T16:57:48.282Z,60,WIN
stochrsi-v1,EUR/USD,SELL,2026-09-14T17:01:35.630Z,60,WIN
stochrsi-v1,EUR/USD,SELL,2026-09-14T17:01:59.763Z,60,WIN
stochrsi-v1,EUR/USD,SELL,2026-09-14T17:12:32.062Z,60,WIN
stochrsi-v1,EUR/NZD,SELL,2026-09-14T17:20:00.208Z,60,WIN
stochrsi-v1,EUR/NZD,SELL,2026-09-14T17:20:35.786Z,60,LOSS
stochrsi-v1,EUR/NZD,SELL,2026-09-14T17:21:33.869Z,60,WIN
stochrsi-v1,EUR/NZD,SELL,2026-09-14T17:22:54.819Z,60,WIN
stochrsi-v1,EUR/NZD,SELL,2026-09-14T17:25:13.869Z,60,WIN
stochrsi-v1,EUR/NZD,SELL,2026-09-14T17:25:54.995Z,60,WIN
stochrsi-v1,EUR/NZD,SELL,2026-09-14T17:28:01.213Z,60,LOSS
stochrsi-v1,EUR/NZD,SELL,2026-09-14T17:28:22.079Z,60,WIN
stochrsi-v1,EUR/NZD,SELL,2026-09-14T17:28:49.912Z,60,WIN
stochrsi-v1,EUR/NZD,SELL,2026-09-14T17:29:08.867Z,60,WIN
stochrsi-v1,EUR/NZD,SELL,2026-09-14T17:47:47.784Z,60,LOSS
stochrsi-v1,EUR/NZD,SELL,2026-09-14T17:50:28.109Z,60,WIN
stochrsi-v1,EUR/NZD,SELL,2026-09-14T17:57:22.883Z,60,LOSS
stochrsi-v1,EUR/NZD,SELL,2026-09-14T17:57:48.350Z,60,WIN
stochrsi-v1,EUR/NZD,SELL,2026-09-14T17:57:59.750Z,60,WIN
stochrsi-v1,EUR/NZD,BUY,2026-09-14T18:05:31.504Z,60,WIN
stochrsi-v1,EUR/NZD,SELL,2026-09-14T18:10:59.123Z,60,LOSS
stochrsi-v1,EUR/NZD,SELL,2026-09-14T18:11:15.576Z,60,LOSS
stochrsi-v1,EUR/NZD,SELL,2026-09-14T18:11:50.470Z,60,LOSS
stochrsi-v1,EUR/NZD,BUY,2026-09-14T18:17:54.036Z,60,LOSS
stochrsi-v1,EUR/NZD,BUY,2026-09-14T18:18:09.809Z,60,WIN
stochrsi-v1,EUR/NZD,BUY,2026-09-14T18:53:58.578Z,60,WIN
stochrsi-v1,EUR/NZD,BUY,2026-09-14T19:00:53.757Z,60,WIN
stochrsi-v1,EUR/NZD,BUY,2026-09-14T19:02:29.877Z,60,WIN
stochrsi-v1,EUR/NZD,SELL,2026-09-14T19:06:14.510Z,60,WIN
stochrsi-v1,EUR/NZD,SELL,2026-09-14T19:07:24.524Z,60,WIN
stochrsi-v1,EUR/NZD,BUY,2026-09-14T19:12:12.863Z,60,WIN
stochrsi-v1,EUR/NZD,SELL,2026-09-14T19:14:45.212Z,60,LOSS
stochrsi-v1,EUR/NZD,SELL,2026-09-14T19:22:39.053Z,60,WIN
stochrsi-v1,EUR/NZD,SELL,2026-09-14T19:23:28.968Z,60,LOSS
stochrsi-v1,EUR/NZD,SELL,2026-09-14T19:23:58.724Z,60,LOSS
stochrsi-v1,EUR/NZD,SELL,2026-09-14T19:24:18.292Z,60,LOSS
stochrsi-v1,EUR/NZD,BUY,2026-09-14T19:26:00.185Z,60,WIN
stochrsi-v1,EUR/NZD,SELL,2026-09-14T19:26:23.913Z,60,LOSS
stochrsi-v1,EUR/NZD,BUY,2026-09-14T19:26:58.669Z,60,WIN
stochrsi-v1,EUR/NZD,BUY,2026-09-14T19:29:18.351Z,60,WIN
stochrsi-v1,EUR/NZD,BUY,2026-09-14T19:29:28.963Z,60,WIN
stochrsi-v1,EUR/NZD,BUY,2026-09-14T19:29:39.601Z,60,WIN
stochrsi-v1,EUR/NZD,BUY,2026-09-14T19:31:13.362Z,60,LOSS
stochrsi-v1,EUR/NZD,BUY,2026-09-14T19:32:13.525Z,60,LOSS
stochrsi-v1,EUR/NZD,SELL,2026-09-14T19:33:13.782Z,60,WIN
stochrsi-v1,EUR/NZD,SELL,2026-09-14T19:33:26.102Z,60,WIN
stochrsi-v1,EUR/NZD,SELL,2026-09-14T19:34:03.160Z,60,LOSS
stochrsi-v1,EUR/NZD,SELL,2026-09-14T19:37:23.978Z,60,WIN
stochrsi-v1,EUR/NZD,SELL,2026-09-14T19:37:34.510Z,60,WIN
stochrsi-v1,EUR/NZD,BUY,2026-09-14T19:41:29.700Z,60,LOSS
stochrsi-v1,EUR/NZD,BUY,2026-09-14T21:08:43.120Z,60,LOSS
stochrsi-v1,EUR/NZD,SELL,2026-09-14T21:22:28.483Z,60,LOSS
stochrsi-v1,EUR/NZD,BUY,2026-09-14T21:32:38.362Z,60,LOSS
stochrsi-v1,EUR/NZD,BUY,2026-09-14T21:33:19.748Z,60,WIN
stochrsi-v1,EUR/NZD,BUY,2026-09-14T21:35:41.916Z,60,LOSS
stochrsi-v1,EUR/NZD,BUY,2026-09-14T22:57:49.580Z,60,WIN
stochrsi-v1,EUR/NZD,BUY,2026-09-14T22:58:08.174Z,60,LOSS
stochrsi-v1,EUR/NZD,BUY,2026-09-14T22:59:13.116Z,60,LOSS
stochrsi-v1,EUR/NZD,SELL,2026-09-14T23:00:09.544Z,60,LOSS
stochrsi-v1,EUR/NZD,SELL,2026-09-14T23:04:03.453Z,60,WIN
stochrsi-v1,EUR/NZD,SELL,2026-09-14T23:04:11.224Z,60,WIN
stochrsi-v1,EUR/NZD,SELL,2026-09-14T23:04:59.969Z,60,WIN
stochrsi-v1,EUR/NZD,SELL,2026-09-14T23:07:18.715Z,60,LOSS
stochrsi-v1,EUR/NZD,SELL,2026-09-14T23:07:43.173Z,60,LOSS
stochrsi-v1,EUR/NZD,SELL,2026-09-14T23:08:14.059Z,60,LOSS
stochrsi-v1,EUR/NZD,SELL,2026-09-14T23:08:34.212Z,60,WIN
stochrsi-v1,EUR/NZD,SELL,2026-09-14T23:08:48.590Z,60,WIN
stochrsi-v1,EUR/NZD,SELL,2026-09-14T23:09:14.544Z,60,WIN
stochrsi-v1,EUR/NZD,SELL,2026-09-14T23:13:23.325Z,60,WIN
stochrsi-v1,EUR/NZD,SELL,2026-09-14T23:15:18.631Z,60,WIN
stochrsi-v1,EUR/NZD,SELL,2026-09-14T23:15:28.307Z,60,WIN
stochrsi-v1,EUR/NZD,SELL,2026-09-14T23:16:41.946Z,60,LOSS
stochrsi-v1,EUR/NZD,SELL,2026-09-14T23:17:08.882Z,60,WIN
stochrsi-v1,EUR/NZD,SELL,2026-09-14T23:17:22.589Z,60,LOSS
stochrsi-v1,EUR/NZD,SELL,2026-09-14T23:21:04.693Z,60,LOSS
stochrsi-v1,EUR/NZD,BUY,2026-09-14T23:21:09.262Z,60,WIN
stochrsi-v1,EUR/NZD,BUY,2026-09-14T23:21:34.687Z,60,LOSS
stochrsi-v1,EUR/NZD,BUY,2026-09-14T23:22:09.790Z,60,LOSS
stochrsi-v1,EUR/NZD,SELL,2026-09-14T23:23:48.933Z,60,WIN
stochrsi-v1,EUR/NZD,SELL,2026-09-14T23:24:29.299Z,60,LOSS
stochrsi-v1,EUR/NZD,SELL,2026-09-14T23:25:53.516Z,60,WIN
stochrsi-v1,EUR/NZD,BUY,2026-09-14T23:29:52.730Z,60,WIN
stochrsi-v1,EUR/NZD,SELL,2026-09-14T23:30:09.642Z,60,LOSS
stochrsi-v1,EUR/NZD,SELL,2026-09-14T23:33:24.306Z,60,LOSS
stochrsi-v1,EUR/NZD,SELL,2026-09-14T23:33:54.470Z,60,LOSS
stochrsi-v1,EUR/NZD,SELL,2026-09-14T23:35:08.424Z,60,WIN
stochrsi-v1,EUR/NZD,SELL,2026-09-14T23:35:37.605Z,60,WIN
stochrsi-v1,EUR/NZD,SELL,2026-09-14T23:36:43.905Z,60,WIN
stochrsi-v1,EUR/NZD,SELL,2026-09-14T23:41:42.780Z,60,WIN
stochrsi-v1,EUR/NZD,SELL,2026-09-14T23:42:13.952Z,60,WIN
