strategy,asset,direction,reference_iso,horizon_s,result
turtle-soup-v1,EUR/NZD,BUY,2026-09-14T18:09:59.315Z,60,LOSS
turtle-soup-v1,EUR/NZD,BUY,2026-09-14T18:11:01.224Z,60,LOSS
turtle-soup-v1,EUR/NZD,SELL,2026-09-14T18:13:27.193Z,60,WIN
turtle-soup-v1,EUR/NZD,BUY,2026-09-14T18:15:01.300Z,60,WIN
turtle-soup-v1,EUR/NZD,SELL,2026-09-14T18:19:32.770Z,60,LOSS
turtle-soup-v1,EUR/NZD,BUY,2026-09-14T18:19:51.002Z,60,WIN
turtle-soup-v1,EUR/NZD,SELL,2026-09-14T18:20:49.480Z,60,WIN
turtle-soup-v1,EUR/NZD,SELL,2026-09-14T18:56:24.968Z,60,WIN
turtle-soup-v1,EUR/NZD,SELL,2026-09-14T18:56:54.376Z,60,WIN
turtle-soup-v1,EUR/NZD,SELL,2026-09-14T18:57:04.493Z,60,WIN
turtle-soup-v1,EUR/NZD,BUY,2026-09-14T18:57:43.391Z,60,LOSS
turtle-soup-v1,EUR/NZD,BUY,2026-09-14T18:58:19.111Z,60,WIN
turtle-soup-v1,EUR/NZD,SELL,2026-09-14T19:01:34.138Z,60,WIN
turtle-soup-v1,EUR/NZD,SELL,2026-09-14T19:01:59.283Z,60,WIN
turtle-soup-v1,EUR/NZD,BUY,2026-09-14T19:06:33.867Z,60,LOSS
turtle-soup-v1,EUR/NZD,BUY,2026-09-14T19:14:09.986Z,60,LOSS
turtle-soup-v1,EUR/NZD,BUY,2026-09-14T19:14:34.935Z,60,WIN
turtle-soup-v1,EUR/NZD,BUY,2026-09-14T19:22:04.875Z,60,LOSS
turtle-soup-v1,EUR/NZD,BUY,2026-09-14T19:23:28.968Z,60,WIN
turtle-soup-v1,EUR/NZD,BUY,2026-09-14T19:23:43.165Z,60,WIN
turtle-soup-v1,EUR/NZD,BUY,2026-09-14T19:23:48.919Z,60,WIN
turtle-soup-v1,EUR/NZD,SELL,2026-09-14T19:25:45.132Z,60,WIN
turtle-soup-v1,EUR/NZD,SELL,2026-09-14T19:27:43.677Z,60,LOSS
turtle-soup-v1,EUR/NZD,SELL,2026-09-14T19:27:59.981Z,60,LOSS
turtle-soup-v1,EUR/NZD,SELL,2026-09-14T19:29:04.623Z,60,LOSS
turtle-soup-v1,EUR/NZD,SELL,2026-09-14T19:29:24.521Z,60,LOSS
turtle-soup-v1,EUR/NZD,SELL,2026-09-14T19:29:46.778Z,60,LOSS
turtle-soup-v1,EUR/NZD,SELL,2026-09-14T19:30:42.863Z,60,WIN
turtle-soup-v1,EUR/NZD,SELL,2026-09-14T19:31:00.553Z,60,WIN
turtle-soup-v1,EUR/NZD,BUY,2026-09-14T19:32:07.364Z,60,LOSS
turtle-soup-v1,EUR/NZD,BUY,2026-09-14T19:34:19.111Z,60,WIN
turtle-soup-v1,EUR/NZD,BUY,2026-09-14T19:38:34.935Z,60,LOSS
turtle-soup-v1,EUR/NZD,BUY,2026-09-14T19:39:23.405Z,60,WIN
turtle-soup-v1,EUR/NZD,SELL,2026-09-14T19:40:19.243Z,60,WIN
turtle-soup-v1,EUR/NZD,SELL,2026-09-14T19:41:04.798Z,60,WIN
turtle-soup-v1,EUR/NZD,BUY,2026-09-14T20:17:16.555Z,60,WIN
turtle-soup-v1,EUR/NZD,SELL,2026-09-14T20:30:33.491Z,60,LOSS
turtle-soup-v1,EUR/NZD,SELL,2026-09-14T21:07:24.892Z,60,WIN
turtle-soup-v1,EUR/NZD,SELL,2026-09-14T21:07:58.941Z,60,LOSS
turtle-soup-v1,EUR/NZD,SELL,2026-09-14T21:18:02.220Z,60,WIN
turtle-soup-v1,EUR/NZD,BUY,2026-09-14T21:21:07.118Z,60,LOSS
