strategy,asset,direction,reference_iso,horizon_s,result
williams-v1,EUR/NZD,SELL,2026-09-14T20:30:33.491Z,60,LOSS
williams-v1,EUR/NZD,SELL,2026-09-14T21:07:24.892Z,60,WIN
williams-v1,EUR/NZD,SELL,2026-09-14T21:07:58.941Z,60,LOSS
williams-v1,EUR/NZD,BUY,2026-09-14T21:08:43.120Z,60,LOSS
williams-v1,EUR/NZD,BUY,2026-09-14T21:11:19.771Z,60,WIN
williams-v1,EUR/NZD,SELL,2026-09-14T21:17:03.713Z,60,WIN
williams-v1,EUR/NZD,BUY,2026-09-14T21:20:23.302Z,60,LOSS
williams-v1,EUR/NZD,BUY,2026-09-14T21:21:07.118Z,60,LOSS
williams-v1,EUR/NZD,BUY,2026-09-14T21:32:38.362Z,60,LOSS
williams-v1,EUR/NZD,BUY,2026-09-14T21:34:14.128Z,60,LOSS
williams-v1,EUR/NZD,SELL,2026-09-14T21:35:14.378Z,60,LOSS
williams-v1,EUR/NZD,SELL,2026-09-14T21:35:39.808Z,60,LOSS
williams-v1,EUR/NZD,SELL,2026-09-14T22:56:35.466Z,60,LOSS
williams-v1,EUR/NZD,SELL,2026-09-14T22:56:48.063Z,60,WIN
williams-v1,EUR/NZD,SELL,2026-09-14T22:58:24.236Z,60,LOSS
williams-v1,EUR/NZD,BUY,2026-09-14T22:58:32.643Z,60,LOSS
williams-v1,EUR/NZD,SELL,2026-09-14T22:58:49.732Z,60,WIN
williams-v1,EUR/NZD,BUY,2026-09-14T22:59:49.219Z,60,WIN
williams-v1,EUR/NZD,SELL,2026-09-14T23:00:39.052Z,60,LOSS
williams-v1,EUR/NZD,SELL,2026-09-14T23:00:59.629Z,60,LOSS
williams-v1,EUR/NZD,SELL,2026-09-14T23:01:51.576Z,60,LOSS
williams-v1,EUR/NZD,SELL,2026-09-14T23:02:24.022Z,60,WIN
williams-v1,EUR/NZD,SELL,2026-09-14T23:02:44.330Z,60,WIN
williams-v1,EUR/NZD,BUY,2026-09-14T23:03:49.279Z,60,WIN
williams-v1,EUR/NZD,BUY,2026-09-14T23:04:03.453Z,60,LOSS
williams-v1,EUR/NZD,BUY,2026-09-14T23:04:52.119Z,60,LOSS
williams-v1,EUR/NZD,BUY,2026-09-14T23:05:21.150Z,60,LOSS
williams-v1,EUR/NZD,BUY,2026-09-14T23:05:50.073Z,60,LOSS
williams-v1,EUR/NZD,BUY,2026-09-14T23:06:06.508Z,60,LOSS
williams-v1,EUR/NZD,BUY,2026-09-14T23:06:27.970Z,60,LOSS
williams-v1,EUR/NZD,SELL,2026-09-14T23:08:14.059Z,60,LOSS
williams-v1,EUR/NZD,SELL,2026-09-14T23:09:09.219Z,60,WIN
williams-v1,EUR/NZD,BUY,2026-09-14T23:09:33.938Z,60,LOSS
williams-v1,EUR/NZD,BUY,2026-09-14T23:10:08.661Z,60,LOSS
williams-v1,EUR/NZD,BUY,2026-09-14T23:10:18.986Z,60,LOSS
williams-v1,EUR/NZD,BUY,2026-09-14T23:10:34.459Z,60,LOSS
williams-v1,EUR/NZD,BUY,2026-09-14T23:11:08.484Z,60,LOSS
williams-v1,EUR/NZD,BUY,2026-09-14T23:11:59.448Z,60,LOSS
williams-v1,EUR/NZD,BUY,2026-09-14T23:12:08.935Z,60,WIN
williams-v1,EUR/NZD,BUY,2026-09-14T23:12:22.829Z,60,LOSS
williams-v1,EUR/NZD,BUY,2026-09-14T23:13:29.655Z,60,LOSS
williams-v1,EUR/NZD,BUY,2026-09-14T23:14:06.720Z,60,LOSS
williams-v1,EUR/NZD,BUY,2026-09-14T23:14:19.730Z,60,LOSS
williams-v1,EUR/NZD,BUY,2026-09-14T23:14:49.720Z,60,LOSS
williams-v1,EUR/NZD,BUY,2026-09-14T23:15:03.726Z,60,LOSS
williams-v1,EUR/NZD,BUY,2026-09-14T23:15:38.874Z,60,LOSS
williams-v1,EUR/NZD,BUY,2026-09-14T23:16:03.908Z,60,LOSS
williams-v1,EUR/NZD,BUY,2026-09-14T23:16:13.790Z,60,WIN
williams-v1,EUR/NZD,BUY,2026-09-14T23:17:48.259Z,60,WIN
williams-v1,EUR/NZD,BUY,2026-09-14T23:18:14.787Z,60,LOSS
williams-v1,EUR/NZD,SELL,2026-09-14T23:18:23.070Z,60,WIN
williams-v1,EUR/NZD,SELL,2026-09-14T23:18:44.536Z,60,WIN
williams-v1,EUR/NZD,BUY,2026-09-14T23:19:14.207Z,60,WIN
williams-v1,EUR/NZD,BUY,2026-09-14T23:19:31.523Z,60,WIN
williams-v1,EUR/NZD,SELL,2026-09-14T23:20:13.326Z,60,LOSS
williams-v1,EUR/NZD,BUY,2026-09-14T23:21:09.262Z,60,WIN
williams-v1,EUR/NZD,SELL,2026-09-14T23:21:22.722Z,60,WIN
williams-v1,EUR/NZD,SELL,2026-09-14T23:21:36.940Z,60,WIN
williams-v1,EUR/NZD,SELL,2026-09-14T23:22:13.490Z,60,WIN
williams-v1,EUR/NZD,BUY,2026-09-14T23:22:33.199Z,60,WIN
williams-v1,EUR/NZD,BUY,2026-09-14T23:23:12.935Z,60,WIN
williams-v1,EUR/NZD,SELL,2026-09-14T23:23:44.273Z,60,WIN
williams-v1,EUR/NZD,SELL,2026-09-14T23:23:59.922Z,60,WIN
williams-v1,EUR/NZD,SELL,2026-09-14T23:24:29.299Z,60,LOSS
williams-v1,EUR/NZD,BUY,2026-09-14T23:24:43.118Z,60,WIN
williams-v1,EUR/NZD,SELL,2026-09-14T23:25:19.598Z,60,LOSS
williams-v1,EUR/NZD,SELL,2026-09-14T23:26:24.437Z,60,WIN
williams-v1,EUR/NZD,BUY,2026-09-14T23:27:03.536Z,60,WIN
williams-v1,EUR/NZD,BUY,2026-09-14T23:27:38.294Z,60,WIN
