strategy,asset,direction,entry_iso,entry_price,exit_iso,exit_price,horizon_s,result
stochrsi-v1,NZD/USD,BUY,2026-09-14T10:15:38.233Z,0.519755,2026-09-14T10:16:43.747Z,0.519505,60,LOSS
stochrsi-v1,NZD/USD,SELL,2026-09-14T10:17:03.550Z,0.519285,2026-09-14T10:18:09.342Z,0.518455,60,WIN
stochrsi-v1,NZD/USD,SELL,2026-09-14T10:18:21.352Z,0.518759,2026-09-14T10:19:26.307Z,0.519515,60,LOSS
stochrsi-v1,NZD/USD,BUY,2026-09-14T10:23:33.197Z,0.519475,2026-09-14T10:24:42.292Z,0.518125,60,LOSS
stochrsi-v1,NZD/USD,BUY,2026-09-14T10:23:40.881Z,0.518432,2026-09-14T10:24:42.292Z,0.518125,60,LOSS
stochrsi-v1,NZD/USD,SELL,2026-09-14T10:35:03.960Z,0.51685,2026-09-14T10:36:05.930Z,0.515415,60,WIN
stochrsi-v1,NZD/USD,SELL,2026-09-14T10:35:23.677Z,0.516292,2026-09-14T10:36:27.342Z,0.514905,60,WIN
stochrsi-v1,NZD/USD,SELL,2026-09-14T10:38:08.432Z,0.515,2026-09-14T10:39:09.947Z,0.515,60,DRAW
stochrsi-v1,NZD/USD,BUY,2026-09-14T10:42:16.195Z,0.516535,2026-09-14T10:43:22.478Z,0.516,60,LOSS
stochrsi-v1,NZD/USD,BUY,2026-09-14T10:48:34.134Z,0.516675,2026-09-14T10:49:35.162Z,0.516,60,LOSS
stochrsi-v1,NZD/USD,BUY,2026-09-14T11:04:28.948Z,0.521265,2026-09-14T11:05:34.188Z,0.520615,60,LOSS
stochrsi-v1,NZD/USD,SELL,2026-09-14T11:07:08.788Z,0.520575,2026-09-14T11:08:17.489Z,0.521455,60,LOSS
stochrsi-v1,NZD/USD,SELL,2026-09-14T11:11:54.804Z,0.518625,2026-09-14T11:12:57.693Z,0.518225,60,WIN
stochrsi-v1,NZD/USD,SELL,2026-09-14T11:13:19.173Z,0.517115,2026-09-14T11:14:21.421Z,0.516355,60,WIN
stochrsi-v1,NZD/USD,BUY,2026-09-14T11:20:24.034Z,0.5182,2026-09-14T11:21:25.488Z,0.518045,60,LOSS
stochrsi-v1,NZD/USD,BUY,2026-09-14T11:21:23.200Z,0.518095,2026-09-14T11:22:23.637Z,0.518455,60,WIN
stochrsi-v1,NZD/USD,SELL,2026-09-14T11:34:54.298Z,0.515305,2026-09-14T11:35:54.613Z,0.515285,60,WIN
stochrsi-v1,NZD/USD,SELL,2026-09-14T11:37:26.422Z,0.515305,2026-09-14T11:38:31.985Z,0.514995,60,WIN
stochrsi-v1,NZD/USD,SELL,2026-09-14T11:39:47.868Z,0.514975,2026-09-14T11:40:50.375Z,0.514925,60,WIN
stochrsi-v1,NZD/USD,BUY,2026-09-14T11:44:00.619Z,0.516015,2026-09-14T11:45:30.524Z,0.516268,60,WIN
stochrsi-v1,NZD/USD,BUY,2026-09-14T11:44:39.033Z,0.515883,2026-09-14T11:45:48.190Z,0.5159,60,WIN
stochrsi-v1,NZD/USD,BUY,2026-09-14T11:44:59.807Z,0.516175,2026-09-14T11:46:01.888Z,0.515615,60,LOSS
stochrsi-v1,NZD/USD,BUY,2026-09-14T11:46:12.786Z,0.515745,2026-09-14T11:47:24.564Z,0.51555,60,LOSS
stochrsi-v1,NZD/USD,BUY,2026-09-14T11:50:58.370Z,0.516568,2026-09-14T11:51:59.013Z,0.515265,60,LOSS
stochrsi-v1,NZD/USD,SELL,2026-09-14T12:02:59.724Z,0.515395,2026-09-14T12:04:01.131Z,0.514825,60,WIN
stochrsi-v1,NZD/USD,BUY,2026-09-14T12:09:38.079Z,0.51535,2026-09-14T12:10:42.553Z,0.515845,60,WIN
stochrsi-v1,NZD/USD,BUY,2026-09-14T12:11:37.717Z,0.515535,2026-09-14T12:12:38.870Z,0.515456,60,LOSS
stochrsi-v1,NZD/USD,BUY,2026-09-14T12:12:33.548Z,0.51553,2026-09-14T12:13:37.973Z,0.516405,60,WIN
stochrsi-v1,NZD/USD,BUY,2026-09-14T12:14:14.511Z,0.516615,2026-09-14T12:15:16.437Z,0.516985,60,WIN
stochrsi-v1,NZD/USD,BUY,2026-09-14T12:14:34.299Z,0.51713,2026-09-14T12:15:34.430Z,0.516862,60,LOSS
stochrsi-v1,NZD/USD,BUY,2026-09-14T12:16:23.117Z,0.517,2026-09-14T12:17:23.559Z,0.516502,60,LOSS
stochrsi-v1,NZD/USD,SELL,2026-09-14T12:17:34.021Z,0.516243,2026-09-14T12:18:34.433Z,0.516905,60,LOSS
stochrsi-v1,NZD/USD,BUY,2026-09-14T12:19:50.654Z,0.517727,2026-09-14T12:20:51.970Z,0.518085,60,WIN
stochrsi-v1,NZD/USD,BUY,2026-09-14T12:21:07.958Z,0.517895,2026-09-14T12:22:12.875Z,0.517865,60,LOSS
stochrsi-v1,NZD/USD,BUY,2026-09-14T12:21:23.993Z,0.518248,2026-09-14T12:22:26.520Z,0.518235,60,LOSS
stochrsi-v1,NZD/USD,BUY,2026-09-14T12:22:04.629Z,0.517602,2026-09-14T12:23:08.028Z,0.518795,60,WIN
stochrsi-v1,NZD/USD,BUY,2026-09-14T12:24:03.966Z,0.519125,2026-09-14T12:25:05.715Z,0.518485,60,LOSS
stochrsi-v1,NZD/USD,BUY,2026-09-14T12:28:14.926Z,0.520375,2026-09-14T12:29:36.665Z,0.520768,60,WIN
stochrsi-v1,NZD/USD,BUY,2026-09-14T12:29:38.662Z,0.520655,2026-09-14T12:30:46.263Z,0.520435,60,LOSS
stochrsi-v1,NZD/USD,BUY,2026-09-14T12:30:38.178Z,0.520655,2026-09-14T12:31:40.650Z,0.520605,60,LOSS
stochrsi-v1,NZD/USD,BUY,2026-09-14T12:30:59.330Z,0.520685,2026-09-14T12:32:00.386Z,0.519375,60,LOSS
stochrsi-v1,NZD/USD,SELL,2026-09-14T12:34:54.395Z,0.519245,2026-09-14T12:35:55.130Z,0.517245,60,WIN
stochrsi-v1,EUR/USD,SELL,2026-09-14T13:04:02.776Z,1.151918,2026-09-14T13:05:15.961Z,1.15155,60,WIN
stochrsi-v1,EUR/USD,SELL,2026-09-14T13:05:54.335Z,1.151605,2026-09-14T13:06:57.042Z,1.151565,60,WIN
stochrsi-v1,EUR/USD,SELL,2026-09-14T13:06:59.023Z,1.151575,2026-09-14T13:08:01.546Z,1.151388,60,WIN
stochrsi-v1,EUR/USD,SELL,2026-09-14T13:07:29.398Z,1.151643,2026-09-14T13:08:50.066Z,1.151343,60,WIN
stochrsi-v1,EUR/USD,SELL,2026-09-14T13:10:01.350Z,1.151108,2026-09-14T13:11:03.106Z,1.15125,60,LOSS
stochrsi-v1,EUR/USD,BUY,2026-09-14T13:18:09.547Z,1.150935,2026-09-14T13:19:11.178Z,1.151195,60,WIN
stochrsi-v1,EUR/USD,BUY,2026-09-14T13:18:22.754Z,1.150935,2026-09-14T13:19:23.544Z,1.151208,60,WIN
stochrsi-v1,EUR/USD,BUY,2026-09-14T13:20:19.826Z,1.1519,2026-09-14T13:21:29.950Z,1.15145,60,LOSS
stochrsi-v1,EUR/USD,BUY,2026-09-14T13:20:39.855Z,1.15185,2026-09-14T13:21:40.803Z,1.151355,60,LOSS
stochrsi-v1,EUR/USD,BUY,2026-09-14T13:21:38.226Z,1.15148,2026-09-14T13:22:40.040Z,1.150965,60,LOSS
stochrsi-v1,EUR/USD,BUY,2026-09-14T13:25:34.895Z,1.15173,2026-09-14T13:26:38.314Z,1.151695,60,LOSS
stochrsi-v1,EUR/USD,BUY,2026-09-14T13:26:54.244Z,1.151835,2026-09-14T13:27:54.285Z,1.152385,60,WIN
stochrsi-v1,EUR/USD,BUY,2026-09-14T13:27:45.828Z,1.15235,2026-09-14T13:28:53.532Z,1.152757,60,WIN
