strategy,asset,direction,entry_iso,entry_price,exit_iso,exit_price,horizon_s,result
reversion-v3-fib,EUR/NZD,SELL,2026-09-14T17:31:53.440Z,1.888465,2026-09-14T17:32:53.506Z,1.891699,60,LOSS
reversion-v3-fib,EUR/NZD,SELL,2026-09-14T17:31:59.560Z,1.888524,2026-09-14T17:33:00.258Z,1.891565,60,LOSS
reversion-v3-fib,EUR/NZD,BUY,2026-09-14T18:04:44.406Z,1.893389,2026-09-14T18:05:48.171Z,1.895667,60,WIN
reversion-v3-fib,EUR/NZD,BUY,2026-09-14T18:04:48.965Z,1.893525,2026-09-14T18:05:50.301Z,1.895545,60,WIN
reversion-v3-fib,EUR/NZD,BUY,2026-09-14T18:04:53.974Z,1.893235,2026-09-14T18:05:55.295Z,1.896135,60,WIN
reversion-v3-fib,EUR/NZD,BUY,2026-09-14T18:04:59.762Z,1.893522,2026-09-14T18:06:00.286Z,1.896195,60,WIN
reversion-v3-fib,EUR/NZD,BUY,2026-09-14T18:53:50.983Z,1.90581,2026-09-14T18:54:56.719Z,1.906331,60,WIN
reversion-v3-fib,EUR/NZD,BUY,2026-09-14T19:02:09.372Z,1.907135,2026-09-14T19:03:12.059Z,1.909645,60,WIN
reversion-v3-fib,EUR/NZD,BUY,2026-09-14T19:02:13.534Z,1.907555,2026-09-14T19:03:14.374Z,1.909464,60,WIN
reversion-v3-fib,EUR/NZD,BUY,2026-09-14T19:02:17.653Z,1.907375,2026-09-14T19:03:18.377Z,1.910555,60,WIN
reversion-v3-fib,EUR/NZD,BUY,2026-09-14T19:02:24.368Z,1.907135,2026-09-14T19:03:25.300Z,1.90968,60,WIN
reversion-v3-fib,EUR/NZD,BUY,2026-09-14T19:25:54.499Z,1.904473,2026-09-14T19:26:55.535Z,1.904711,60,WIN
reversion-v3-fib,EUR/NZD,BUY,2026-09-14T19:25:58.735Z,1.904029,2026-09-14T19:27:00.045Z,1.904645,60,WIN
reversion-v3-fib,EUR/NZD,BUY,2026-09-14T19:31:42.920Z,1.911568,2026-09-14T19:32:43.828Z,1.910435,60,LOSS
reversion-v3-fib,EUR/NZD,SELL,2026-09-14T19:35:36.977Z,1.90955,2026-09-14T19:36:37.461Z,1.909165,60,WIN
reversion-v3-fib,EUR/NZD,BUY,2026-09-14T21:19:09.684Z,1.898625,2026-09-14T21:20:23.302Z,1.898765,60,WIN
reversion-v3-fib,EUR/NZD,BUY,2026-09-14T21:19:24.075Z,1.898438,2026-09-14T21:20:25.315Z,1.898442,60,WIN
reversion-v3-fib,EUR/NZD,BUY,2026-09-14T21:19:28.671Z,1.898436,2026-09-14T21:20:33.910Z,1.898575,60,WIN
reversion-v3-fib,EUR/NZD,BUY,2026-09-14T21:19:30.597Z,1.898319,2026-09-14T21:20:33.910Z,1.898575,60,WIN
reversion-v3-fib,EUR/NZD,BUY,2026-09-14T21:20:23.302Z,1.898765,2026-09-14T21:21:23.929Z,1.898253,60,LOSS
reversion-v3-fib,EUR/NZD,BUY,2026-09-14T21:20:27.467Z,1.898605,2026-09-14T21:21:30.860Z,1.899401,60,WIN
reversion-v3-fib,EUR/NZD,BUY,2026-09-14T21:33:11.791Z,1.902,2026-09-14T21:34:12.265Z,1.903415,60,WIN
reversion-v3-fib,EUR/NZD,BUY,2026-09-14T22:58:04.418Z,1.902763,2026-09-14T22:59:05.291Z,1.903225,60,WIN
