strategy,asset,direction,entry_iso,entry_price,exit_iso,exit_price,horizon_s,result
reversion-v6,NZD/USD,BUY,2026-09-14T10:15:54.993Z,0.51938,2026-09-14T10:17:00.322Z,0.519285,60,LOSS
reversion-v6,NZD/USD,BUY,2026-09-14T10:15:59.685Z,0.519425,2026-09-14T10:17:00.322Z,0.519285,60,LOSS
reversion-v6,NZD/USD,BUY,2026-09-14T10:16:03.000Z,0.51929,2026-09-14T10:17:03.550Z,0.519285,60,LOSS
reversion-v6,NZD/USD,BUY,2026-09-14T10:17:27.401Z,0.5183,2026-09-14T10:18:29.345Z,0.519195,60,WIN
reversion-v6,NZD/USD,BUY,2026-09-14T10:36:23.535Z,0.515025,2026-09-14T10:37:24.123Z,0.516085,60,WIN
reversion-v6,NZD/USD,BUY,2026-09-14T10:36:27.342Z,0.514905,2026-09-14T10:37:31.916Z,0.51598,60,WIN
reversion-v6,NZD/USD,BUY,2026-09-14T10:36:34.468Z,0.51508,2026-09-14T10:37:37.781Z,0.515825,60,WIN
reversion-v6,NZD/USD,BUY,2026-09-14T10:36:37.428Z,0.515183,2026-09-14T10:37:37.781Z,0.515825,60,WIN
reversion-v6,NZD/USD,BUY,2026-09-14T10:45:24.499Z,0.516,2026-09-14T10:46:26.295Z,0.516015,60,WIN
reversion-v6,NZD/USD,BUY,2026-09-14T10:50:14.915Z,0.516,2026-09-14T10:51:15.410Z,0.516485,60,WIN
reversion-v6,NZD/USD,BUY,2026-09-14T11:06:14.773Z,0.5205,2026-09-14T11:07:15.375Z,0.520825,60,WIN
reversion-v6,NZD/USD,BUY,2026-09-14T11:11:33.076Z,0.518915,2026-09-14T11:12:34.734Z,0.51809,60,LOSS
reversion-v6,NZD/USD,BUY,2026-09-14T11:11:44.111Z,0.518765,2026-09-14T11:12:46.163Z,0.518485,60,LOSS
reversion-v6,NZD/USD,BUY,2026-09-14T11:14:30.308Z,0.516215,2026-09-14T11:15:39.475Z,0.515715,60,LOSS
reversion-v6,NZD/USD,BUY,2026-09-14T11:14:48.447Z,0.51608,2026-09-14T11:15:50.314Z,0.51562,60,LOSS
reversion-v6,NZD/USD,BUY,2026-09-14T11:15:59.572Z,0.51538,2026-09-14T11:17:00.701Z,0.51625,60,WIN
reversion-v6,NZD/USD,BUY,2026-09-14T11:35:27.581Z,0.515147,2026-09-14T11:36:27.649Z,0.5155,60,WIN
reversion-v6,NZD/USD,BUY,2026-09-14T11:40:54.189Z,0.514845,2026-09-14T11:41:55.512Z,0.514375,60,LOSS
reversion-v6,NZD/USD,BUY,2026-09-14T11:46:49.047Z,0.514815,2026-09-14T11:47:49.687Z,0.516175,60,WIN
reversion-v6,NZD/USD,BUY,2026-09-14T11:46:53.876Z,0.514878,2026-09-14T11:47:55.094Z,0.516025,60,WIN
reversion-v6,NZD/USD,BUY,2026-09-14T11:47:00.271Z,0.514845,2026-09-14T11:48:12.480Z,0.516305,60,WIN
reversion-v6,NZD/USD,BUY,2026-09-14T11:52:18.167Z,0.514995,2026-09-14T11:53:25.457Z,0.515125,60,WIN
reversion-v6,NZD/USD,BUY,2026-09-14T11:52:21.239Z,0.514915,2026-09-14T11:53:25.457Z,0.515125,60,WIN
reversion-v6,NZD/USD,BUY,2026-09-14T11:52:33.048Z,0.514858,2026-09-14T11:53:34.189Z,0.515695,60,WIN
reversion-v6,NZD/USD,BUY,2026-09-14T11:52:43.767Z,0.514915,2026-09-14T11:53:45.292Z,0.515365,60,WIN
reversion-v6,NZD/USD,BUY,2026-09-14T11:52:48.546Z,0.514908,2026-09-14T11:53:49.307Z,0.51529,60,WIN
reversion-v6,NZD/USD,BUY,2026-09-14T12:00:17.243Z,0.516185,2026-09-14T12:01:18.113Z,0.51535,60,LOSS
