strategy,asset,direction,entry_iso,entry_price,exit_iso,exit_price,horizon_s,result
reversion-v6,EUR/NZD,BUY,2026-09-14T17:18:44.627Z,1.898185,2026-09-14T17:19:49.199Z,1.898367,60,WIN
reversion-v6,EUR/NZD,BUY,2026-09-14T17:18:47.216Z,1.898488,2026-09-14T17:19:49.199Z,1.898367,60,LOSS
reversion-v6,EUR/NZD,BUY,2026-09-14T17:18:53.685Z,1.898794,2026-09-14T17:19:55.617Z,1.898285,60,LOSS
reversion-v6,EUR/NZD,BUY,2026-09-14T17:20:53.958Z,1.896394,2026-09-14T17:21:59.697Z,1.896615,60,WIN
reversion-v6,EUR/NZD,BUY,2026-09-14T17:26:17.831Z,1.891095,2026-09-14T17:27:33.854Z,1.891155,60,WIN
reversion-v6,EUR/NZD,BUY,2026-09-14T17:26:51.897Z,1.889005,2026-09-14T17:27:51.898Z,1.890321,60,WIN
reversion-v6,EUR/NZD,BUY,2026-09-14T17:26:59.262Z,1.88834,2026-09-14T17:27:59.447Z,1.890163,60,WIN
reversion-v6,EUR/NZD,BUY,2026-09-14T17:30:48.005Z,1.887395,2026-09-14T17:31:50.261Z,1.888235,60,WIN
reversion-v6,EUR/NZD,BUY,2026-09-14T17:30:53.364Z,1.887762,2026-09-14T17:31:53.440Z,1.888465,60,WIN
reversion-v6,EUR/NZD,BUY,2026-09-14T17:30:59.213Z,1.887636,2026-09-14T17:31:59.560Z,1.888524,60,WIN
reversion-v6,EUR/NZD,BUY,2026-09-14T17:45:57.948Z,1.889105,2026-09-14T17:46:58.715Z,1.888213,60,LOSS
reversion-v6,EUR/NZD,BUY,2026-09-14T17:47:00.481Z,1.888229,2026-09-14T17:48:00.917Z,1.88745,60,LOSS
reversion-v6,EUR/NZD,BUY,2026-09-14T17:47:12.738Z,1.887355,2026-09-14T17:48:30.888Z,1.890005,60,WIN
reversion-v6,EUR/NZD,BUY,2026-09-14T17:47:47.784Z,1.88465,2026-09-14T17:48:53.948Z,1.891544,60,WIN
reversion-v6,EUR/NZD,SELL,2026-09-14T18:02:33.373Z,1.896765,2026-09-14T18:03:41.008Z,1.895394,60,WIN
reversion-v6,EUR/NZD,SELL,2026-09-14T18:02:49.424Z,1.896945,2026-09-14T18:03:51.535Z,1.895585,60,WIN
reversion-v6,EUR/NZD,SELL,2026-09-14T18:02:51.645Z,1.896695,2026-09-14T18:04:00.675Z,1.895455,60,WIN
reversion-v6,EUR/NZD,BUY,2026-09-14T18:04:48.965Z,1.893525,2026-09-14T18:05:50.301Z,1.895545,60,WIN
reversion-v6,EUR/NZD,BUY,2026-09-14T18:04:53.974Z,1.893235,2026-09-14T18:05:55.295Z,1.896135,60,WIN
reversion-v6,EUR/NZD,BUY,2026-09-14T18:04:59.762Z,1.893522,2026-09-14T18:06:00.286Z,1.896195,60,WIN
reversion-v6,EUR/NZD,SELL,2026-09-14T18:07:01.396Z,1.897834,2026-09-14T18:08:02.626Z,1.8953,60,WIN
reversion-v6,EUR/NZD,BUY,2026-09-14T18:08:57.630Z,1.893675,2026-09-14T18:09:59.315Z,1.893295,60,LOSS
reversion-v6,EUR/NZD,BUY,2026-09-14T18:09:00.217Z,1.893418,2026-09-14T18:10:02.309Z,1.893055,60,LOSS
reversion-v6,EUR/NZD,BUY,2026-09-14T18:09:05.423Z,1.893112,2026-09-14T18:10:07.965Z,1.893195,60,WIN
reversion-v6,EUR/NZD,BUY,2026-09-14T18:09:14.058Z,1.892127,2026-09-14T18:10:17.195Z,1.893787,60,WIN
reversion-v6,EUR/NZD,BUY,2026-09-14T18:09:27.745Z,1.892459,2026-09-14T18:10:28.543Z,1.893305,60,WIN
reversion-v6,EUR/NZD,BUY,2026-09-14T18:54:18.474Z,1.90555,2026-09-14T18:55:19.290Z,1.906735,60,WIN
reversion-v6,EUR/NZD,BUY,2026-09-14T18:54:24.727Z,1.904777,2026-09-14T18:55:26.595Z,1.906255,60,WIN
reversion-v6,EUR/NZD,BUY,2026-09-14T18:54:28.665Z,1.904845,2026-09-14T18:55:28.702Z,1.906595,60,WIN
reversion-v6,EUR/NZD,BUY,2026-09-14T18:54:32.683Z,1.904845,2026-09-14T18:55:33.903Z,1.90583,60,WIN
reversion-v6,EUR/NZD,BUY,2026-09-14T18:57:45.345Z,1.904765,2026-09-14T18:58:45.577Z,1.90454,60,LOSS
reversion-v6,EUR/NZD,BUY,2026-09-14T18:57:54.744Z,1.90448,2026-09-14T18:59:02.955Z,1.905421,60,WIN
reversion-v6,EUR/NZD,BUY,2026-09-14T18:57:59.616Z,1.904875,2026-09-14T18:59:02.955Z,1.905421,60,WIN
reversion-v6,EUR/NZD,BUY,2026-09-14T19:06:29.555Z,1.9087,2026-09-14T19:07:30.624Z,1.910491,60,WIN
reversion-v6,EUR/NZD,BUY,2026-09-14T19:14:18.159Z,1.907279,2026-09-14T19:15:19.308Z,1.907625,60,WIN
reversion-v6,EUR/NZD,BUY,2026-09-14T19:14:22.549Z,1.906585,2026-09-14T19:15:23.788Z,1.908597,60,WIN
reversion-v6,EUR/NZD,BUY,2026-09-14T19:21:28.839Z,1.907185,2026-09-14T19:22:28.953Z,1.904949,60,LOSS
