strategy,asset,direction,reference_iso,horizon_s,result
reversion-v1-vwap,EUR/NZD,SELL,2026-09-14T18:17:00.262Z,60,LOSS
reversion-v1-vwap,EUR/NZD,BUY,2026-09-14T18:19:45.143Z,60,WIN
reversion-v1-vwap,EUR/NZD,SELL,2026-09-14T18:33:53.584Z,60,DRAW
reversion-v1-vwap,EUR/NZD,SELL,2026-09-14T18:33:59.188Z,60,DRAW
reversion-v1-vwap,EUR/NZD,SELL,2026-09-14T18:34:00.566Z,60,DRAW
reversion-v1-vwap,EUR/NZD,SELL,2026-09-14T18:34:14.427Z,60,DRAW
reversion-v1-vwap,EUR/NZD,SELL,2026-09-14T18:34:19.289Z,60,DRAW
reversion-v1-vwap,EUR/NZD,SELL,2026-09-14T18:35:03.067Z,60,DRAW
reversion-v1-vwap,EUR/NZD,SELL,2026-09-14T18:35:39.759Z,60,DRAW
reversion-v1-vwap,EUR/NZD,SELL,2026-09-14T18:35:44.849Z,60,DRAW
reversion-v1-vwap,EUR/NZD,SELL,2026-09-14T18:35:46.563Z,60,DRAW
reversion-v1-vwap,EUR/NZD,SELL,2026-09-14T18:35:50.998Z,60,DRAW
reversion-v1-vwap,EUR/NZD,SELL,2026-09-14T18:35:58.751Z,60,DRAW
reversion-v1-vwap,EUR/NZD,SELL,2026-09-14T18:36:03.347Z,60,DRAW
reversion-v1-vwap,EUR/NZD,SELL,2026-09-14T18:36:08.873Z,60,DRAW
reversion-v1-vwap,EUR/NZD,SELL,2026-09-14T18:36:12.198Z,60,DRAW
reversion-v1-vwap,EUR/NZD,SELL,2026-09-14T18:36:22.633Z,60,DRAW
reversion-v1-vwap,EUR/NZD,SELL,2026-09-14T18:36:28.637Z,60,DRAW
reversion-v1-vwap,EUR/NZD,SELL,2026-09-14T18:36:33.271Z,60,DRAW
reversion-v1-vwap,EUR/NZD,SELL,2026-09-14T18:36:36.938Z,60,DRAW
reversion-v1-vwap,EUR/NZD,SELL,2026-09-14T18:36:43.173Z,60,DRAW
reversion-v1-vwap,EUR/NZD,SELL,2026-09-14T18:36:47.732Z,60,DRAW
reversion-v1-vwap,EUR/NZD,SELL,2026-09-14T18:36:50.704Z,60,DRAW
reversion-v1-vwap,EUR/NZD,SELL,2026-09-14T18:36:59.215Z,60,DRAW
reversion-v1-vwap,EUR/NZD,SELL,2026-09-14T18:37:04.668Z,60,DRAW
reversion-v1-vwap,EUR/NZD,SELL,2026-09-14T18:37:08.104Z,60,DRAW
reversion-v1-vwap,EUR/NZD,SELL,2026-09-14T18:37:14.468Z,60,DRAW
reversion-v1-vwap,EUR/NZD,SELL,2026-09-14T18:37:17.023Z,60,DRAW
reversion-v1-vwap,EUR/NZD,SELL,2026-09-14T18:37:28.765Z,60,DRAW
reversion-v1-vwap,EUR/NZD,SELL,2026-09-14T18:37:31.625Z,60,DRAW
reversion-v1-vwap,EUR/NZD,SELL,2026-09-14T18:37:44.056Z,60,DRAW
reversion-v1-vwap,EUR/NZD,SELL,2026-09-14T18:37:54.429Z,60,DRAW
reversion-v1-vwap,EUR/NZD,SELL,2026-09-14T18:37:58.538Z,60,DRAW
reversion-v1-vwap,EUR/NZD,SELL,2026-09-14T18:38:04.470Z,60,DRAW
reversion-v1-vwap,EUR/NZD,SELL,2026-09-14T18:38:08.998Z,60,DRAW
reversion-v1-vwap,EUR/NZD,SELL,2026-09-14T18:38:14.208Z,60,DRAW
reversion-v1-vwap,EUR/NZD,SELL,2026-09-14T18:38:18.578Z,60,DRAW
reversion-v1-vwap,EUR/NZD,SELL,2026-09-14T18:38:24.625Z,60,DRAW
reversion-v1-vwap,EUR/NZD,SELL,2026-09-14T18:38:27.730Z,60,DRAW
reversion-v1-vwap,EUR/NZD,SELL,2026-09-14T18:38:34.337Z,60,DRAW
reversion-v1-vwap,EUR/NZD,SELL,2026-09-14T18:38:39.252Z,60,DRAW
reversion-v1-vwap,EUR/NZD,SELL,2026-09-14T18:39:09.916Z,60,DRAW
reversion-v1-vwap,EUR/NZD,SELL,2026-09-14T18:39:14.678Z,60,DRAW
reversion-v1-vwap,EUR/NZD,SELL,2026-09-14T18:39:18.972Z,60,DRAW
reversion-v1-vwap,EUR/NZD,SELL,2026-09-14T18:39:23.787Z,60,DRAW
reversion-v1-vwap,EUR/NZD,SELL,2026-09-14T18:39:28.053Z,60,DRAW
reversion-v1-vwap,EUR/NZD,SELL,2026-09-14T18:39:34.375Z,60,DRAW
reversion-v1-vwap,EUR/NZD,SELL,2026-09-14T18:39:38.717Z,60,DRAW
reversion-v1-vwap,EUR/NZD,SELL,2026-09-14T18:39:44.638Z,60,DRAW
reversion-v1-vwap,EUR/NZD,SELL,2026-09-14T18:39:49.061Z,60,DRAW
reversion-v1-vwap,EUR/NZD,SELL,2026-09-14T18:39:54.197Z,60,DRAW
reversion-v1-vwap,EUR/NZD,SELL,2026-09-14T18:40:03.594Z,60,DRAW
reversion-v1-vwap,EUR/NZD,SELL,2026-09-14T18:40:08.504Z,60,DRAW
reversion-v1-vwap,EUR/NZD,SELL,2026-09-14T18:40:14.852Z,60,DRAW
