strategy,asset,direction,reference_iso,horizon_s,result
reversion-v3-fib,NZD/USD,BUY,2026-09-14T10:15:33.125Z,60,WIN
reversion-v3-fib,NZD/USD,SELL,2026-09-14T10:37:48.055Z,60,WIN
reversion-v3-fib,NZD/USD,SELL,2026-09-14T10:38:03.843Z,60,WIN
reversion-v3-fib,NZD/USD,BUY,2026-09-14T11:20:50.481Z,60,WIN
reversion-v3-fib,NZD/USD,BUY,2026-09-14T11:20:59.459Z,60,WIN
reversion-v3-fib,NZD/USD,BUY,2026-09-14T11:46:18.681Z,60,LOSS
reversion-v3-fib,NZD/USD,BUY,2026-09-14T11:50:54.220Z,60,LOSS
reversion-v3-fib,NZD/USD,BUY,2026-09-14T11:50:58.370Z,60,LOSS
reversion-v3-fib,NZD/USD,SELL,2026-09-14T12:05:03.526Z,60,WIN
reversion-v3-fib,NZD/USD,SELL,2026-09-14T12:08:14.241Z,60,LOSS
reversion-v3-fib,NZD/USD,BUY,2026-09-14T12:09:33.164Z,60,WIN
reversion-v3-fib,NZD/USD,BUY,2026-09-14T12:12:09.710Z,60,WIN
reversion-v3-fib,NZD/USD,BUY,2026-09-14T12:12:14.238Z,60,WIN
reversion-v3-fib,NZD/USD,BUY,2026-09-14T12:12:19.106Z,60,WIN
reversion-v3-fib,NZD/USD,BUY,2026-09-14T12:12:24.714Z,60,WIN
reversion-v3-fib,NZD/USD,BUY,2026-09-14T12:12:26.560Z,60,WIN
reversion-v3-fib,NZD/USD,BUY,2026-09-14T12:16:02.695Z,60,LOSS
reversion-v3-fib,NZD/USD,BUY,2026-09-14T12:16:11.785Z,60,LOSS
reversion-v3-fib,NZD/USD,BUY,2026-09-14T12:16:23.117Z,60,LOSS
reversion-v3-fib,NZD/USD,BUY,2026-09-14T12:16:29.928Z,60,LOSS
reversion-v3-fib,NZD/USD,BUY,2026-09-14T12:16:37.457Z,60,LOSS
reversion-v3-fib,NZD/USD,BUY,2026-09-14T12:16:44.896Z,60,LOSS
reversion-v3-fib,NZD/USD,BUY,2026-09-14T12:22:04.629Z,60,WIN
reversion-v3-fib,NZD/USD,BUY,2026-09-14T12:31:45.582Z,60,LOSS
reversion-v3-fib,EUR/USD,BUY,2026-09-14T14:18:14.233Z,60,WIN
reversion-v3-fib,EUR/USD,BUY,2026-09-14T14:50:29.917Z,60,LOSS
reversion-v3-fib,EUR/USD,BUY,2026-09-14T14:50:32.166Z,60,LOSS
reversion-v3-fib,EUR/USD,BUY,2026-09-14T15:17:59.811Z,60,WIN
reversion-v3-fib,EUR/USD,BUY,2026-09-14T15:18:29.133Z,60,WIN
reversion-v3-fib,EUR/USD,BUY,2026-09-14T15:41:46.256Z,60,WIN
reversion-v3-fib,EUR/USD,BUY,2026-09-14T15:41:52.898Z,60,WIN
reversion-v3-fib,EUR/USD,BUY,2026-09-14T15:41:58.044Z,60,WIN
reversion-v3-fib,EUR/USD,BUY,2026-09-14T15:42:04.129Z,60,WIN
reversion-v3-fib,EUR/USD,BUY,2026-09-14T15:42:09.885Z,60,WIN
reversion-v3-fib,EUR/USD,SELL,2026-09-14T15:58:49.888Z,60,LOSS
reversion-v3-fib,EUR/USD,SELL,2026-09-14T15:58:54.716Z,60,LOSS
reversion-v3-fib,EUR/USD,BUY,2026-09-14T16:53:15.747Z,60,LOSS
reversion-v3-fib,EUR/NZD,SELL,2026-09-14T17:31:53.440Z,60,LOSS
reversion-v3-fib,EUR/NZD,SELL,2026-09-14T17:31:59.560Z,60,LOSS
reversion-v3-fib,EUR/NZD,BUY,2026-09-14T18:04:44.406Z,60,WIN
reversion-v3-fib,EUR/NZD,BUY,2026-09-14T18:04:48.965Z,60,WIN
reversion-v3-fib,EUR/NZD,BUY,2026-09-14T18:04:53.974Z,60,WIN
reversion-v3-fib,EUR/NZD,BUY,2026-09-14T18:04:59.762Z,60,WIN
reversion-v3-fib,EUR/NZD,BUY,2026-09-14T18:53:50.983Z,60,WIN
reversion-v3-fib,EUR/NZD,BUY,2026-09-14T19:02:09.372Z,60,WIN
reversion-v3-fib,EUR/NZD,BUY,2026-09-14T19:02:13.534Z,60,WIN
reversion-v3-fib,EUR/NZD,BUY,2026-09-14T19:02:17.653Z,60,WIN
reversion-v3-fib,EUR/NZD,BUY,2026-09-14T19:02:24.368Z,60,WIN
reversion-v3-fib,EUR/NZD,BUY,2026-09-14T19:25:54.499Z,60,WIN
reversion-v3-fib,EUR/NZD,BUY,2026-09-14T19:25:58.735Z,60,WIN
reversion-v3-fib,EUR/NZD,BUY,2026-09-14T19:31:42.920Z,60,LOSS
reversion-v3-fib,EUR/NZD,SELL,2026-09-14T19:35:36.977Z,60,WIN
reversion-v3-fib,EUR/NZD,BUY,2026-09-14T21:19:09.684Z,60,WIN
reversion-v3-fib,EUR/NZD,BUY,2026-09-14T21:19:24.075Z,60,WIN
reversion-v3-fib,EUR/NZD,BUY,2026-09-14T21:19:28.671Z,60,WIN
reversion-v3-fib,EUR/NZD,BUY,2026-09-14T21:19:30.597Z,60,WIN
reversion-v3-fib,EUR/NZD,BUY,2026-09-14T21:20:23.302Z,60,LOSS
reversion-v3-fib,EUR/NZD,BUY,2026-09-14T21:20:27.467Z,60,WIN
reversion-v3-fib,EUR/NZD,BUY,2026-09-14T21:33:11.791Z,60,WIN
reversion-v3-fib,EUR/NZD,BUY,2026-09-14T22:58:04.418Z,60,WIN
